name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	11470	2314	0.0
Bacteria	2	superkingdom	0	1232	350	0.0
Azorhizobium	6	genus	0	2	0	0.0
Azorhizobium caulinodans	7	species	35321	213	0	0.0
Cellvibrio	10	genus	0	17	0	0.0
Cellulomonas gilvus	11	species	2831	25	0	0.0
Methylophilus methylotrophus	17	species	76532	1	0	0.0
Phenylobacterium	20	genus	0	17	0	0.0
Shewanella	22	genus	0	54	9	0.0
Shewanella putrefaciens	24	species	347065	3	0	0.0
Myxococcales	29	order	0	502	0	0.0
Myxococcaceae	31	family	0	41	0	0.0
Myxococcus	32	genus	0	182	0	0.0
Myxococcus fulvus	33	species	281935	87	0	0.0
Myxococcus xanthus	34	species	1434373	371	128	5.30602e-07
Myxococcus macrosporus	35	species	73732	66	0	0.0
Archangium disciforme	38	species	128005	109	1	0.0
Archangiaceae	39	family	0	54	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	172622	67	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12499660	2542	1377	0.0
Melittangium	44	genus	0	48	0	0.0
Archangium	47	genus	0	54	0	0.0
Archangium gephyra	48	species	12513146	3115	1805	0.0
Polyangiaceae	49	family	0	7	0	0.0
Chondromyces	50	genus	0	3	0	0.0
Chondromyces crocatus	52	species	11778529	2231	1660	0.0
Nannocystis exedens	54	species	23794	1	0	0.0
Sorangium cellulosum	56	species	1788714	520	146	0.0
Vitreoscilla	59	genus	0	9	0	0.0
Vitreoscilla filiformis	63	species	3789124	1202	544	0.0
Lysobacter	68	genus	0	8717	0	0.0
Lysobacter enzymogenes	69	species	12580679	12706	6724	0.0
Caulobacter	75	genus	0	208	0	0.0
Hyphomicrobium	81	genus	0	12	0	0.0
Hyphomicrobium methylovorum	84	species	20469	29	0	0.0
Hyphomonas	85	genus	0	29	0	0.0
Leptothrix	88	genus	0	94	0	0.0
Leptothrix discophora	89	species	16739	69	1	0.0
Gallionella	96	genus	0	19	0	0.0
Ancylobacter aquaticus	100	species	18293	1	0	0.0
Cyclobacterium marinum	104	species	13694	22	0	0.0
Spirosoma	107	genus	0	22	0	0.0
Planctomycetales	112	order	0	133	0	0.0
Gemmata obscuriglobus	114	species	11108	26	26	0.0
Planctomyces	118	genus	0	3	0	0.0
Planctomycetaceae	126	family	1491	40	0	0.0
Isosphaera pallida	128	species	3093	20	0	0.0
Methylocystis	133	genus	0	12	0	0.0
Spirochaetales	136	order	0	1	0	0.0
Borrelia	138	genus	0	2	0	0.0
Borreliella burgdorferi	139	species	9661107	10	0	0.0
Borrelia hermsii	140	species	2215486	23	0	0.0
Borrelia turicatae	142	species	1419778	22	0	0.0
Treponema	157	genus	0	1	0	0.0
Treponema denticola	158	species	421844	5	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	4	0	0.0
Treponema pallidum	160	species	277332	8	0	0.0
Leptospira borgpetersenii	174	species	262108	1	0	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	475470	5	0	0.0
Aquaspirillum	187	genus	0	1	0	0.0
Novispirillum itersonii	189	species	10940	37	0	2.63177e-144
Azospirillum	191	genus	0	442	0	0.0
Azospirillum brasilense	192	species	14768781	8362	3520	0.0
Azospirillum lipoferum	193	species	155226	382	0	0.0
Campylobacter	194	genus	0	4	1	0.0
Campylobacter coli	195	species	33745666	16	2	0.0
Campylobacter fetus	196	species	231951	5	0	0
Campylobacter jejuni	197	species	149104840	129	41	0.0
Campylobacter concisus	199	species	2313426	23	18	0.0
Campylobacter lari	201	species	2219930	1	0	0.0
Campylobacter rectus	203	species	69540	34	0	0.0
Campylobacter showae	204	species	73992	21	21	3.8331e-06
Campylobacter sp.	205	species	92526	44	0	0.0
Campylobacter sputorum	206	species	1719642	2	2	0.0
Helicobacter	209	genus	0	2853	48	0.0
Helicobacter pylori	210	species	125372322	19456	12856	3.35953e-07
Helicobacter acinonychis	212	species	1944571	1008	0	2.3413e-07
Helicobacter cinaedi	213	species	2407214	2	1	0.0
Helicobacter felis	214	species	207218	4	2	0.0
Helicobacter fennelliae	215	species	42561	1	0	0.0
Helicobacter sp.	218	species	27852	4	0	0.0
Achromobacter	222	genus	0	970	0	0.0
Alteromonas	226	genus	2057	43	7	0.0
Pseudoalteromonas carrageenovora	227	species	42872	17	1	0.0
Brucella	234	genus	0	1543	738	0.0
Brucella abortus	235	species	101262887	2	0	0.0
Flavobacterium	237	genus	0	37	0	0.0
Elizabethkingia meningoseptica	238	species	11983870	176	0	0.0
Planomicrobium okeanokoites	244	species	83780	34	0	0.0
Empedobacter brevis	247	species	30990	3	3	0.0
Halomonas halmophila	252	species	35175	5	0	0.0
Chryseobacterium indologenes	253	species	15493344	1363	624	0.0
Francisella	262	genus	0	3	0	0.0
Francisella tularensis	263	species	5779638	2	2	0.0
Francisella tularensis subsp. novicida	264	subspecies	6008911	24	23	0.0
Paracoccus	265	genus	0	301	30	0.0
Paracoccus denitrificans	266	species	230518	725	77	5.88548e-07
Paracoccus sp.	267	species	194552	1	1	0.0
Thermus	270	genus	0	4	0	0.0
Thermus aquaticus	271	species	172161	1	1	0.0
Thermus caldophilus	272	species	40162	1	1	0.0
Thermus thermophilus	274	species	2368104	312	65	0.0
Meiothermus ruber	277	species	37505	2	0	0.0
Xanthobacter	279	genus	0	56	0	0.0
Xanthobacter autotrophicus	280	species	125349	324	0	4.77153e-89
Xanthobacter flavus	281	species	102080	86	0	1.4557e-93
Comamonas	283	genus	0	235	0	0.0
Comamonas testosteroni	285	species	979275	636	158	1.36101e-89
Pseudomonas	286	genus	3949	13588	5447	0.00500484
Pseudomonas aeruginosa	287	species	649285640	23504	5965	2.5866e-08
Pseudoalteromonas atlantica	288	species	3723676	15	0	0.0
Burkholderia cepacia	292	species	48530198	7655	743	5.82959e-73
Brevundimonas diminuta	293	species	3739908	6232	4661	1.95664e-07
Pseudomonas fluorescens	294	species	109413009	19866	7680	2.13537e-07
Pseudomonas fragi	296	species	20915684	6138	1530	2.79326e-07
Hydrogenophilus thermoluteolus	297	species	55906	507	329	1.99964e-05
Pseudomonas marginalis	298	species	117651	1	0	0.0
Pseudomonas mendocina	300	species	5603789	10428	4555	5.19161e-07
Pseudomonas oleovorans	301	species	109873	1	0	0.0
Pseudomonas putida	303	species	75633305	28683	9306	2.79131e-07
Pelomonas saccharophila	304	species	36028	1	1	0.0
Ralstonia solanacearum	305	species	135542539	15039	3009	0
Pseudomonas sp.	306	species	5185727	119	82	0.0
Pseudomonas sp. ATCC19151	315	species	9135	28	0	0.0
Pseudomonas stutzeri	316	species	26332943	14621	5418	6.05033e-08
Pseudomonas syringae	317	species	13963156	2234	228	1.0602e-91
Pseudomonas syringae pv. syringae	321	leaf	13544033	1174	183	0.0
Ralstonia pickettii	329	species	5820311	3658	1196	1.26335e-07
Pseudomonas pseudoalcaligenes	330	species	5110416	21225	41	1.4977e-06
Burkholderia glumae	337	species	189403	250	0	0.0
Xanthomonas	338	genus	0	2910	832	0.0
Xanthomonas campestris	339	species	5748741	9223	5640	5.42927e-06
Xanthomonas campestris pv. campestris	340	leaf	25575595	6988	47	5.67821e-07
Xanthomonas translucens	343	species	57967	629	0	0.0
Xanthomonas citri	346	species	160527	3207	389	0.0
Xanthomonas oryzae	347	species	180828	2923	1403	0.0
Azotobacter	352	genus	0	106	0	0.0
Azotobacter chroococcum	353	species	5286988	4234	1255	0.0
Azotobacter vinelandii	354	species	432334	1078	0	0.0
Rhizobiales	356	order	2751	2162	82	2.0061e-74
Agrobacterium	357	genus	0	325	0	0.0
Agrobacterium tumefaciens	358	species	14810155	3346	316	8.33937e-08
Agrobacterium rhizogenes	359	species	5919489	1942	1288	0
Agrobacterium vitis	373	species	489899	162	0	0.0
Bradyrhizobium	374	genus	0	1299	61	0.0
Bradyrhizobium japonicum	375	species	21849638	5825	747	0.0
Bradyrhizobium sp.	376	species	18265399	4535	1731	0.0
Rhizobium	379	genus	0	2597	1056	0.0
Sinorhizobium fredii	380	species	513617	594	3	0.0
Mesorhizobium loti	381	species	8952411	2973	1205	0.0
Sinorhizobium meliloti	382	species	99677973	5760	1962	0.0
Rhizobium leguminosarum	384	species	26282616	3754	943	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	7268077	973	199	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	16367791	2585	914	0.0
Sinorhizobium fredii NGR234	394	leaf	7630832	1758	533	0.0
Rhizobium phaseoli	396	species	87953609	2928	90	0.0
Rhizobium tropici	398	species	331406	50	0	0.0
Neorhizobium galegae	399	species	407666	389	1	0.0
Methylococcaceae	403	family	0	66	0	0.0
Methylobacillus	404	genus	0	1	0	0.0
Methylobacillus flagellatus	405	species	37124	1	0	0.0
Methylobacterium	407	genus	0	1290	95	0.0
Methylobacterium extorquens	408	species	11509689	6962	2058	7.72032e-74
Methylococcus	413	genus	0	45	0	0.0
Methylococcus capsulatus	414	species	26993	36	0	0.0
Methylomonas	416	genus	0	45	0	0.0
Methylomonas methanica	421	species	18481	62	0	0.0
Methylosinus	425	genus	0	1	0	0.0
Methylosinus trichosporium	426	species	61958	5	0	0.0
Acetobacteraceae	433	family	0	39	0	0.0
Acetobacter	434	genus	0	94	0	0.0
Acetobacter aceti	435	species	3847909	497	400	0.0
Acidomonas methanolica	437	species	57531	1	0	0.0
Acetobacter pasteurianus	438	species	6698009	141	58	0.0
Gluconobacter	441	genus	0	2	0	0.0
Gluconobacter oxydans	442	species	3882056	139	111	0.0
Legionellaceae	444	family	0	1	0	0.0
Legionella	445	genus	0	10	0	0.0
Legionella pneumophila	446	species	157586004	71	45	0.0
Legionella hackeliae	449	species	3582649	36	34	0.0
Legionella longbeachae	450	species	4322278	182	0	0.0
Tatlockia micdadei	451	species	9869685	100	32	0.0
Legionella spiritensis	452	species	3366611	166	64	0.0
Moraxellaceae	468	family	0	146	0	0.0
Acinetobacter	469	genus	0	899	340	0.0
Acinetobacter baumannii	470	species	313167375	4989	1522	2.6876e-08
Acinetobacter calcoaceticus	471	species	9333487	525	74	1.37842e-07
Acinetobacter sp.	472	species	738239	1	0	0.0
Moraxella	475	genus	0	64	0	0.0
Moraxella bovis	476	species	110023	47	20	0.0
Moraxella nonliquefaciens	478	species	46180	26	0	1.94583e-06
Moraxella sp.	479	species	31616	45	0	0.0
Moraxella catarrhalis	480	species	6411731	298	11	2.21625e-08
Neisseriaceae	481	family	0	86	0	0.0
Neisseria	482	genus	0	563	177	0.0
Neisseria cinerea	483	species	92017	1021	144	4.36953e-05
Neisseria flavescens	484	species	122536	3	0	0.0
Neisseria gonorrhoeae	485	species	59898980	417	138	0.0
Neisseria lactamica	486	species	2506977	202	3	0.0
Neisseria meningitidis	487	species	154077990	2049	523	0
Neisseria mucosa	488	species	129754	1535	0	1.50594e-77
Neisseria sicca	490	species	2872703	3895	2298	5.12355e-07
Neisseria elongata	495	species	40529	68	0	3.02415e-80
Neisseria macacae	496	species	12627	1146	0	0.00061364
Psychrobacter	497	genus	0	374	266	0.0
Kingella kingae	504	species	2456010	108	49	0.0
Kingella oralis	505	species	39678	1	0	0.0
Alcaligenaceae	506	family	0	472	0	0.0
Alcaligenes	507	genus	974	29	0	0.0
Alcaligenes faecalis	511	species	21910726	3200	1409	3.50743e-08
Alcaligenes sp.	512	species	133029	29	3	0.0
Bordetella	517	genus	0	956	25	0.0
Bordetella bronchiseptica	518	species	21481258	5335	473	0.0
Bordetella parapertussis	519	species	14480103	3472	0	0.0
Bordetella pertussis	520	species	1418267903	1991	146	0.0
Bordetella avium	521	species	66752	147	0	0.0
Acidiphilium	522	genus	0	95	0	0.0
Acidiphilium cryptum	524	species	24613	2	0	0.0
Acidocella facilis	525	species	7626	34	0	0.0
Ochrobactrum	528	genus	0	96	0	0.0
Ochrobactrum anthropi	529	species	10606830	3110	1322	7.45688e-07
Chromobacterium	535	genus	0	379	0	0.0
Chromobacterium violaceum	536	species	8965655	4761	7	0.0
Eikenella	538	genus	0	2	0	0.0
Eikenella corrodens	539	species	2278234	1084	768	0
Zymomonas	541	genus	0	36	0	0.0
Zymomonas mobilis	542	species	157405	77	8	0.0
Enterobacteriaceae	543	family	0	1587	150	0.0
Citrobacter	544	genus	0	130	0	0.0
Citrobacter koseri	545	species	19772203	767	183	0.0
Citrobacter freundii	546	species	74678829	2775	414	7.83452e-09
Enterobacter	547	genus	0	1510	238	0.0
Klebsiella aerogenes	548	species	33324538	1974	94	1.82037e-103
Pantoea agglomerans	549	species	7015676	1623	853	1.3619e-07
Enterobacter cloacae	550	species	133653024	15234	2191	7.26062e-08
Erwinia	551	genus	0	81	0	0.0
Erwinia amylovora	552	species	4921313	235	0	0.0
Pantoea ananatis	553	species	10745081	2859	105	1.04973e-158
Pectobacterium carotovorum	554	species	5895750	371	54	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	942584	2	1	0.0
Dickeya chrysanthemi	556	species	793113	2	1	0.0
Escherichia	561	genus	1447	95	0	0.0
Escherichia coli	562	species	2121171128	48630	3295	0
Shimwellia blattae	563	species	36632	37	0	0.0
Escherichia fergusonii	564	species	316543	22	16	0.0
Atlantibacter hermannii	565	species	121684	9	9	0.0
Hafnia	568	genus	0	39	0	0.0
Hafnia alvei	569	species	5298449	202	124	0.0
Klebsiella	570	genus	0	1134	0	0.0
Klebsiella oxytoca	571	species	69515717	4171	282	1.41078e-08
Klebsiella pneumoniae	573	species	987333407	14893	5440	4.34773e-08
Raoultella planticola	575	species	23633898	1886	149	0
Morganella	581	genus	0	56	0	0.0
Morganella morganii	582	species	12665069	886	169	2.74926e-40
Proteus	583	genus	0	9	0	0.0
Proteus mirabilis	584	species	55580541	171	17	0
Proteus vulgaris	585	species	4758789	178	145	0.0
Providencia	586	genus	0	143	0	0.0
Providencia rettgeri	587	species	6171368	14	13	0.0
Providencia stuartii	588	species	9658369	151	75	2.62689e-08
Salmonella	590	genus	202	30	0	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	30130348	1	1	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	14171602	89	0	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	98290956	1	0	0
Serratia	613	genus	0	910	66	0.0
Serratia liquefaciens	614	species	10933088	1407	514	1.60733e-07
Serratia marcescens	615	species	121198872	118993	18694	1.94909e-06
Serratia sp.	616	species	280073	2	1	0.0
Serratia odorifera	618	species	33097	63	0	0.0
Shigella	620	genus	0	93	0	0.0
Shigella boydii	621	species	5719806	2874	1	0
Shigella dysenteriae	622	species	5649731	1670	0	0
Shigella flexneri	623	species	15750417	2565	26	0
Shigella sonnei	624	species	37267186	2742	6	0
Xenorhabdus	626	genus	0	1	0	0.0
Xenorhabdus nematophila	628	species	336670	33	0	0.0
Yersinia	629	genus	0	184	0	0.0
Yersinia enterocolitica	630	species	58603510	479	170	6.84362e-09
Yersinia intermedia	631	species	5005163	196	27	0.0
Yersinia pestis	632	species	53946553	83	3	0.0
Yersinia pseudotuberculosis	633	species	25578491	105	1	0.0
Edwardsiella	635	genus	0	164	2	0.0
Edwardsiella tarda	636	species	12100663	1256	65	0.0
Arsenophonus	637	genus	0	1	0	0.0
Vibrionaceae	641	family	0	105	0	0.0
Aeromonas	642	genus	0	1534	428	0.0
Aeromonas hydrophila	644	species	34510418	4928	678	0
Aeromonas salmonicida	645	species	20921536	4572	390	1.08486e-95
Aeromonas sobria	646	species	544803	17	0	0.0
Aeromonas sp.	647	species	343479	1	0	0.0
Aeromonas caviae	648	species	10429117	3476	914	2.85504e-07
Aeromonas eucrenophila	649	species	88802	3	0	0.0
Aeromonas jandaei	650	species	268194	1	0	0.0
Aeromonas media	651	species	843624	62	0	0.0
Aeromonas schubertii	652	species	4510040	911	629	0.0
Aeromonas veronii	654	species	25886795	3461	615	0.0
Photobacterium	657	genus	0	22	0	0.0
Vibrio	662	genus	0	122	3	0.0
Vibrio alginolyticus	663	species	69477161	184	97	0.0
Vibrio cholerae	666	species	99004820	676	27	4.1797e-155
Aliivibrio fischeri	668	species	1006834	18	0	0.0
Vibrio harveyi	669	species	25925674	161	0	0.0
Vibrio parahaemolyticus	670	species	94153100	39	2	0.0
Vibrio vulnificus	672	species	54369985	524	116	0.0
Grimontia hollisae	673	species	4056972	739	154	0.0
Vibrio mimicus	674	species	9183345	134	23	0.0
Vibrio fluvialis	676	species	10126847	304	139	0.0
Vibrio campbellii	680	species	42274464	233	17	0.0
Vibrio cholerae O1 biovar El Tor	686	leaf	4408035	1	0	0.0
Vibrio gazogenes	687	species	4802522	65	1	0.0
Vibrio mediterranei	689	species	320072	1	1	0.0
Vibrio natriegens	691	species	16391694	89	0	0.0
Plesiomonas	702	genus	0	48	0	0.0
Plesiomonas shigelloides	703	species	3639337	633	236	0.0
Pasteurellaceae	712	family	0	21	0	0.0
Actinobacillus	713	genus	0	14	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	7596631	132	39	0.0
Actinobacillus pleuropneumoniae	715	species	4316308	175	1	0.0
Actinobacillus suis	716	species	2580541	111	0	0.0
Actinobacillus capsulatus	717	species	55117	1	1	0.0
Haemophilus	724	genus	0	1	0	0.0
Haemophilus influenzae	727	species	14653293	186	73	4.48124e-39
Avibacterium paragallinarum	728	species	575582	1	0	0.0
Haemophilus parainfluenzae	729	species	349405	21	21	0.0
[Haemophilus] ducreyi	730	species	43457766	159	31	1.46357e-39
Histophilus somni	731	species	15337191	85	35	0.0
Aggregatibacter aphrophilus	732	species	2484869	167	132	0.0
Haemophilus paracuniculus	734	species	4933	16	10	0.0
Haemophilus parahaemolyticus	735	species	34554	28	28	0.0
Glaesserella parasuis	738	species	10933924	31	18	0.0
Pasteurella multocida	747	species	65742796	53	4	0.0
Gallibacterium anatis	750	species	423481	25926	1	0.0
Pasteurella dagmatis	754	species	2312754	51	24	0.0
Rickettsiales	766	order	0	1	0	0.0
Anaplasma marginale	770	species	1490955	1	0	0.0
Bartonella	773	genus	0	39	0	0.0
Coxiella	776	genus	0	25	0	0.0
Coxiella burnetii	777	species	28952116	70	17	0.0
Rickettsia prowazekii	782	species	1234772	23	23	0.0
Rickettsia typhi	785	species	56211	1	1	0.0
Chlamydia	810	genus	0	2	0	0.0
Bacteroides	816	genus	0	18	0	0.0
Bacteroides fragilis	817	species	21690174	132	58	0.0
