Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	cutadapt-percent_trimmed
BS830	21.826743	19.858098	90.98	18.929744	86.73	0.928354	
BS830_1							0.5036646430146009
BS830_2							0.5591831976955889
BS831	22.243707999999998	20.579573	92.50999999999999	19.653340999999998	88.35	0.9262319999999999	
BS831_1							0.4794776397963778
BS831_2							0.5538585344435363
BS832	21.302359	19.411924	91.13	18.554433	87.1	0.857491	
BS832_1							0.5207373756794459
BS832_2							0.5845859140867654
BS833	20.629191	18.947283	91.85	18.146884999999997	87.97	0.8003979999999999	
BS833_1							0.535168931833026
BS833_2							0.5969099320392769
BS839	24.202382999999998	21.444941999999998	88.61	20.286092999999997	83.82	1.158849	
BS839_1							0.6168730130758687
BS839_2							0.6206849683394493
BS840	20.318112	17.256785999999998	84.93	16.240341	79.93	1.016445	
BS840_1							0.4694322646894534
BS840_2							0.5005698549805679
BS847	25.747045999999997	19.89442	77.27	18.159216	70.53	1.735204	
BS847_1							0.486499390313741
BS847_2							0.5017653878222171
BS848	21.389319999999998	19.352631	90.47999999999999	18.523004	86.6	0.829627	
BS848_1							0.5448084974095652
BS848_2							0.5180429158433795
BS849	21.445166	15.699375	73.21000000000001	14.888347999999999	69.43	0.8110269999999999	
BS849_1							0.8457534340277761
BS849_2							0.5222583064867953
BS855	20.355871	17.302608	85.0	16.399514	80.56	0.903094	
BS855_1							0.5400909559996546
BS855_2							0.5021243868181927
BS856	21.554382	19.639775999999998	91.11999999999999	18.821339	87.32	0.818437	
BS856_1							0.4380970708948072
BS856_2							0.49161482272897583
BS857	21.245563	19.025855	89.55	18.117621	85.28	0.908234	
BS857_1							0.4542105769886983
BS857_2							0.498554669764888
BS862	23.233891999999997	21.018786	90.46	20.188395	86.89	0.830391	
BS862_1							0.5017288263596508
BS862_2							0.4975993993102008
BS863	22.604664	18.899815	83.61000000000001	17.696305	78.29	1.2035099999999999	
BS863_1							0.49981869935153517
BS863_2							0.5122663306083859
BS864	24.686853	17.905531	72.53999999999999	16.961173	68.71	0.9443579999999999	
BS864_1							0.7685932427423676
BS864_2							0.7795158615152912
BS865	38.604316	34.232600999999995	88.67	32.818306	85.01	1.4142949999999999	
BS865_1							0.5059210233349722
BS865_2							0.530396647650565
BS870	20.164611999999998	18.218954	90.35	17.373946	86.16	0.845008	
BS870_1							0.46665263703817955
BS870_2							0.49423252083743463
BS871	25.338419	16.140176999999998	63.7	15.326497999999999	60.49	0.8136789999999999	
BS871_1							0.5108524156315012
BS871_2							0.534680504727066
BS872	25.533293999999998	22.188883999999998	86.91	21.176296999999998	82.94	1.012587	
BS872_1							0.4660628029584282
BS872_2							0.5227657615053518
BS873	21.792025	18.740102999999998	85.99000000000001	17.769333	81.54	0.9707699999999999	
BS873_1							0.5018940203229855
BS873_2							0.49528432770470077
