name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	22726	7542	0.0
Bacteria	2	superkingdom	0	7703	2674	0.0
Azorhizobium caulinodans	7	species	35321	32	0	0.0
Buchnera aphidicola	9	species	1511436	16	11	0.0
Methylophilus	16	genus	0	31	0	0.0
Shewanella	22	genus	0	12	12	0.0
Myxococcales	29	order	0	3	0	0.0
Myxococcus	32	genus	0	10	0	0.0
Stigmatella aurantiaca	41	species	172622	3	0	0.0
Cystobacter fuscus	43	species	12499660	544	280	0.0
Archangium gephyra	48	species	12513146	273	206	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces crocatus	52	species	11778529	66	57	0.0
Vitreoscilla	59	genus	0	1	0	0.0
Vitreoscilla filiformis	63	species	3789124	277	155	0.0
Lysobacter	68	genus	0	1	0	0.0
Lysobacter enzymogenes	69	species	12580679	409	195	0.0
Caulobacter	75	genus	0	32	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Hyphomonas	85	genus	0	1	0	0.0
Leptothrix	88	genus	0	65	0	0.0
Leptothrix discophora	89	species	16739	2	0	0.0
Cyclobacterium marinum	104	species	13694	1	0	0.0
Planctomycetales	112	order	0	36	0	0.0
Planctomycetaceae	126	family	1491	1	0	0.0
Borreliella burgdorferi	139	species	9661107	22	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	2	1	0.0
Leptospira interrogans	173	species	5402254	1	0	0.0
Leptospira borgpetersenii	174	species	262108	46	1	0.0
Azospirillum	191	genus	0	169	0	0.0
Azospirillum brasilense	192	species	14768781	638	61	0.0
Azospirillum lipoferum	193	species	155226	1201	164	2.51548e-05
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	33745666	3	1	0.0
Campylobacter jejuni	197	species	149104840	19	1	0.0
Campylobacter lari	201	species	2219930	1	1	0.0
Helicobacter pylori	210	species	125372322	31	28	0.0
Helicobacter cinaedi	213	species	2407214	5	0	0.0
Achromobacter	222	genus	0	101	0	0.0
Alteromonas	226	genus	2057	1	0	0.0
Brucella	234	genus	0	136	136	0.0
Brucella abortus	235	species	101262887	1	1	0.0
Elizabethkingia meningoseptica	238	species	11983870	31	0	0.0
Chryseobacterium indologenes	253	species	15493344	997	721	1.10544e-07
Francisella tularensis	263	species	5779638	4	2	0.0
Paracoccus	265	genus	0	3198	0	0.0
Paracoccus denitrificans	266	species	230518	56	17	0.0
Paracoccus sp.	267	species	194552	9	0	0.0
