Sample	Reads passing filters
BS443_1	21873555.0
BS443_2	21873555.0
BS444_1	19775052.0
BS444_2	19775052.0
BS445_1	21584798.0
BS445_2	21584798.0
BS446_1	20177863.0
BS446_2	20177863.0
BS447_1	22185188.0
BS447_2	22185188.0
BS448_1	23445662.0
BS448_2	23445662.0
BS449_1	24494411.0
BS449_2	24494411.0
BS450_1	23458721.0
BS450_2	23458721.0
BS451_1	23765526.0
BS451_2	23765526.0
BS452_1	21545129.0
BS452_2	21545129.0
BS453_1	23060604.0
BS453_2	23060604.0
BS454_1	22207619.0
BS454_2	22207619.0
BS463_1	21651059.0
BS463_2	21651059.0
BS464_1	24200434.0
BS464_2	24200434.0
BS465_1	23681825.0
BS465_2	23681825.0
BS466_1	22130656.0
BS466_2	22130656.0
BS467_1	23084379.0
BS467_2	23084379.0
BS468_1	22851525.0
BS468_2	22851525.0
BS469_1	23488302.0
BS469_2	23488302.0
BS470_1	24606100.0
BS470_2	24606100.0
BS471_1	21834995.0
BS471_2	21834995.0
BS472_1	23391454.0
BS472_2	23391454.0
BS473_1	19919633.0
BS473_2	19919633.0
BS474_1	22018033.0
BS474_2	22018033.0
BS475_1	23608821.0
BS475_2	23608821.0
BS476_1	23069513.0
BS476_2	23069513.0
BS477_1	20054020.0
BS477_2	20054020.0
BS478_1	19621411.0
BS478_2	19621411.0
BS479_1	20586721.0
BS479_2	20586721.0
BS480_1	20980812.0
BS480_2	20980812.0
BS481_1	20921756.0
BS481_2	20921756.0
BS482_1	20395959.0
BS482_2	20395959.0
BS483_1	24264141.0
BS483_2	24264141.0
BS484_1	23130041.0
BS484_2	23130041.0
BS485_1	23564391.0
BS485_2	23564391.0
BS486_1	27982749.0
BS486_2	27982749.0
