Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BS443_1	(1, 0.001147504372288821)	(2, 0.06858967369501666)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 2.7430383401326394e-06)	(145, 0.0)	(150, 0.0)
BS443_2	(1, 0.0005074620929245384)	(2, 0.00045717305668877326)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BS444_1	(1, 0.037532138979963235)	(2, 0.021592863573759502)	(3, 0.0001618200548853171)	(4, 0.0)	(5, 0.0462957063273462)	(6, 0.00119847978149438)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 3.640951234919635e-05)	(20, 2.0227506860664637e-05)	(25, 1.0113753430332318e-06)	(30, 0.0)	(35, 0.000684701107233498)	(40, 2.0227506860664637e-06)	(45, 0.0014017662254440595)	(50, 0.0001901385644902476)	(55, 4.854601646559514e-05)	(60, 0.0034548581718015204)	(65, 0.0014543577432817876)	(70, 8.091002744265855e-05)	(75, 0.00019822956723451347)	(80, 3.337538632009665e-05)	(85, 0.0004844487893129181)	(90, 0.0)	(95, 0.0)	(100, 0.00033881073991613275)	(105, 0.00043792552353338947)	(110, 0.0014836876282297515)	(115, 0.0018922832668151772)	(120, 0.006902636716201809)	(125, 0.00033881073991613275)	(130, 0.0003074581042821025)	(135, 0.004364084605188397)	(140, 0.004503654402526982)	(145, 3.0341260290996964e-06)	(150, 0.0007231333702687609)
BS444_2	(1, 0.03803276977476469)	(2, 0.04269015322943272)	(3, 0.0002781282193341388)	(4, 0.0)	(5, 0.0)	(6, 0.0005107445482317822)	(7, 0.00023261632889764333)	(8, 1.517063014549848e-05)	(9, 5.056876715166159e-06)	(10, 0.00020834332066484577)	(15, 0.0006675077264019331)	(20, 0.0003104922303112022)	(25, 0.001590893414591274)	(30, 7.079627401232625e-06)	(35, 0.00013653567130948632)	(40, 5.05687671516616e-05)	(45, 0.0)	(50, 0.0012308437924714434)	(55, 0.001969147792885703)	(60, 1.0113753430332318e-06)	(65, 5.056876715166159e-06)	(70, 7.686452607052563e-05)	(75, 0.0011529678910578846)	(80, 0.0012935490637395036)	(85, 0.0009102378087299087)	(90, 0.0003549927454046644)	(95, 0.0005724384441568093)	(100, 0.0)	(105, 0.001191400154093147)	(110, 0.00012945604390825368)	(115, 0.00037420887692229585)	(120, 0.0005491768112670449)	(125, 0.001247025797959975)	(130, 0.0007160537428675283)	(135, 0.003985830226893967)	(140, 2.52843835758308e-05)	(145, 0.0003003784768808699)	(150, 0.0009405790690209057)
BS445_1	(1, 0.0011118936577493104)	(2, 0.08072811244284056)	(3, 9.265780481244253e-06)	(4, 0.0)	(5, 0.0)	(6, 0.00034746676804665947)	(7, 0.0)	(8, 0.0)	(9, 9.265780481244253e-06)	(10, 7.412624384995403e-06)	(15, 1.8531560962488507e-06)	(20, 9.358438286056696e-05)	(25, 8.246544628307385e-05)	(30, 0.0)	(35, 0.00015103222184428133)	(40, 0.0001463993316036592)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001167488340636776)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00012508803649679742)	(85, 9.265780481244254e-07)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 7.412624384995403e-06)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BS445_2	(1, 0.0004354916826184799)	(2, 0.001357436840502283)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00031503653636230465)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.00016215115842177442)	(30, 0.0)	(35, 9.173122676431812e-05)	(40, 0.0)	(45, 9.265780481244254e-07)	(50, 0.0)	(55, 1.6678404866239657e-05)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 4.540232435809684e-05)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BS446_1	(1, 0.0041233306024527966)	(2, 0.06470457253079774)	(3, 4.95592620487115e-06)	(4, 0.00029735557229226904)	(5, 0.007696553396164896)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007850187108515902)	(15, 5.5506373494556883e-05)	(20, 1.9823704819484603e-06)	(25, 1.3876593373639221e-05)	(30, 5.9471114458453805e-06)	(35, 0.00023292853162894405)	(40, 0.0001942723072309491)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 9.911852409742302e-07)	(65, 8.623311596475802e-05)	(70, 2.9735557229226902e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 4.95592620487115e-06)	(100, 1.9823704819484603e-06)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00019328112198997485)	(125, 9.911852409742302e-07)	(130, 0.0)	(135, 0.0)	(140, 9.911852409742302e-07)	(145, 2.3788445783381522e-05)	(150, 0.0)
BS446_2	(1, 0.0002923996460873979)	(2, 0.00031222335090688247)	(3, 0.0)	(4, 0.0)	(5, 0.00014372185994126336)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.731244879598994e-05)	(15, 9.911852409742302e-07)	(20, 1.9823704819484603e-06)	(25, 0.0)	(30, 0.0)	(35, 8.127718975988686e-05)	(40, 0.0)	(45, 9.911852409742302e-07)	(50, 2.9735557229226902e-06)	(55, 0.0)	(60, 2.97355572292269e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.00010605682078424262)	(90, 3.964740963896921e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 4.063859487994343e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 3.865622439799497e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BS447_1	(1, 0.0011404005230877467)	(2, 0.06928947367946578)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.015023897926851e-07)	(145, 0.0)	(150, 0.0)
BS447_2	(1, 0.000549916457773538)	(2, 0.0004462436829473792)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
