Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BS443_1	(1, 36.56991028664522)	(2, 36.55820629065554)	(3, 36.63158288627523)	(4, 36.65056023129299)	(5, 36.670295569238746)	(6, 36.649596053316436)	(7, 36.61421250455173)	(8, 36.635277850354)	(9, 36.63826949940236)	(10, 36.64708416167376)	(15, 36.63025337216561)	(20, 36.61249329612859)	(25, 36.57994659761524)	(30, 36.56290574623101)	(35, 36.539762109999955)	(40, 36.52204709293939)	(45, 36.5046009119231)	(50, 36.487743551516886)	(55, 36.46895693909838)	(60, 36.44625719961844)	(65, 36.430255228288225)	(70, 36.41754749970912)	(75, 36.39177061981923)	(80, 36.38221471544064)	(85, 36.346859803996196)	(90, 36.300130152597504)	(95, 36.291310717439394)	(100, 36.2345662513478)	(105, 36.2164245638169)	(110, 36.150245453928264)	(115, 36.11421281085768)	(120, 36.07493610435067)	(125, 36.00854620110906)	(130, 35.95335255746037)	(135, 35.903100753398334)	(140, 35.85148610731086)	(145, 35.74651464748185)	(150, 35.69440582475048)
BS443_2	(1, 36.365769715988094)	(2, 36.31461547974255)	(3, 36.37421219367405)	(4, 36.368145232907956)	(5, 36.43542748309545)	(6, 36.408433517094046)	(7, 36.405796634337676)	(8, 36.44340341567706)	(9, 36.4471957576169)	(10, 36.45709406632803)	(15, 36.445999116284476)	(20, 36.41537671402751)	(25, 36.387490529088666)	(30, 36.33618227124032)	(35, 36.30550189943976)	(40, 36.306272638352574)	(45, 36.27190169133458)	(50, 36.24403573173176)	(55, 36.209784637202326)	(60, 36.1893306597853)	(65, 36.17752469591706)	(70, 36.17589156403703)	(75, 36.12872580611611)	(80, 36.07154832399215)	(85, 35.98442481800512)	(90, 35.9599717467051)	(95, 35.92907145637734)	(100, 35.86100155187394)	(105, 35.803916784445875)	(110, 35.778690212907776)	(115, 35.66695155862867)	(120, 35.65672585914818)	(125, 35.57635154413629)	(130, 35.46924010294622)	(135, 35.370691659403334)	(140, 35.3346552126529)	(145, 35.190750465573615)	(150, 35.02881470341698)
BS444_1	(1, 36.4838142524227)	(2, 36.534975382112776)	(3, 36.56121318922448)	(4, 36.56313884787762)	(5, 36.57054550349602)	(6, 36.56921776994569)	(7, 36.55746847087937)	(8, 36.5573883699522)	(9, 36.56851966811516)	(10, 36.57027448524535)	(15, 36.55131742763559)	(20, 36.52165827933095)	(25, 36.47627312433869)	(30, 36.451932930441856)	(35, 36.43024298494891)	(40, 36.40577382046833)	(45, 36.38322670403092)	(50, 36.36283298774638)	(55, 36.34871997302459)	(60, 36.32063092425749)	(65, 36.31136470336462)	(70, 36.28987384710796)	(75, 36.28729791456427)	(80, 36.257833769539516)	(85, 36.22546091914195)	(90, 36.13630250883791)	(95, 36.14550361738619)	(100, 36.12585238208223)	(105, 36.053286828272306)	(110, 35.985694105886544)	(115, 35.91254169142008)	(120, 35.80468128225402)	(125, 35.76953738478159)	(130, 35.75353913607914)	(135, 35.58484736222185)	(140, 35.47547260052717)	(145, 35.40054239048271)	(150, 35.144510214183)
BS444_2	(1, 36.220801290434025)	(2, 36.23971436333012)	(3, 36.33063159581072)	(4, 36.33535143169282)	(5, 36.371143499395096)	(6, 36.358539588163914)	(7, 36.37655233472964)	(8, 36.393755576470795)	(9, 36.39958676214859)	(10, 36.39693482474787)	(15, 36.384754325804046)	(20, 36.36279731653802)	(25, 36.3220713553623)	(30, 36.27686354503645)	(35, 36.2486086711681)	(40, 36.21898978571586)	(45, 36.20040606720023)	(50, 36.16710971986319)	(55, 36.140275484484185)	(60, 36.151943377949145)	(65, 36.10783628786412)	(70, 36.07373974035568)	(75, 36.00107664950768)	(80, 35.920725942970975)	(85, 35.88674212335826)	(90, 35.858937867774)	(95, 35.77804558996861)	(100, 35.68496815077907)	(105, 35.5490133325566)	(110, 35.56626300653976)	(115, 35.54061161507944)	(120, 35.353676592102005)	(125, 35.17314510222273)	(130, 35.13179412119877)	(135, 35.01008653731985)	(140, 34.80744011191475)	(145, 34.85626358909195)	(150, 34.94418947672047)
BS445_1	(1, 36.541733028958625)	(2, 36.53304927847831)	(3, 36.606849042553)	(4, 36.624421780551295)	(5, 36.64292146722892)	(6, 36.62564787495347)	(7, 36.59138565948127)	(8, 36.615846578689315)	(9, 36.62024884365376)	(10, 36.62391903783394)	(15, 36.60545832302901)	(20, 36.58894441356366)	(25, 36.552780758013114)	(30, 36.53205482858816)	(35, 36.510316390266894)	(40, 36.48828420817281)	(45, 36.47346023808053)	(50, 36.45281172425148)	(55, 36.43625688783375)	(60, 36.409491865524984)	(65, 36.390704587552776)	(70, 36.373008837052815)	(75, 36.34457688230392)	(80, 36.33332880854387)	(85, 36.297499184379674)	(90, 36.25286598466198)	(95, 36.23560785697415)	(100, 36.18688578878523)	(105, 36.15731329058534)	(110, 36.094862115457374)	(115, 36.05718439431307)	(120, 36.015552427222154)	(125, 35.95309550731029)	(130, 35.89385099642813)	(135, 35.8388776026535)	(140, 35.77759632496908)	(145, 35.68641661599057)	(150, 35.64812985509524)
BS445_2	(1, 36.06446305404387)	(2, 35.93320053307888)	(3, 36.06466152706178)	(4, 36.08760211700846)	(5, 36.182846742415656)	(6, 36.161971680253856)	(7, 36.15146567505519)	(8, 36.21203960305767)	(9, 36.22379556204325)	(10, 36.23822266022596)	(15, 36.229347487986686)	(20, 36.20306576878783)	(25, 36.16610987974036)	(30, 36.10616173475425)	(35, 36.056232993239036)	(40, 36.068518834413)	(45, 36.01600518105381)	(50, 35.982385436268615)	(55, 35.94316307245497)	(60, 35.9083206986695)	(65, 35.89721973770614)	(70, 35.88754072194699)	(75, 35.83728057126131)	(80, 35.76021475855369)	(85, 35.67353454963998)	(90, 35.66242665787282)	(95, 35.60659927417435)	(100, 35.53238133616075)	(105, 35.45944979424871)	(110, 35.42124621226476)	(115, 35.29560745483928)	(120, 35.30366014080836)	(125, 35.20918715106808)	(130, 35.093589794076365)	(135, 34.97923899959592)	(140, 34.94665745771631)	(145, 34.80876259300643)	(150, 34.65285188214409)
BS446_1	(1, 36.38880712987297)	(2, 36.445047674275514)	(3, 36.54522820379938)	(4, 36.57616136059602)	(5, 36.600772737925716)	(6, 36.58967825284571)	(7, 36.5618373462046)	(8, 36.5862251617032)	(9, 36.590471993986675)	(10, 36.60729183263857)	(15, 36.58908443376784)	(20, 36.57858897148821)	(25, 36.53493592458229)	(30, 36.519447505417205)	(35, 36.499253027934614)	(40, 36.47399981851398)	(45, 36.46382536148649)	(50, 36.44688640219234)	(55, 36.43533891572165)	(60, 36.39438013827332)	(65, 36.370836455773336)	(70, 36.36022169443811)	(75, 36.34203841110429)	(80, 36.341874607831365)	(85, 36.307704170654745)	(90, 36.27034816323216)	(95, 36.26443416728521)	(100, 36.21845382734534)	(105, 36.19434247323416)	(110, 36.13672410205184)	(115, 36.093522500375784)	(120, 36.053430811776245)	(125, 36.006535677241935)	(130, 35.95515294161725)	(135, 35.88544137701797)	(140, 35.81523042355873)	(145, 35.728925634989196)	(150, 35.69555988163861)
BS446_2	(1, 36.277645457301404)	(2, 36.20336107941659)	(3, 36.26489271931324)	(4, 36.286068202564365)	(5, 36.344076178929356)	(6, 36.30593205038611)	(7, 36.321976960592906)	(8, 36.355777170258314)	(9, 36.36925263096494)	(10, 36.36943397821663)	(15, 36.36280698307844)	(20, 36.340635190158636)	(25, 36.31004552860727)	(30, 36.25067765600351)	(35, 36.227436265178326)	(40, 36.218284374316546)	(45, 36.187371259285484)	(50, 36.160719437930574)	(55, 36.127058004110744)	(60, 36.10117958477565)	(65, 36.09373136292976)	(70, 36.08657988212131)	(75, 36.028261932395914)	(80, 35.98559285490242)	(85, 35.912177776209504)	(90, 35.89355272161378)	(95, 35.85720219232334)	(100, 35.78533283727816)	(105, 35.72558123722022)	(110, 35.69686195213041)	(115, 35.60079087661562)	(120, 35.55510855634217)	(125, 35.511089167371196)	(130, 35.403009852926445)	(135, 35.29288571341772)	(140, 35.25723542676447)	(145, 35.11760321695117)	(150, 35.029761328045495)
BS447_1	(1, 36.553770876316214)	(2, 36.55310380962289)	(3, 36.625998301208895)	(4, 36.64612127695289)	(5, 36.66392252344222)	(6, 36.64469482972152)	(7, 36.611470590197385)	(8, 36.637512289731326)	(9, 36.6383714215088)	(10, 36.64399057605462)	(15, 36.62640195791895)	(20, 36.609968470855414)	(25, 36.577251146125064)	(30, 36.559029132410316)	(35, 36.53688610617138)	(40, 36.51985959280579)	(45, 36.503084400276435)	(50, 36.485721464249025)	(55, 36.468505166600345)	(60, 36.44788095552762)	(65, 36.43253958451918)	(70, 36.421061457761816)	(75, 36.395624377850666)	(80, 36.390263684039994)	(85, 36.355455955568196)	(90, 36.314971322307485)	(95, 36.30431042549651)	(100, 36.252144088208766)	(105, 36.233844923919506)	(110, 36.17115697194002)	(115, 36.13712168677588)	(120, 36.10156147425931)	(125, 36.03684566477417)	(130, 35.984487776258646)	(135, 35.93565139046827)	(140, 35.887212972907875)	(145, 35.78636333395056)	(150, 35.73388460805471)
BS447_2	(1, 36.36431947297449)	(2, 36.32179763362835)	(3, 36.36642321895131)	(4, 36.36487588024947)	(5, 36.42453478419926)	(6, 36.382913140064446)	(7, 36.38727352682339)	(8, 36.42538192599495)	(9, 36.43246935748302)	(10, 36.44615854506169)	(15, 36.4301144890005)	(20, 36.401217605187746)	(25, 36.37517271433535)	(30, 36.32709611475909)	(35, 36.297158139926516)	(40, 36.299958801340786)	(45, 36.26923956650717)	(50, 36.246694668532896)	(55, 36.21323973454721)	(60, 36.197263922216926)	(65, 36.18830095106699)	(70, 36.192362309483244)	(75, 36.14770628042457)	(80, 36.09370145522318)	(85, 36.00949471331953)	(90, 35.988396239869594)	(95, 35.964729945042606)	(100, 35.901480212833896)	(105, 35.84919172197234)	(110, 35.82820436770696)	(115, 35.7213622169891)	(120, 35.71543080004551)	(125, 35.63684515993283)	(130, 35.53443822067228)	(135, 35.44243252750439)	(140, 35.41151712575075)	(145, 35.26936698485494)	(150, 35.11244493398028)
