Sample	Unique Reads	Duplicate Reads
BS443_1	2578450.0	19295105.0
BS443_2	2731637.0	19141918.0
BS444_1	3638179.0	16136873.0
BS444_2	3759563.0	16015489.0
BS445_1	4192653.0	17392145.0
BS445_2	4497599.0	17087199.0
BS446_1	4303072.0	15874791.0
BS446_2	4432883.0	15744980.0
BS447_1	2084736.0	20100452.0
BS447_2	2234128.0	19951060.0
BS448_1	2440848.0	21004814.0
BS448_2	2576782.0	20868880.0
BS449_1	1207811.0	23286600.0
BS449_2	1366665.0	23127746.0
BS450_1	1002791.0	22455930.0
BS450_2	1176777.0	22281944.0
BS451_1	2430379.0	21335147.0
BS451_2	2718530.0	21046996.0
BS452_1	1270191.0	20274938.0
BS452_2	1625699.0	19919430.0
BS453_1	1502341.0	21558263.0
BS453_2	1683873.0	21376731.0
BS454_1	1294707.0	20912912.0
BS454_2	1483859.0	20723760.0
BS463_1	1819202.0	19831857.0
BS463_2	2019709.0	19631350.0
BS464_1	1409614.0	22790820.0
BS464_2	1632209.0	22568225.0
BS465_1	3842365.0	19839460.0
BS465_2	4158406.0	19523419.0
BS466_1	2047369.0	20083287.0
BS466_2	2292904.0	19837752.0
BS467_1	1469065.0	21615314.0
BS467_2	1590569.0	21493810.0
BS468_1	1104209.0	21747316.0
BS468_2	1286606.0	21564919.0
BS469_1	2786059.0	20702243.0
BS469_2	2926085.0	20562217.0
BS470_1	3668596.0	20937504.0
BS470_2	3777943.0	20828157.0
BS471_1	2119686.0	19715309.0
BS471_2	2276615.0	19558380.0
BS472_1	554872.0	22836582.0
BS472_2	788096.0	22603358.0
BS473_1	1947801.0	17971832.0
BS473_2	2068462.0	17851171.0
BS474_1	2848239.0	19169794.0
BS474_2	2909291.0	19108742.0
BS475_1	6448309.0	17160512.0
BS475_2	6537903.0	17070918.0
BS476_1	7947541.0	15121972.0
BS476_2	7943915.0	15125598.0
BS477_1	6887607.0	13166413.0
BS477_2	6851945.0	13202075.0
BS478_1	6366851.0	13254560.0
BS478_2	6412527.0	13208884.0
BS479_1	5040677.0	15546044.0
BS479_2	5206281.0	15380440.0
BS480_1	3452482.0	17528330.0
BS480_2	3674069.0	17306743.0
BS481_1	4073268.0	16848488.0
BS481_2	4198047.0	16723709.0
BS482_1	5754209.0	14641750.0
BS482_2	5966240.0	14429719.0
BS483_1	6727170.0	17536971.0
BS483_2	6915090.0	17349051.0
BS484_1	5287750.0	17842291.0
BS484_2	5794299.0	17335742.0
BS485_1	8002799.0	15561592.0
BS485_2	8295396.0	15268995.0
BS486_1	5928107.0	22054642.0
BS486_2	6113251.0	21869498.0
