Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BS443_1	(1.0, 2.306168998393372)	(2.0, 1.2219778347737564)	(3.0, 1.8804916324155903)	(4.0, 2.8726100527209995)	(5.0, 4.010245486358805)	(6.0, 5.033006353388888)	(7.0, 5.854327438279854)	(8.0, 6.363789385769243)	(9.0, 6.349358118327143)	('>10', 52.64845894748067)	('>50', 5.599770847565543)	('>100', 5.14661985938403)	('>500', 0.4943048265709218)	('>1k', 0.2188702185712716)	('>5k', 0.0)	('>10k+', 0.0)
BS443_2	(1.0, 3.118397388567503)	(2.0, 1.2621716492324786)	(3.0, 1.8684934485808182)	(4.0, 2.8777426755128435)	(5.0, 3.8784824657219814)	(6.0, 4.9826854055370795)	(7.0, 5.744478352006248)	(8.0, 6.193400915937438)	(9.0, 6.228119030778976)	('>10', 52.5629019779069)	('>50', 5.87538063694706)	('>100', 4.819468304732441)	('>500', 0.3368673152494882)	('>1k', 0.2514104332888225)	('>5k', 0.0)	('>10k+', 0.0)
BS444_1	(1.0, 4.633970813926124)	(2.0, 4.279900978641468)	(3.0, 6.320481363424078)	(4.0, 7.903810637462405)	(5.0, 8.44247984054563)	(6.0, 8.422487738618722)	(7.0, 7.301968588540399)	(8.0, 6.241979737696571)	(9.0, 5.013772124313095)	('>10', 31.63638975259806)	('>50', 4.9202801435951615)	('>100', 4.349345516309601)	('>500', 0.4158670367266563)	('>1k', 0.11726572760188737)	('>5k', 0.0)	('>10k+', 0.0)
BS444_2	(1.0, 5.506175343840765)	(2.0, 4.227120706438792)	(3.0, 6.164988084987593)	(4.0, 7.707761814577539)	(5.0, 8.053465860864645)	(6.0, 7.947494740575969)	(7.0, 7.208264223920073)	(8.0, 6.080441433813957)	(9.0, 4.881588274654079)	('>10', 33.072318070124446)	('>50', 4.770367062779288)	('>100', 3.9744688993914044)	('>500', 0.2453474650955429)	('>1k', 0.16019801893621302)	('>5k', 0.0)	('>10k+', 0.0)
BS445_1	(1.0, 4.53116893062611)	(2.0, 5.740728300031919)	(3.0, 8.031880251988872)	(4.0, 9.166568784972107)	(5.0, 8.828485407368689)	(6.0, 8.240413317251926)	(7.0, 6.586014009749655)	(8.0, 5.289133084611272)	(9.0, 4.191568662730268)	('>10', 28.717932441546385)	('>50', 4.965522348469071)	('>100', 4.840641259493781)	('>500', 0.4906986818629347)	('>1k', 0.3792445192969287)	('>5k', 0.0)	('>10k+', 0.0)
BS445_2	(1.0, 6.229930256360143)	(2.0, 5.751830140998423)	(3.0, 7.733405618618695)	(4.0, 8.81839611589842)	(5.0, 8.720185762726405)	(6.0, 7.807768426773844)	(7.0, 6.457204446051214)	(8.0, 5.158051638716339)	(9.0, 4.157082204957003)	('>10', 29.361802223908512)	('>50', 4.825654577094012)	('>100', 4.257003588759854)	('>500', 0.43011915009658236)	('>1k', 0.29156584904069094)	('>5k', 0.0)	('>10k+', 0.0)
BS446_1	(1.0, 5.304302376711532)	(2.0, 7.100430068137682)	(3.0, 9.374714557271744)	(4.0, 9.983666414945757)	(5.0, 9.220441607397817)	(6.0, 8.051102122025682)	(7.0, 6.11963694962747)	(8.0, 5.082940261472391)	(9.0, 3.998554703774751)	('>10', 26.497612388451667)	('>50', 4.354633784529968)	('>100', 4.118485734337605)	('>500', 0.48341492199158037)	('>1k', 0.31006410932430745)	('>5k', 0.0)	('>10k+', 0.0)
BS446_2	(1.0, 6.219404330589532)	(2.0, 6.953792494329882)	(3.0, 8.944711817168042)	(4.0, 9.684065211628305)	(5.0, 8.972042116836118)	(6.0, 7.75358515753011)	(7.0, 6.282621870074764)	(8.0, 5.196531516772071)	(9.0, 4.008625845347093)	('>10', 27.826725199407758)	('>50', 3.9958307548226686)	('>100', 3.6620036798843154)	('>500', 0.3489353220524738)	('>1k', 0.15112468355696496)	('>5k', 0.0)	('>10k+', 0.0)
BS447_1	(1.0, 2.020016750917035)	(2.0, 0.7142029047899149)	(3.0, 0.8874807017049645)	(4.0, 1.310624396338089)	(5.0, 1.8954731220759875)	(6.0, 2.632291353683519)	(7.0, 3.3167222729569454)	(8.0, 4.087621695727729)	(9.0, 4.809710683873208)	('>10', 62.525021431496675)	('>50', 6.69536781867558)	('>100', 7.048539280536513)	('>500', 1.2254711174701423)	('>1k', 0.8314564697534524)	('>5k', 0.0)	('>10k+', 0.0)
BS447_2	(1.0, 2.7329177938294835)	(2.0, 0.7492673826707297)	(3.0, 0.9020122026892692)	(4.0, 1.3033877161769558)	(5.0, 1.9148360791298544)	(6.0, 2.5954603805713727)	(7.0, 3.2873024684897687)	(8.0, 4.097554633440588)	(9.0, 4.802075009904753)	('>10', 62.114954232104516)	('>50', 6.6753947130217375)	('>100', 7.187545755691841)	('>500', 1.1494688865915994)	('>1k', 0.48782274568748085)	('>5k', 0.0)	('>10k+', 0.0)
BS448_1	(1.0, 2.098737385470643)	(2.0, 0.9468849056980037)	(3.0, 1.319004422402196)	(4.0, 1.991588124236279)	(5.0, 2.899361972930794)	(6.0, 3.8555698947493715)	(7.0, 4.764624907885836)	(8.0, 5.535534824906376)	(9.0, 5.861915600223104)	('>10', 54.523674369134575)	('>50', 6.63976960386076)	('>100', 7.807073833278948)	('>500', 1.2183913801593151)	('>1k', 0.5378687750637755)	('>5k', 0.0)	('>10k+', 0.0)
BS448_2	(1.0, 2.7975551151634694)	(2.0, 0.9721100817292563)	(3.0, 1.2967975329488812)	(4.0, 2.0433286922573743)	(5.0, 2.8531630294687558)	(6.0, 3.795621735523359)	(7.0, 4.668389980792671)	(8.0, 5.314714965960658)	(9.0, 5.743103997432222)	('>10', 54.053036966791744)	('>50', 6.936153718340962)	('>100', 8.003695164460698)	('>500', 1.014622820183968)	('>1k', 0.507706198945769)	('>5k', 0.0)	('>10k+', 0.0)
BS449_1	(1.0, 1.6925858106316558)	(2.0, 0.27948161716330994)	(3.0, 0.21433489256258495)	(4.0, 0.23339331324046922)	(5.0, 0.24636852307734952)	(6.0, 0.25321214290060107)	(7.0, 0.276067549728678)	(8.0, 0.28836029111459305)	(9.0, 0.2900068639082658)	('>10', 71.79971046503078)	('>50', 12.944942120068903)	('>100', 9.38708287363873)	('>500', 1.2804420930464497)	('>1k', 0.8140114438877368)	('>5k', 0.0)	('>10k+', 0.0)
