Sample	Solanum	Homo	Bacillus	Pseudomonas	Cutibacterium	Other	Unclassified
kreport_BS443	20685171.0	133997.0	886.0	44145.0	19398.0	735705.0	254253.0
kreport_BS444	18998641.0	69853.0	526.0	22530.0	13019.0	485879.0	184604.0
kreport_BS445	20773945.0	71852.0	531.0	20689.0	12529.0	512605.0	192647.0
kreport_BS446	19227601.0	139929.0	606.0	17453.0	14371.0	516273.0	261630.0
kreport_BS447	19867804.0	245079.0	10757.0	69964.0	31656.0	1532925.0	427003.0
kreport_BS448	21751494.0	179698.0	4995.0	51854.0	29456.0	1059273.0	368892.0
kreport_BS449	20960242.0	207177.0	19860.0	171156.0	95086.0	2299444.0	741446.0
kreport_BS450	19452047.0	124054.0	20816.0	237656.0	189165.0	2490716.0	944267.0
kreport_BS451	19695644.0	135496.0	26933.0	464397.0	51165.0	2221801.0	1170090.0
kreport_BS452	18755058.0	458377.0	98216.0	135261.0	74674.0	1458834.0	564709.0
kreport_BS453	18776505.0	89002.0	48224.0	152643.0	848680.0	2292870.0	852680.0
kreport_BS454	19576995.0	69057.0	230297.0	136139.0	71976.0	1525162.0	597993.0
kreport_BS463	18683880.0	279916.0	3254.0	110613.0	71297.0	1798190.0	703909.0
kreport_BS464	20437090.0	810588.0	2841.0	132974.0	119841.0	1964422.0	732678.0
kreport_BS465	22626463.0	83485.0	790.0	23349.0	14328.0	701580.0	231830.0
kreport_BS466	20224732.0	284678.0	50521.0	68949.0	45114.0	1042424.0	414238.0
kreport_BS467	20088667.0	375434.0	524765.0	119137.0	63986.0	1314614.0	597776.0
kreport_BS468	16274559.0	792685.0	900845.0	153750.0	151329.0	3449239.0	1129118.0
kreport_BS469	21871477.0	165574.0	250383.0	39914.0	51344.0	775799.0	333811.0
kreport_BS470	23103094.0	229362.0	91786.0	26670.0	53066.0	797308.0	304814.0
kreport_BS471	19716381.0	211018.0	181847.0	60763.0	31252.0	1085531.0	548203.0
kreport_BS472	1020026.0	999243.0	1.0	832123.0	561111.0	14233159.0	5745791.0
kreport_BS473	16181831.0	212177.0	500325.0	54259.0	28888.0	1921530.0	1020623.0
kreport_BS474	20498206.0	131849.0	152626.0	33141.0	20064.0	862862.0	319285.0
kreport_BS475	23057104.0	9190.0	413.0	2370.0	822.0	332954.0	205968.0
kreport_BS476	22478477.0	5702.0	401.0	1332.0	611.0	321729.0	261261.0
kreport_BS477	19582231.0	4814.0	292.0	4347.0	472.0	262749.0	199115.0
kreport_BS478	19088040.0	13792.0	413.0	1561.0	757.0	294744.0	222104.0
kreport_BS479	19991855.0	11492.0	19916.0	5809.0	1585.0	332223.0	223841.0
kreport_BS480	20180032.0	15902.0	29199.0	8863.0	2802.0	466846.0	277168.0
kreport_BS481	20161878.0	12084.0	32633.0	4684.0	2526.0	451259.0	256692.0
kreport_BS482	19640317.0	9332.0	10787.0	3167.0	1431.0	440599.0	290326.0
kreport_BS483	23433816.0	8434.0	11733.0	8205.0	1376.0	509453.0	291124.0
kreport_BS484	22368695.0	12481.0	1206.0	5043.0	2373.0	457710.0	282533.0
kreport_BS485	22859018.0	8222.0	5504.0	1503.0	1222.0	416389.0	272533.0
kreport_BS486	26841499.0	11108.0	114064.0	4905.0	2090.0	672755.0	336328.0
