Sample	Solanales	Bacillales	Primates	Pseudomonadales	Enterobacterales	Other	Unclassified
kreport_BS443	20944093.0	5530.0	140897.0	69261.0	43417.0	416104.0	254253.0
kreport_BS444	19197918.0	3256.0	73635.0	36311.0	26819.0	252509.0	184604.0
kreport_BS445	20995885.0	2831.0	75941.0	31288.0	24094.0	262112.0	192647.0
kreport_BS446	19394566.0	4123.0	148215.0	27181.0	19636.0	322512.0	261630.0
kreport_BS447	20449665.0	20154.0	255823.0	110527.0	83130.0	838886.0	427003.0
kreport_BS448	22058651.0	10668.0	188090.0	82969.0	52925.0	683467.0	368892.0
kreport_BS449	21431670.0	43177.0	257759.0	248669.0	182987.0	1588703.0	741446.0
kreport_BS450	19806517.0	65645.0	138468.0	361407.0	280117.0	1862300.0	944267.0
kreport_BS451	19995203.0	40064.0	187758.0	771893.0	80036.0	1520482.0	1170090.0
kreport_BS452	19024779.0	114068.0	482204.0	198979.0	155645.0	1004745.0	564709.0
kreport_BS453	19070863.0	76292.0	98216.0	224863.0	137443.0	2600247.0	852680.0
kreport_BS454	19880974.0	245896.0	77889.0	198936.0	148394.0	1057537.0	597993.0
kreport_BS463	18912989.0	15054.0	292645.0	144121.0	102875.0	1479466.0	703909.0
kreport_BS464	20761942.0	21212.0	839694.0	394818.0	155016.0	1295074.0	732678.0
kreport_BS465	22953608.0	3072.0	87996.0	32733.0	26736.0	345850.0	231830.0
kreport_BS466	20532030.0	59674.0	301453.0	98966.0	79659.0	644636.0	414238.0
kreport_BS467	20372715.0	538082.0	392968.0	171300.0	131442.0	880096.0	597776.0
kreport_BS468	17491186.0	933901.0	866232.0	240145.0	167224.0	2023719.0	1129118.0
kreport_BS469	22164884.0	260816.0	173925.0	61969.0	44915.0	447982.0	333811.0
kreport_BS470	23478842.0	101276.0	239866.0	38804.0	28454.0	414044.0	304814.0
kreport_BS471	20061981.0	189992.0	221953.0	109682.0	56069.0	647115.0	548203.0
kreport_BS472	1100124.0	7029716.0	1086822.0	1199735.0	965174.0	6264092.0	5745791.0
kreport_BS473	17007888.0	528338.0	222541.0	82000.0	64097.0	994146.0	1020623.0
kreport_BS474	20844123.0	156830.0	139291.0	52240.0	36570.0	469694.0	319285.0
kreport_BS475	23250230.0	963.0	11423.0	4258.0	3265.0	132714.0	205968.0
kreport_BS476	22659905.0	1076.0	8639.0	1991.0	1764.0	134877.0	261261.0
kreport_BS477	19736477.0	763.0	6574.0	5613.0	2286.0	103192.0	199115.0
kreport_BS478	19248151.0	992.0	16589.0	2698.0	2249.0	128628.0	222104.0
kreport_BS479	20159734.0	20639.0	13931.0	8163.0	5048.0	155365.0	223841.0
kreport_BS480	20402183.0	30200.0	18676.0	15078.0	8745.0	228762.0	277168.0
kreport_BS481	20384516.0	33495.0	14829.0	7859.0	7819.0	216546.0	256692.0
kreport_BS482	19842603.0	11754.0	12046.0	5388.0	4747.0	229095.0	290326.0
kreport_BS483	23705009.0	12591.0	11697.0	10796.0	4051.0	228873.0	291124.0
kreport_BS484	22587216.0	2061.0	15212.0	7313.0	6275.0	229431.0	282533.0
kreport_BS485	23096976.0	6195.0	11012.0	2421.0	2367.0	172887.0	272533.0
kreport_BS486	27206342.0	116389.0	14668.0	7399.0	7082.0	294541.0	336328.0
