Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
BS443	16042367.0	2841880.0	125394.0	981251.0	1880038.0
BS444	14787294.0	2516797.0	118603.0	850527.0	1499212.0
BS445	16085418.0	2805702.0	128811.0	901814.0	1660334.0
BS446	14798097.0	2609660.0	130459.0	812896.0	1824788.0
BS447	15178392.0	3119746.0	105639.0	1455152.0	2323040.0
BS448	16741729.0	3178974.0	146461.0	1041033.0	2334854.0
BS449	16168126.0	2983617.0	143973.0	1329178.0	3864748.0
BS450	14907873.0	2922486.0	98155.0	1114781.0	4404489.0
BS451	15117026.0	2863608.0	125564.0	968087.0	4688098.0
BS452	14351503.0	2729743.0	102423.0	978058.0	3379033.0
BS453	14465584.0	2653570.0	111691.0	961528.0	4864848.0
BS454	14852594.0	2980329.0	107239.0	1004241.0	3258915.0
BS463	14708380.0	2498039.0	113181.0	841757.0	3485911.0
BS464	15819458.0	2949270.0	136587.0	1036152.0	4254632.0
BS465	17845217.0	2920103.0	130399.0	1171732.0	1610724.0
BS466	15364713.0	3087554.0	136704.0	990952.0	2547379.0
BS467	15424289.0	3023575.0	113000.0	893190.0	3625132.0
BS468	11873752.0	2998201.0	78993.0	2315224.0	5581340.0
BS469	16939015.0	3156222.0	131855.0	932238.0	2326333.0
BS470	17970328.0	3235402.0	138215.0	1058769.0	2201382.0
BS471	15067080.0	2994595.0	102833.0	890567.0	2777143.0
BS472	752797.0	170280.0	6384.0	246206.0	22201118.0
BS473	11968652.0	2538800.0	99188.0	1908927.0	3401567.0
BS474	15978226.0	2830103.0	106863.0	849103.0	2251803.0
BS475	17503711.0	3391570.0	108984.0	1084357.0	1518715.0
BS476	16949542.0	3410267.0	118647.0	1012354.0	1577889.0
BS477	14774325.0	3131338.0	93237.0	825186.0	1228450.0
BS478	14119520.0	3010225.0	105108.0	865839.0	1519778.0
BS479	14704599.0	3111632.0	122161.0	906629.0	1740424.0
BS480	14732291.0	3356560.0	101825.0	1015725.0	1772184.0
BS481	14731003.0	3437747.0	95149.0	900922.0	1754553.0
BS482	14297866.0	3352769.0	98909.0	911119.0	1733122.0
BS483	17382455.0	3654222.0	130431.0	1084768.0	2009736.0
BS484	16597253.0	3418790.0	129725.0	1035919.0	1945082.0
BS485	17165897.0	3520967.0	128277.0	950531.0	1796528.0
BS486	19991923.0	4335078.0	137668.0	1252446.0	2262738.0
