SampleID	type	treatment	sampleDescription
BS830	PE	roots_noninoculated	Rywal_leaves_noninoculated_26h____5
BS831	PE	roots_noninoculated	Rywal_roots_noninoculated_26h____6
BS832	PE	roots_noninoculated	Rywal_roots_noninoculated_26h____7
BS833	PE	roots_noninoculated	Rywal_roots_noninoculated_26h____8
BS839	PE	roots_inoculated_PS_218_YFP	Rywal_roots_inoculated_PS-218_26h_YFP_vortexed_14
BS840	PE	roots_inoculated_PS_218_YFP	Rywal_roots_inoculated_PS-218_26h_YFP_vortexed_15
BS847	PE	roots_inoculated_PS_216_YFP	Rywal_roots_inoculated_PS-216_26h_YFP_vortexed_22
BS848	PE	roots_inoculated_PS_216_YFP	Rywal_roots_inoculated_PS-216_26h_YFP_vortexed_23
BS849	PE	roots_inoculated_PS_216_YFP	Rywal_roots_inoculated_PS-216_26h_YFP_vortexed_24
BS855	PE	roots_inoculated_PS_218_MKATE	Rywal_roots_inoculated_PS-218_26h_mKATE_vortexed_30
BS856	PE	roots_inoculated_PS_218_MKATE	Rywal_roots_inoculated_PS-218_26h_mKATE_vortexed_31
BS857	PE	roots_inoculated_PS_218_MKATE	Rywal_roots_inoculated_PS-218_26h_mKATE_vortexed_32
BS862	PE	roots_inoculated_PS_218_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-218_YFP_218_MKATE_26h_vortexed_37
BS863	PE	roots_inoculated_PS_218_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-218_YFP_218_MKATE_26h_vortexed_38
BS864	PE	roots_inoculated_PS_218_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-218_YFP_218_MKATE_26h_vortexed_39
BS865	PE	roots_inoculated_PS_218_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-218_YFP_218_MKATE_26h_vortexed_40
BS870	PE	roots_inoculated_PS_216_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-216_YFP_218_MKATE_26h_vortexed_45
BS871	PE	roots_inoculated_PS_216_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-216_YFP_218_MKATE_26h_vortexed_46
BS872	PE	roots_inoculated_PS_216_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-216_YFP_218_MKATE_26h_vortexed_47
BS873	PE	roots_inoculated_PS_216_YFP__PS_218_MKATE	Rywal_roots_inoculated_PS-216_YFP_218_MKATE_26h_vortexed_48
