NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub05g009640	NA	23	5.0	0.029314281	Yes	
row_1	Sotub10g024820	NA	205	2.8923184871673584	0.04284575	Yes	
row_2	Sotub07g022940	NA	230	2.780904531478882	0.058920834	Yes	
row_3	Sotub06g028650	NA	239	2.7390296459198	0.07507333	Yes	
row_4	Sotub08g012660	NA	289	2.616481304168701	0.08965826	Yes	
row_5	Sotub09g020500	NA	326	2.4757261276245117	0.10367031	Yes	
row_6	Sotub09g020470	NA	407	2.2640719413757324	0.115522705	Yes	
row_7	Sotub03g031050	NA	628	1.9422965049743652	0.122598335	Yes	
row_8	Sotub08g013190	NA	746	1.8233044147491455	0.1310693	Yes	
row_9	Sotub06g028510	NA	791	1.7860777378082275	0.1408098	Yes	
row_10	Sotub06g012010	NA	823	1.7601690292358398	0.15066154	Yes	
row_11	Sotub09g016570	NA	857	1.731415867805481	0.16030113	Yes	
row_12	Sotub09g020480	NA	872	1.7197107076644897	0.17025916	Yes	
row_13	Sotub04g034910	NA	1022	1.6008754968643188	0.17675143	Yes	
row_14	Sotub07g027870	NA	1040	1.5879336595535278	0.1858632	Yes	
row_15	Sotub07g027860	NA	1066	1.5691825151443481	0.19469984	Yes	
row_16	Sotub09g020490	NA	1142	1.5177431106567383	0.20220862	Yes	
row_17	Sotub04g010180	NA	1147	1.5147255659103394	0.21114987	Yes	
row_18	Sotub06g024100	NA	1233	1.4626880884170532	0.21812642	Yes	
row_19	Sotub12g021480	NA	1267	1.4459127187728882	0.22606534	Yes	
row_20	Sotub10g021080	NA	1292	1.4333134889602661	0.23411305	Yes	
row_21	Sotub06g032320	NA	1356	1.395835280418396	0.2411408	Yes	
row_22	Sotub09g016560	NA	1371	1.3861905336380005	0.2491121	Yes	
row_23	Sotub11g028280	NA	1479	1.315419316291809	0.25476196	Yes	
row_24	Sotub06g012020	NA	1493	1.3086047172546387	0.26229152	Yes	
row_25	PGSC0003DMG400027611	NA	1519	1.3002582788467407	0.2695262	Yes	
row_26	Sotub11g023870	NA	1534	1.2912389039993286	0.2769319	Yes	
row_27	Sotub03g031100	NA	1545	1.2844136953353882	0.28437865	Yes	
row_28	Sotub03g034440	NA	1576	1.2690165042877197	0.29132512	Yes	
row_29	Sotub02g020380	NA	1609	1.2528133392333984	0.29813418	Yes	
row_30	Sotub04g012470	NA	1616	1.2492036819458008	0.3054529	Yes	
row_31	Sotub09g024170	NA	1721	1.1912258863449097	0.31042427	Yes	
row_32	PGSC0003DMG400028304	NA	1799	1.1609165668487549	0.31576663	Yes	
row_33	PGSC0003DMG402028907	NA	1895	1.1334609985351562	0.32057774	Yes	
row_34	Sotub09g016540	NA	2093	1.0647132396697998	0.32289565	Yes	
row_35	Sotub11g023860	NA	2107	1.0600558519363403	0.32894462	Yes	
row_36	Sotub02g027190	NA	2177	1.0388007164001465	0.333723	Yes	
row_37	Sotub09g016550	NA	2198	1.0309092998504639	0.3394554	Yes	
row_38	Sotub08g024520	NA	2199	1.0300077199935913	0.34559098	Yes	
row_39	Sotub02g022980	NA	2206	1.0281027555465698	0.35159263	Yes	
row_40	Sotub06g027140	NA	2242	1.016816258430481	0.35693464	Yes	
row_41	PGSC0003DMG400030405	NA	2283	1.0009760856628418	0.36208013	Yes	
row_42	Sotub02g018580	NA	2308	0.9947287440299988	0.36751527	Yes	
row_43	Sotub02g006410	NA	2403	0.9577130079269409	0.37129992	Yes	
row_44	Sotub03g028720	NA	2464	0.9373307824134827	0.3756577	Yes	
row_45	PGSC0003DMG400007276	NA	2481	0.9324668049812317	0.3808854	Yes	
row_46	Sotub06g016830	NA	2521	0.9190501570701599	0.3855633	Yes	
row_47	Sotub09g020120	NA	2582	0.904702365398407	0.38972676	Yes	
row_48	Sotub03g012220	NA	2631	0.8930970430374146	0.3940662	Yes	
row_49	Sotub05g026640	NA	2642	0.8888047933578491	0.3991564	Yes	
row_50	Sotub04g011550	NA	2864	0.8272761702537537	0.3995696	Yes	
row_51	Sotub06g030190	NA	2975	0.8020374774932861	0.40210006	Yes	
row_52	Sotub12g030280	NA	3007	0.7929298877716064	0.40619013	Yes	
row_53	Sotub09g009330	NA	3050	0.7797331213951111	0.40997684	Yes	
row_54	Sotub09g014820	NA	3069	0.7737778425216675	0.4142184	Yes	
row_55	Sotub08g024500	NA	3103	0.7635932564735413	0.41809285	Yes	
row_56	Sotub09g012430	NA	3171	0.7451143264770508	0.42116264	Yes	
row_57	Sotub01g039960	NA	3193	0.7417858242988586	0.42515233	Yes	
row_58	Sotub02g032020	NA	3196	0.7408212423324585	0.42952442	Yes	
row_59	Sotub01g038050	NA	3224	0.7365314960479736	0.43336025	Yes	
row_60	Sotub09g011210	NA	3256	0.7289752960205078	0.43706933	Yes	
row_61	Sotub06g015580	NA	3651	0.6673974394798279	0.43299603	Yes	
row_62	PGSC0003DMG400017098	NA	3722	0.6579458713531494	0.4354853	Yes	
row_63	Sotub11g014890	NA	3865	0.6398923397064209	0.43639618	Yes	
row_64	Sotub10g020450	NA	3872	0.6383543610572815	0.44007617	Yes	
row_65	PGSC0003DMG400011719	NA	3932	0.6304134726524353	0.44262615	Yes	
row_66	Sotub02g034270	NA	3951	0.6266211271286011	0.44599113	Yes	
row_67	Sotub09g016530	NA	4122	0.6005702614784241	0.44609573	Yes	
row_68	Sotub06g032350	NA	4138	0.5982169508934021	0.4493528	Yes	
row_69	Sotub05g023120	NA	4206	0.586975634098053	0.4514806	Yes	
row_70	Sotub06g032360	NA	4595	0.5228269100189209	0.44666868	Yes	
row_71	Sotub11g015500	NA	4682	0.5100831985473633	0.4479503	Yes	
row_72	Sotub11g023850	NA	4709	0.5059857368469238	0.45043322	Yes	
row_73	Sotub06g032340	NA	4836	0.48699527978897095	0.4507602	Yes	
row_74	Sotub09g014980	NA	4879	0.4828457236289978	0.4527784	Yes	
row_75	Sotub05g017590	NA	4899	0.4795464277267456	0.45524684	Yes	
row_76	Sotub08g013120	NA	4997	0.4625915288925171	0.45602083	Yes	
row_77	Sotub07g021630	NA	5003	0.46221035718917847	0.45867202	Yes	
row_78	Sotub06g032720	NA	5020	0.4582728445529938	0.461075	Yes	
row_79	Sotub06g015570	NA	5072	0.44993630051612854	0.46271333	Yes	
row_80	Sotub03g034420	NA	5089	0.44669079780578613	0.46504733	Yes	
row_81	PGSC0003DMG401029307	NA	5221	0.42875242233276367	0.4649252	Yes	
row_82	Sotub09g028990	NA	5320	0.4151519536972046	0.4653962	Yes	
row_83	Sotub01g028870	NA	5408	0.40177077054977417	0.46601218	Yes	
row_84	Sotub01g037430	NA	5845	0.3738858997821808	0.4593325	Yes	
row_85	Sotub02g036790	NA	6148	0.3608112633228302	0.45531234	Yes	
row_86	PGSC0003DMG400020891	NA	6282	0.3547400236129761	0.45470846	Yes	
row_87	PGSC0003DMG401006676	NA	6288	0.3547400236129761	0.45671946	Yes	
row_88	Sotub01g036490	NA	6339	0.35104936361312866	0.45778915	Yes	
row_89	PGSC0003DMG402008167	NA	6454	0.3440292179584503	0.4575096	Yes	
row_90	Sotub07g022950	NA	6471	0.34250009059906006	0.45922297	Yes	
row_91	Sotub04g005500	NA	6524	0.33798468112945557	0.460174	Yes	
row_92	Sotub11g014900	NA	6569	0.33473750948905945	0.4612691	Yes	
row_93	Sotub04g025950	NA	6599	0.33185434341430664	0.4626535	Yes	
row_94	Sotub04g006420	NA	6732	0.3193657696247101	0.46185932	Yes	
row_95	Sotub04g030370	NA	6880	0.30510300397872925	0.46067378	Yes	
row_96	Sotub03g006340	NA	6886	0.30473724007606506	0.4623869	Yes	
row_97	Sotub07g022960	NA	6896	0.3036592900753021	0.46401188	Yes	
row_98	PGSC0003DMG400017846	NA	6908	0.3023344874382019	0.46558812	Yes	
row_99	Sotub01g035880	NA	6951	0.29923632740974426	0.46651262	Yes	
row_100	Sotub12g008730	NA	6972	0.29733750224113464	0.46787524	Yes	
row_101	Sotub01g029730	NA	7016	0.2915996313095093	0.46873382	Yes	
row_102	Sotub11g010910	NA	7034	0.2901689410209656	0.470115	Yes	
row_103	Sotub01g019340	NA	7173	0.2760157883167267	0.46894005	No	
row_104	Sotub05g015330	NA	7377	0.2578407824039459	0.46632895	No	
row_105	Sotub12g008740	NA	7423	0.25295042991638184	0.46691644	No	
row_106	Sotub02g023590	NA	7557	0.24094416201114655	0.4656347	No	
row_107	Sotub12g021670	NA	7568	0.23947402834892273	0.46685693	No	
row_108	Sotub05g028230	NA	7640	0.23026710748672485	0.46677816	No	
row_109	Sotub03g013540	NA	7698	0.22588884830474854	0.46695933	No	
row_110	Sotub11g028380	NA	7735	0.22267097234725952	0.4675503	No	
row_111	PGSC0003DMG400025425	NA	7760	0.21907086670398712	0.46836498	No	
row_112	Sotub03g007460	NA	8059	0.1897224634885788	0.4634074	No	
row_113	Sotub04g010170	NA	8135	0.1837959736585617	0.4629701	No	
row_114	Sotub06g028220	NA	8369	0.16068024933338165	0.4591674	No	
row_115	Sotub08g008660	NA	8423	0.15545032918453217	0.45901066	No	
row_116	Sotub11g023160	NA	8511	0.1467769294977188	0.4581077	No	
row_117	PGSC0003DMG400026732	NA	8602	0.13817402720451355	0.4570922	No	
