NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub03g006610	NA	519	2.481215000152588	-0.002145375	No	
row_1	Sotub05g010310	NA	1188	1.7662230730056763	-0.00976564	No	
row_2	Sotub02g034910	NA	1363	1.6497961282730103	-0.0077004125	No	
row_3	Sotub02g034810	NA	1395	1.6302250623703003	-0.0027833837	No	
row_4	Sotub02g013090	NA	2116	1.2913782596588135	-0.013081385	No	
row_5	Sotub04g016610	NA	2281	1.2242931127548218	-0.012260592	No	
row_6	Sotub12g018300	NA	3009	0.9926579594612122	-0.023718372	No	
row_7	Sotub03g016860	NA	3576	0.8769989013671875	-0.032284103	No	
row_8	Sotub07g006210	NA	6263	0.45397236943244934	-0.08555611	No	
row_9	Sotub08g018940	NA	6643	0.4379032850265503	-0.09180023	No	
row_10	Sotub07g013810	NA	6983	0.42311298847198486	-0.09727836	No	
row_11	PGSC0003DMG400002406	NA	7801	0.3450167179107666	-0.11277764	No	
row_12	PGSC0003DMG400002924	NA	9650	0.16438406705856323	-0.14993308	No	
row_13	Sotub12g017590	NA	10461	0.09255364537239075	-0.16614896	No	
row_14	Sotub06g011870	NA	11057	0.0415000356733799	-0.17815079	No	
row_15	Sotub11g018530	NA	11420	0.007009514141827822	-0.18551484	No	
row_16	Sotub09g021810	NA	11656	0.0	-0.19031085	No	
row_17	Sotub10g011380	NA	12481	0.0	-0.20712753	No	
row_18	Sotub10g017180	NA	12579	0.0	-0.20910715	No	
row_19	Sotub10g013590	NA	13143	0.0	-0.22059718	No	
row_20	Sotub10g013600	NA	13147	0.0	-0.2206584	No	
row_21	Sotub10g016640	NA	13149	0.0	-0.22067882	No	
row_22	Sotub11g017580	NA	14244	0.0	-0.2430058	No	
row_23	Sotub11g016170	NA	14674	0.0	-0.25176108	No	
row_24	PGSC0003DMG400045360	NA	15306	0.0	-0.2646389	No	
row_25	Sotub06g009320	NA	15370	0.0	-0.26592463	No	
row_26	Sotub06g016630	NA	15436	0.0	-0.2672512	No	
row_27	PGSC0003DMG400016350	NA	15463	0.0	-0.26778182	No	
row_28	Sotub06g020780	NA	15736	0.0	-0.27333295	No	
row_29	Sotub06g032630	NA	16001	0.0	-0.27872083	No	
row_30	Sotub07g008600	NA	16171	0.0	-0.28216988	No	
row_31	Sotub07g012980	NA	16447	0.0	-0.28778222	No	
row_32	Sotub07g014070	NA	16927	0.0	-0.29755792	No	
row_33	Sotub07g018610	NA	17164	0.0	-0.30237436	No	
row_34	Sotub08g011390	NA	17953	0.0	-0.31845632	No	
row_35	Sotub08g011770	NA	18137	0.0	-0.3221911	No	
row_36	Sotub08g011780	NA	18138	0.0	-0.3221911	No	
row_37	PGSC0003DMG400019019	NA	18782	0.0	-0.3353138	No	
row_38	PGSC0003DMG401031434	NA	19976	0.0	-0.35966125	No	
row_39	PGSC0003DMG400019711	NA	21066	0.0	-0.38188618	No	
row_40	Sotub04g025170	NA	21098	0.0	-0.38251886	No	
row_41	PGSC0003DMG400023021	NA	21106	0.0	-0.3826617	No	
row_42	PGSC0003DMG400023022	NA	21107	0.0	-0.3826617	No	
row_43	Sotub04g027210	NA	21266	0.0	-0.38588625	No	
row_44	Sotub04g028050	NA	21304	0.0	-0.38664138	No	
row_45	Sotub06g031430	NA	21620	0.0	-0.39307007	No	
row_46	PGSC0003DMG400017711	NA	21927	0.0	-0.39931512	No	
