NAME	TITLE	SCORE	
PGSC0003DMG400025495	NA	5.0	
PGSC0003DMG400016051	NA	5.0	
PGSC0003DMG402033888	NA	5.0	
Sotub01g027210	NA	5.0	
Sotub01g045530	NA	5.0	
Sotub02g011820	NA	5.0	
Sotub02g013540	NA	5.0	
Sotub02g014840	NA	5.0	
Sotub02g024050	NA	5.0	
Sotub02g024060	NA	5.0	
Sotub02g024680	NA	5.0	
PGSC0003DMG401003505	NA	5.0	
Sotub02g031890	NA	5.0	
Sotub02g034700	NA	5.0	
Sotub02g036760	NA	5.0	
Sotub03g006210	NA	5.0	
Sotub03g007750	NA	5.0	
Sotub03g008440	NA	5.0	
PGSC0003DMG400014880	NA	5.0	
Sotub03g023780	NA	5.0	
PGSC0003DMG401009171	NA	5.0	
Sotub04g006550	NA	5.0	
Sotub04g007640	NA	5.0	
Sotub04g019820	NA	5.0	
Sotub04g027670	NA	5.0	
PGSC0003DMG402027553	NA	5.0	
PGSC0003DMG400027570	NA	5.0	
PGSC0003DMG400027569	NA	5.0	
PGSC0003DMG400027550	NA	5.0	
Sotub04g027250	NA	5.0	
Sotub04g033910	NA	5.0	
Sotub05g005380	NA	5.0	
Sotub05g009640	NA	5.0	
Sotub05g025320	NA	5.0	
Sotub05g026450	NA	5.0	
PGSC0003DMG400011777	NA	5.0	
Sotub06g022260	NA	5.0	
Sotub06g028780	NA	5.0	
Sotub06g033210	NA	5.0	
PGSC0003DMG400031105	NA	5.0	
Sotub07g024960	NA	5.0	
Sotub07g029230	NA	5.0	
Sotub08g006130	NA	5.0	
Sotub08g006150	NA	5.0	
PGSC0003DMG400008782	NA	5.0	
Sotub08g023760	NA	5.0	
Sotub08g024210	NA	5.0	
Sotub09g024280	NA	5.0	
Sotub09g024240	NA	5.0	
PGSC0003DMG400021858	NA	5.0	
PGSC0003DMG400023269	NA	5.0	
Sotub10g015080	NA	5.0	
Sotub10g025180	NA	5.0	
Sotub11g005410	NA	5.0	
Sotub11g005590	NA	5.0	
Sotub11g005610	NA	5.0	
Sotub11g015010	NA	5.0	
PGSC0003DMG400015106	NA	5.0	
PGSC0003DMG400008112	NA	5.0	
Sotub11g026860	NA	5.0	
Sotub11g029990	NA	5.0	
PGSC0003DMG400015401	NA	5.0	
PGSC0003DMG400036004	NA	5.0	
Sotub12g025080	NA	5.0	
PGSC0003DMG406000020	NA	5.0	
PGSC0003DMG406000186	NA	5.0	
PGSC0003DMG400020896	NA	5.0	
Sotub01g011090	NA	5.0	
PGSC0003DMG400005401	NA	5.0	
PGSC0003DMG400018215	NA	5.0	
Sotub01g043700	NA	5.0	
Sotub01g045520	NA	5.0	
PGSC0003DMG400014938	NA	5.0	
PGSC0003DMG400028412	NA	5.0	
Sotub02g021790	NA	5.0	
Sotub02g037460	NA	5.0	
PGSC0003DMG400010818	NA	5.0	
Sotub03g024720	NA	5.0	
Sotub03g024710	NA	5.0	
Sotub03g032900	NA	5.0	
Sotub03g034290	NA	5.0	
PGSC0003DMG400010760	NA	5.0	
PGSC0003DMG400027552	NA	5.0	
Sotub04g036000	NA	5.0	
Sotub05g015350	NA	5.0	
PGSC0003DMG401021988	NA	5.0	
Sotub07g008250	NA	5.0	
PGSC0003DMG400028750	NA	5.0	
Sotub08g009530	NA	5.0	
Sotub08g019200	NA	5.0	
Sotub08g026370	NA	5.0	
Sotub09g009950	NA	5.0	
Sotub09g019370	NA	5.0	
Sotub09g023240	NA	5.0	
Sotub09g023820	NA	5.0	
PGSC0003DMG400045654	NA	5.0	
Sotub09g030290	NA	5.0	
PGSC0003DMG400010562	NA	5.0	
PGSC0003DMG400001274	NA	5.0	
PGSC0003DMG400009590	NA	5.0	
Sotub10g015090	NA	5.0	
Sotub10g015070	NA	5.0	
Sotub10g018740	NA	5.0	
Sotub11g010230	NA	5.0	
PGSC0003DMG400014110	NA	5.0	
PGSC0003DMG400015328	NA	5.0	
Sotub12g006680	NA	5.0	
PGSC0003DMG400028830	NA	5.0	
Sotub12g013500	NA	5.0	
Sotub12g025190	NA	5.0	
PGSC0003DMG400011565	NA	5.0	
Sotub12g029490	NA	5.0	
Sotub12g031090	NA	5.0	
Sotub05g012390	NA	4.9958086	
Sotub10g029040	NA	4.987397	
PGSC0003DMG400035878	NA	4.962282	
Sotub09g019230	NA	4.957415	
Sotub05g019130	NA	4.9565854	
Sotub08g020290	NA	4.949182	
Sotub10g019660	NA	4.939245	
PGSC0003DMG400010460	NA	4.925691	
Sotub11g005390	NA	4.917934	
Sotub01g039010	NA	4.914642	
Sotub02g008400	NA	4.9089055	
PGSC0003DMG400030408	NA	4.8939447	
Sotub03g014590	NA	4.8474274	
Sotub04g010140	NA	4.7722144	
PGSC0003DMG400024456	NA	4.7632775	
PGSC0003DMG400040129	NA	4.759565	
PGSC0003DMG400028645	NA	4.7567987	
Sotub01g005370	NA	4.7504535	
Sotub04g014510	NA	4.7460203	
Sotub04g033170	NA	4.731669	
PGSC0003DMG401027553	NA	4.7275424	
PGSC0003DMG400025454	NA	4.724218	
Sotub12g011700	NA	4.7198763	
Sotub03g008100	NA	4.694758	
Sotub01g006120	NA	4.6661854	
Sotub02g024630	NA	4.6592817	
PGSC0003DMG400021836	NA	4.6328583	
Sotub08g013900	NA	4.6309714	
Sotub11g029950	NA	4.6257567	
Sotub02g037190	NA	4.6175647	
Sotub01g007620	NA	4.6096396	
Sotub08g026670	NA	4.6003346	
Sotub06g009950	NA	4.599462	
Sotub09g012390	NA	4.592429	
Sotub01g045540	NA	4.5908523	
Sotub11g005900	NA	4.569414	
PGSC0003DMG400000318	NA	4.569043	
Sotub12g006770	NA	4.550418	
PGSC0003DMG400009434	NA	4.5433483	
Sotub12g010030	NA	4.524013	
Sotub07g007010	NA	4.518166	
PGSC0003DMG400043363	NA	4.4338136	
Sotub03g016690	NA	4.4264803	
Sotub03g025270	NA	4.424631	
Sotub01g039060	NA	4.4223604	
Sotub02g015200	NA	4.4197483	
PGSC0003DMG400021888	NA	4.406995	
Sotub01g022160	NA	4.403392	
PGSC0003DMG406000059	NA	4.4003863	
Sotub09g022520	NA	4.3957424	
Sotub10g027510	NA	4.393264	
Sotub12g006060	NA	4.3901167	
Sotub02g031730	NA	4.3665485	
PGSC0003DMG400022923	NA	4.344243	
Sotub06g019850	NA	4.3401675	
Sotub01g012120	NA	4.305552	
Sotub07g009240	NA	4.2779317	
Sotub11g013630	NA	4.2756753	
Sotub12g030150	NA	4.2681284	
Sotub03g035780	NA	4.262393	
Sotub02g028940	NA	4.2408047	
PGSC0003DMG400018445	NA	4.2277713	
PGSC0003DMG400018395	NA	4.2255855	
Sotub08g005920	NA	4.215728	
PGSC0003DMG400030006	NA	4.205827	
Sotub04g030290	NA	4.2027807	
PGSC0003DMG406000158	NA	4.19598	
Sotub01g044890	NA	4.1895914	
Sotub12g018520	NA	4.176908	
Sotub02g006280	NA	4.1760693	
PGSC0003DMG400010563	NA	4.176048	
Sotub02g018120	NA	4.157094	
PGSC0003DMG400006904	NA	4.14558	
Sotub11g011120	NA	4.1176996	
PGSC0003DMG400024067	NA	4.1065874	
Sotub03g011580	NA	4.074652	
Sotub03g013440	NA	4.066541	
PGSC0003DMG400014649	NA	4.0663056	
PGSC0003DMG400002110	NA	4.0655904	
PGSC0003DMG400004968	NA	4.0491347	
Sotub01g010250	NA	4.0487843	
PGSC0003DMG400016351	NA	4.0436363	
PGSC0003DMG400018031	NA	4.0310025	
Sotub12g012060	NA	4.0247135	
Sotub06g029230	NA	4.012074	
Sotub08g009010	NA	4.0018754	
Sotub09g023370	NA	3.9864573	
Sotub04g032380	NA	3.9801679	
Sotub06g019830	NA	3.9790776	
Sotub10g026370	NA	3.9450126	
Sotub08g005900	NA	3.9383936	
PGSC0003DMG400014953	NA	3.926289	
Sotub09g026020	NA	3.923231	
Sotub03g008060	NA	3.9215457	
Sotub02g016450	NA	3.8961203	
Sotub02g009630	NA	3.8933063	
Sotub04g011980	NA	3.88176	
Sotub06g007410	NA	3.8705025	
Sotub06g021750	NA	3.8640807	
Sotub11g026770	NA	3.8403237	
Sotub01g023260	NA	3.8266563	
Sotub01g046260	NA	3.8037436	
PGSC0003DMG402030920	NA	3.8013632	
PGSC0003DMG400025380	NA	3.8001368	
Sotub05g027340	NA	3.7542617	
PGSC0003DMG400046353	NA	3.7482433	
Sotub02g030620	NA	3.7261252	
PGSC0003DMG400005002	NA	3.7260773	
Sotub08g019170	NA	3.7224646	
Sotub03g034500	NA	3.709208	
Sotub07g023470	NA	3.692032	
Sotub01g045410	NA	3.678367	
Sotub09g024700	NA	3.6663897	
Sotub06g029870	NA	3.635203	
Sotub01g007610	NA	3.625867	
Sotub12g015690	NA	3.6185405	
Sotub02g018060	NA	3.6125715	
Sotub04g030190	NA	3.6058807	
PGSC0003DMG400009258	NA	3.5993574	
PGSC0003DMG400030484	NA	3.5911777	
PGSC0003DMG400016788	NA	3.5891607	
Sotub05g026410	NA	3.5879662	
Sotub06g029430	NA	3.5816984	
Sotub12g024300	NA	3.5776026	
PGSC0003DMG400023739	NA	3.5769703	
PGSC0003DMG400032207	NA	3.5493622	
Sotub11g014250	NA	3.5482976	
Sotub05g014240	NA	3.5447142	
Sotub02g014590	NA	3.5341873	
PGSC0003DMG401021564	NA	3.5224545	
PGSC0003DMG406000271	NA	3.5177476	
Sotub02g016500	NA	3.5174968	
Sotub04g018340	NA	3.5138314	
Sotub12g019270	NA	3.513512	
PGSC0003DMG400032292	NA	3.5075877	
Sotub06g022300	NA	3.5046072	
PGSC0003DMG400025668	NA	3.5011327	
Sotub04g025860	NA	3.4987628	
Sotub03g010320	NA	3.4946165	
Sotub10g021570	NA	3.4772434	
Sotub03g006790	NA	3.4772325	
Sotub04g036490	NA	3.4635813	
Sotub09g024270	NA	3.4620388	
PGSC0003DMG400003311	NA	3.459697	
Sotub03g009500	NA	3.4549155	
Sotub03g023790	NA	3.449306	
Sotub12g012030	NA	3.446961	
Sotub01g027920	NA	3.4462826	
Sotub02g028470	NA	3.433533	
Sotub10g010000	NA	3.431972	
Sotub09g024630	NA	3.43113	
Sotub02g023970	NA	3.4268079	
PGSC0003DMG400010777	NA	3.425561	
Sotub08g025820	NA	3.4165094	
Sotub01g026840	NA	3.412791	
Sotub07g026520	NA	3.409931	
Sotub08g022790	NA	3.4077728	
PGSC0003DMG400015184	NA	3.3934727	
PGSC0003DMG400016782	NA	3.3677223	
Sotub07g016240	NA	3.367205	
Sotub08g019680	NA	3.365987	
Sotub12g029480	NA	3.3595648	
Sotub02g023480	NA	3.347184	
PGSC0003DMG400031876	NA	3.3418405	
PGSC0003DMG400027881	NA	3.3417013	
Sotub07g018790	NA	3.3322384	
Sotub09g019080	NA	3.3258986	
PGSC0003DMG400027546	NA	3.322097	
PGSC0003DMG403006611	NA	3.3181124	
Sotub07g027260	NA	3.31568	
PGSC0003DMG400018214	NA	3.2990692	
Sotub04g011030	NA	3.2947352	
PGSC0003DMG400018803	NA	3.2911859	
PGSC0003DMG406000311	NA	3.2878907	
Sotub01g037800	NA	3.285365	
Sotub12g031060	NA	3.263599	
PGSC0003DMG400014603	NA	3.2626145	
Sotub07g023480	NA	3.2599173	
PGSC0003DMG400039430	NA	3.2483454	
PGSC0003DMG400030210	NA	3.2312975	
Sotub10g018750	NA	3.2305517	
Sotub02g031370	NA	3.2247143	
Sotub10g014820	NA	3.2233877	
Sotub02g023980	NA	3.2219677	
PGSC0003DMG400014959	NA	3.2181141	
PGSC0003DMG400001287	NA	3.1834903	
Sotub05g005230	NA	3.1825802	
Sotub02g016430	NA	3.1775346	
Sotub02g020180	NA	3.1688275	
Sotub06g026040	NA	3.1537235	
Sotub10g027450	NA	3.152266	
Sotub12g012050	NA	3.1446204	
PGSC0003DMG400025368	NA	3.1439207	
Sotub03g005260	NA	3.1403844	
Sotub09g016990	NA	3.1330454	
Sotub04g025490	NA	3.1276944	
Sotub02g022520	NA	3.1254468	
PGSC0003DMG400016062	NA	3.1211562	
Sotub12g031100	NA	3.1040802	
PGSC0003DMG400007525	NA	3.1008344	
Sotub09g019380	NA	3.0993676	
Sotub10g028460	NA	3.092117	
Sotub01g027390	NA	3.0866387	
Sotub04g035960	NA	3.0820367	
Sotub01g026900	NA	3.0813825	
Sotub11g013210	NA	3.0705974	
Sotub08g025000	NA	3.067443	
Sotub02g028240	NA	3.0648017	
Sotub11g013920	NA	3.0350602	
PGSC0003DMG400005928	NA	3.031926	
Sotub02g021020	NA	3.0238736	
Sotub07g022940	NA	3.0228126	
Sotub05g009530	NA	3.0201464	
Sotub08g019240	NA	3.0052795	
Sotub05g007710	NA	2.998107	
Sotub02g016480	NA	2.9860032	
Sotub11g017950	NA	2.9599895	
Sotub01g030110	NA	2.9597497	
Sotub02g035660	NA	2.9562857	
Sotub01g008030	NA	2.9550145	
PGSC0003DMG400027480	NA	2.9539325	
Sotub01g044360	NA	2.949715	
Sotub12g020850	NA	2.9426317	
Sotub10g008290	NA	2.9419575	
Sotub05g022640	NA	2.9354002	
Sotub05g012080	NA	2.9292254	
PGSC0003DMG400010113	NA	2.9290497	
Sotub04g009390	NA	2.9262502	
Sotub10g012060	NA	2.9229887	
PGSC0003DMG400005078	NA	2.9191053	
Sotub07g024860	NA	2.9175289	
Sotub05g029180	NA	2.9175255	
Sotub01g045560	NA	2.9138315	
Sotub06g028650	NA	2.9123218	
PGSC0003DMG400027566	NA	2.911562	
PGSC0003DMG401003745	NA	2.9114385	
Sotub03g031440	NA	2.9083633	
PGSC0003DMG400013819	NA	2.9078774	
Sotub11g009450	NA	2.9069123	
Sotub07g014720	NA	2.904993	
PGSC0003DMG401015935	NA	2.9048736	
Sotub02g014000	NA	2.9023771	
PGSC0003DMG400009789	NA	2.897459	
PGSC0003DMG400011594	NA	2.8964832	
Sotub03g013450	NA	2.8879282	
PGSC0003DMG400002344	NA	2.8841844	
Sotub11g028200	NA	2.8838987	
Sotub01g039000	NA	2.8830566	
Sotub01g026140	NA	2.8817718	
Sotub02g017860	NA	2.8778336	
Sotub06g031650	NA	2.8728983	
PGSC0003DMG400033932	NA	2.8699877	
Sotub08g021230	NA	2.869739	
Sotub07g018370	NA	2.8635802	
PGSC0003DMG400023470	NA	2.8632264	
Sotub02g019410	NA	2.8574338	
Sotub11g020700	NA	2.8541422	
Sotub02g031290	NA	2.8529086	
Sotub04g025910	NA	2.8472	
Sotub10g024820	NA	2.8427088	
Sotub11g028210	NA	2.8422208	
Sotub04g029220	NA	2.839379	
PGSC0003DMG400014028	NA	2.838521	
Sotub12g031080	NA	2.8349142	
Sotub06g022870	NA	2.833944	
Sotub10g027500	NA	2.8327274	
Sotub07g024850	NA	2.8302164	
Sotub05g026050	NA	2.8295276	
PGSC0003DMG400006901	NA	2.8233104	
Sotub04g032420	NA	2.8203304	
Sotub02g006580	NA	2.8203232	
Sotub01g046460	NA	2.818884	
Sotub01g041770	NA	2.8187356	
Sotub04g024960	NA	2.8165672	
PGSC0003DMG400016518	NA	2.8036928	
Sotub07g008350	NA	2.8004935	
Sotub02g035330	NA	2.790833	
PGSC0003DMG400042218	NA	2.7895787	
Sotub03g030340	NA	2.787245	
Sotub06g027990	NA	2.7765074	
PGSC0003DMG400013111	NA	2.775253	
PGSC0003DMG400019445	NA	2.7737372	
Sotub04g035350	NA	2.7715852	
PGSC0003DMG406000385	NA	2.768872	
Sotub09g030500	NA	2.7637308	
Sotub08g019270	NA	2.7632625	
Sotub01g029630	NA	2.7580924	
Sotub11g028850	NA	2.7562537	
Sotub12g018490	NA	2.7522326	
PGSC0003DMG400008724	NA	2.7522206	
Sotub03g028130	NA	2.7514057	
PGSC0003DMG400033671	NA	2.7476907	
PGSC0003DMG400019364	NA	2.7466528	
Sotub03g034300	NA	2.7444353	
Sotub01g043330	NA	2.742653	
PGSC0003DMG400008195	NA	2.7415872	
PGSC0003DMG400027614	NA	2.738978	
Sotub06g015770	NA	2.7364156	
Sotub03g034620	NA	2.7355509	
Sotub06g028770	NA	2.734567	
Sotub01g044660	NA	2.733498	
Sotub03g024840	NA	2.7333229	
PGSC0003DMG400000697	NA	2.7297618	
Sotub12g019290	NA	2.7288587	
Sotub01g029880	NA	2.723547	
Sotub04g032520	NA	2.7191627	
Sotub09g030810	NA	2.7184033	
Sotub02g010150	NA	2.7168255	
PGSC0003DMG402016888	NA	2.7124114	
Sotub03g024780	NA	2.7122295	
Sotub04g026440	NA	2.7112782	
Sotub04g020770	NA	2.7102497	
Sotub06g022730	NA	2.7062273	
Sotub01g044270	NA	2.7043123	
PGSC0003DMG400021028	NA	2.7034605	
Sotub02g022910	NA	2.7002332	
Sotub02g033760	NA	2.6979442	
Sotub04g008680	NA	2.697086	
Sotub08g007600	NA	2.6949384	
Sotub04g006260	NA	2.69484	
Sotub09g012840	NA	2.6932337	
Sotub03g015860	NA	2.6918476	
PGSC0003DMG402030515	NA	2.6895065	
Sotub08g023470	NA	2.6864755	
Sotub05g012090	NA	2.6863322	
Sotub02g033320	NA	2.6831975	
Sotub04g022850	NA	2.6806202	
Sotub10g010190	NA	2.675487	
Sotub06g011820	NA	2.674898	
Sotub02g028980	NA	2.6740441	
Sotub03g016890	NA	2.6698241	
Sotub05g016650	NA	2.6651795	
PGSC0003DMG400029860	NA	2.661269	
Sotub06g022600	NA	2.6605566	
Sotub02g019780	NA	2.659829	
Sotub07g014390	NA	2.658033	
PGSC0003DMG400001089	NA	2.6544297	
Sotub07g025650	NA	2.649816	
PGSC0003DMG400040761	NA	2.6442556	
PGSC0003DMG400026919	NA	2.6411695	
Sotub07g013820	NA	2.6381018	
Sotub03g028960	NA	2.6357179	
Sotub02g008180	NA	2.626724	
PGSC0003DMG400036056	NA	2.6230748	
Sotub02g008750	NA	2.6218216	
Sotub08g029210	NA	2.6160703	
PGSC0003DMG400027551	NA	2.615961	
Sotub05g025070	NA	2.613708	
Sotub11g021090	NA	2.6070008	
Sotub02g032380	NA	2.604823	
Sotub06g016640	NA	2.5985365	
PGSC0003DMG400003862	NA	2.590583	
Sotub07g026940	NA	2.5897818	
Sotub09g030710	NA	2.5895448	
PGSC0003DMG402025764	NA	2.5894449	
Sotub07g017670	NA	2.5887551	
Sotub10g021120	NA	2.5858746	
Sotub09g023380	NA	2.5821252	
Sotub01g044090	NA	2.5813665	
Sotub01g044860	NA	2.5749295	
PGSC0003DMG400016243	NA	2.571559	
Sotub09g030570	NA	2.5688417	
Sotub04g029810	NA	2.5672286	
Sotub12g027010	NA	2.5629978	
Sotub01g005540	NA	2.55812	
Sotub11g008150	NA	2.558033	
Sotub06g023640	NA	2.5544674	
Sotub12g005880	NA	2.5509017	
Sotub02g021000	NA	2.5501943	
PGSC0003DMG400015705	NA	2.5496747	
Sotub04g012230	NA	2.549544	
Sotub07g009350	NA	2.5452065	
Sotub06g011930	NA	2.5424771	
Sotub03g021590	NA	2.542399	
Sotub02g036340	NA	2.5405362	
Sotub11g025740	NA	2.5391567	
Sotub03g007380	NA	2.5389342	
Sotub11g008730	NA	2.5389187	
PGSC0003DMG400018400	NA	2.5313	
Sotub11g011900	NA	2.5278833	
Sotub02g037440	NA	2.527061	
Sotub09g012880	NA	2.521698	
PGSC0003DMG402022924	NA	2.5206947	
Sotub04g028450	NA	2.5198739	
Sotub01g005640	NA	2.5192683	
Sotub02g026280	NA	2.5189664	
PGSC0003DMG400039160	NA	2.5188224	
Sotub01g037270	NA	2.5182755	
Sotub05g012310	NA	2.5180888	
PGSC0003DMG400028148	NA	2.5176814	
Sotub08g012660	NA	2.5174909	
Sotub03g022490	NA	2.5125697	
Sotub02g016400	NA	2.5121782	
Sotub02g017220	NA	2.5109818	
Sotub01g016200	NA	2.5046787	
Sotub01g007530	NA	2.5034676	
Sotub01g011100	NA	2.503438	
Sotub08g007530	NA	2.502179	
PGSC0003DMG400025429	NA	2.493436	
Sotub11g007920	NA	2.4912384	
Sotub05g020810	NA	2.4907465	
Sotub03g016660	NA	2.4898295	
Sotub10g015960	NA	2.485032	
Sotub12g008780	NA	2.484939	
PGSC0003DMG400026011	NA	2.482735	
Sotub03g009630	NA	2.4819114	
Sotub03g006610	NA	2.481215	
Sotub08g014960	NA	2.4805987	
Sotub02g030480	NA	2.476752	
Sotub06g021360	NA	2.4766345	
PGSC0003DMG400000332	NA	2.4729433	
Sotub09g008610	NA	2.46985	
Sotub01g023470	NA	2.46946	
Sotub03g023820	NA	2.4694011	
PGSC0003DMG400034095	NA	2.4677887	
Sotub04g007890	NA	2.4630156	
Sotub01g016260	NA	2.4621341	
Sotub12g027180	NA	2.46209	
Sotub12g011180	NA	2.461566	
Sotub01g020150	NA	2.4594655	
Sotub11g025480	NA	2.4588943	
Sotub01g038060	NA	2.4585803	
Sotub02g028460	NA	2.4585125	
Sotub08g020560	NA	2.4518614	
Sotub06g026030	NA	2.4516294	
Sotub05g007700	NA	2.4510164	
Sotub01g009740	NA	2.449673	
Sotub10g026130	NA	2.4485576	
Sotub11g029930	NA	2.4464102	
Sotub06g014120	NA	2.4447005	
Sotub02g026310	NA	2.4440238	
Sotub12g010140	NA	2.443785	
PGSC0003DMG401012256	NA	2.4422152	
Sotub08g011220	NA	2.4419696	
Sotub06g010590	NA	2.4418936	
Sotub06g028920	NA	2.438788	
Sotub07g022490	NA	2.4386094	
Sotub08g023620	NA	2.4375792	
Sotub09g023860	NA	2.4371412	
Sotub10g021780	NA	2.436705	
Sotub01g046420	NA	2.434948	
Sotub11g013930	NA	2.433992	
Sotub01g030750	NA	2.432912	
Sotub06g011430	NA	2.4325242	
Sotub12g029470	NA	2.4313061	
Sotub03g029960	NA	2.4300556	
Sotub03g015110	NA	2.4292915	
PGSC0003DMG406000156	NA	2.4281266	
Sotub03g025470	NA	2.4248428	
PGSC0003DMG400010680	NA	2.4245863	
PGSC0003DMG402015891	NA	2.4244645	
Sotub07g025600	NA	2.4208302	
Sotub12g028910	NA	2.4180932	
Sotub07g018820	NA	2.4170346	
Sotub10g008320	NA	2.4153657	
Sotub08g014550	NA	2.4131265	
Sotub08g010760	NA	2.411934	
Sotub10g018850	NA	2.4110498	
Sotub08g008060	NA	2.4110446	
Sotub08g013200	NA	2.4104266	
PGSC0003DMG400000319	NA	2.408642	
Sotub02g025810	NA	2.4081917	
Sotub04g035230	NA	2.4040012	
Sotub03g013420	NA	2.4030466	
Sotub09g026340	NA	2.4019642	
PGSC0003DMG400012176	NA	2.3941746	
Sotub05g019500	NA	2.3929803	
Sotub06g010020	NA	2.3903425	
Sotub11g025270	NA	2.3851805	
Sotub12g010880	NA	2.3847	
Sotub08g029070	NA	2.3808303	
Sotub06g019820	NA	2.3800905	
Sotub10g022440	NA	2.377131	
Sotub02g006710	NA	2.3720016	
PGSC0003DMG400017233	NA	2.3667321	
Sotub03g035630	NA	2.3650205	
Sotub03g031890	NA	2.364291	
PGSC0003DMG400007613	NA	2.3625488	
Sotub02g017940	NA	2.3621	
Sotub12g013470	NA	2.3587787	
Sotub12g030870	NA	2.3580854	
PGSC0003DMG401003297	NA	2.356848	
Sotub08g009890	NA	2.353419	
Sotub05g014430	NA	2.35134	
PGSC0003DMG400031012	NA	2.3429573	
Sotub10g019840	NA	2.3426058	
Sotub03g032830	NA	2.3417995	
Sotub09g012860	NA	2.3400419	
Sotub11g028220	NA	2.339838	
Sotub05g026740	NA	2.3379998	
Sotub08g019280	NA	2.3344316	
Sotub07g008100	NA	2.334054	
Sotub04g025720	NA	2.3328764	
Sotub10g006910	NA	2.3324819	
Sotub01g033080	NA	2.3304875	
Sotub07g007630	NA	2.3278956	
Sotub07g019620	NA	2.3234758	
Sotub05g024670	NA	2.3212333	
Sotub06g016600	NA	2.320443	
PGSC0003DMG400016429	NA	2.3161085	
Sotub09g020610	NA	2.3145795	
Sotub12g005870	NA	2.313405	
Sotub04g022080	NA	2.309951	
Sotub04g035810	NA	2.3087502	
Sotub08g028810	NA	2.3078883	
Sotub07g020380	NA	2.305443	
Sotub02g023960	NA	2.303134	
Sotub05g007300	NA	2.3029294	
Sotub09g020500	NA	2.301298	
Sotub11g015000	NA	2.3012214	
Sotub02g028030	NA	2.3004878	
Sotub01g044290	NA	2.2998745	
Sotub04g032670	NA	2.2990377	
Sotub09g020580	NA	2.2988713	
PGSC0003DMG400025872	NA	2.2962825	
PGSC0003DMG400030843	NA	2.2952452	
Sotub10g019110	NA	2.2930882	
Sotub06g017130	NA	2.29301	
PGSC0003DMG400018690	NA	2.2876618	
PGSC0003DMG400008620	NA	2.2858856	
Sotub07g028700	NA	2.2855227	
Sotub01g025230	NA	2.2836275	
Sotub10g023260	NA	2.2833176	
Sotub07g023270	NA	2.281755	
PGSC0003DMG400004536	NA	2.2777655	
Sotub04g030020	NA	2.2767477	
Sotub04g032430	NA	2.2748456	
Sotub08g007500	NA	2.274698	
Sotub12g025770	NA	2.274564	
Sotub08g028280	NA	2.2718298	
Sotub02g036310	NA	2.2717655	
Sotub01g031690	NA	2.271325	
Sotub02g022600	NA	2.2709072	
PGSC0003DMG400014117	NA	2.268382	
Sotub05g007520	NA	2.2679632	
Sotub01g032540	NA	2.2674866	
Sotub10g021690	NA	2.2672665	
Sotub02g033050	NA	2.2644567	
Sotub08g023630	NA	2.2570984	
Sotub02g037600	NA	2.2514963	
PGSC0003DMG400019944	NA	2.2482843	
Sotub02g013830	NA	2.2482336	
PGSC0003DMG400025265	NA	2.2461798	
