NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub12g018300	NA	1141	1.2371206283569336	-0.015037179	No	
row_1	Sotub02g034870	NA	1154	1.2320396900177002	-0.0071248705	No	
row_2	Sotub02g013090	NA	1858	1.0154348611831665	-0.014713303	No	
row_3	Sotub02g034810	NA	2013	0.9680196642875671	-0.011439616	No	
row_4	Sotub05g010310	NA	2322	0.8756596446037292	-0.011912377	No	
row_5	Sotub03g016860	NA	3418	0.6624041199684143	-0.029817982	No	
row_6	Sotub03g006610	NA	3625	0.6344355940818787	-0.02981132	No	
row_7	Sotub02g034910	NA	3936	0.5896883606910706	-0.03221804	No	
row_8	Sotub04g016610	NA	4843	0.46095216274261475	-0.04760985	No	
row_9	Sotub01g022850	NA	5404	0.3923993408679962	-0.056411967	No	
row_10	Sotub12g014650	NA	6859	0.3190237581729889	-0.08389907	No	
row_11	Sotub08g021630	NA	7528	0.26058530807495117	-0.095772415	No	
row_12	Sotub02g033870	NA	9117	0.12225989252328873	-0.12729003	No	
row_13	Sotub07g013810	NA	9279	0.11046592146158218	-0.12983619	No	
row_14	Sotub08g005020	NA	10089	0.05192539840936661	-0.14596128	No	
row_15	Sotub10g011380	NA	11803	0.0	-0.18083292	No	
row_16	Sotub11g016170	NA	14004	0.0	-0.22561847	No	
row_17	Sotub06g009320	NA	14852	0.0	-0.2428609	No	
row_18	Sotub06g016630	NA	14917	0.0	-0.24416375	No	
row_19	Sotub06g020780	NA	15219	0.0	-0.25029123	No	
row_20	Sotub06g032630	NA	15478	0.0	-0.25554335	No	
row_21	Sotub07g006210	NA	15562	0.0	-0.257233	No	
row_22	Sotub07g008600	NA	15650	0.0	-0.25900406	No	
row_23	Sotub07g018610	NA	16644	0.0	-0.2792186	No	
row_24	Sotub08g011770	NA	17632	0.0	-0.29931104	No	
row_25	Sotub08g011780	NA	17633	0.0	-0.29931104	No	
row_26	PGSC0003DMG400019019	NA	18399	0.0	-0.3148842	No	
row_27	PGSC0003DMG400019711	NA	20685	0.0	-0.36140007	No	
row_28	Sotub04g027210	NA	20885	0.0	-0.36545113	No	
row_29	Sotub01g011140	NA	23385	0.0	-0.41632342	No	
row_30	Sotub01g013230	NA	23659	0.0	-0.42188093	No	
row_31	Sotub01g033830	NA	24636	0.0	-0.44174942	No	
row_32	Sotub02g011400	NA	25611	0.0	-0.46157718	No	
