NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub07g013810	NA	375	1.6976006031036377	0.0071112956	No	
row_1	Sotub12g018300	NA	1896	0.8179607391357422	-0.016726714	No	
row_2	Sotub05g010310	NA	3139	0.5313339829444885	-0.03739507	No	
row_3	Sotub03g016860	NA	3462	0.4758310616016388	-0.039817024	No	
row_4	Sotub02g034810	NA	4496	0.3970746099948883	-0.05739692	No	
row_5	Sotub07g008610	NA	5424	0.28658929467201233	-0.07377863	No	
row_6	Sotub06g011870	NA	6139	0.21580131351947784	-0.08643914	No	
row_7	Sotub04g016610	NA	7605	0.08831612020730972	-0.11549514	No	
row_8	Sotub10g011380	NA	9648	0.0	-0.15706426	No	
row_9	Sotub11g016170	NA	11903	0.0	-0.20294908	No	
row_10	PGSC0003DMG400002941	NA	12302	0.0	-0.2110512	No	
row_11	Sotub06g009320	NA	13213	0.0	-0.22957613	No	
row_12	Sotub06g016630	NA	13281	0.0	-0.23094004	No	
row_13	Sotub06g020780	NA	13590	0.0	-0.23721002	No	
row_14	Sotub06g032630	NA	13872	0.0	-0.24293035	No	
row_15	Sotub07g006210	NA	13964	0.0	-0.24478285	No	
row_16	Sotub07g008600	NA	14059	0.0	-0.24669641	No	
row_17	Sotub07g018610	NA	15069	0.0	-0.26723668	No	
row_18	Sotub08g011770	NA	16090	0.0	-0.28800088	No	
row_19	Sotub08g011780	NA	16091	0.0	-0.28800088	No	
row_20	Sotub08g018940	NA	16595	0.0	-0.29824048	No	
row_21	PGSC0003DMG400020812	NA	16722	0.0	-0.30080548	No	
row_22	PGSC0003DMG400019019	NA	17294	0.0	-0.31242937	No	
row_23	PGSC0003DMG400019711	NA	19667	0.0	-0.3607163	No	
row_24	Sotub04g027210	NA	19880	0.0	-0.36503202	No	
row_25	PGSC0003DMG400036118	NA	20384	0.0	-0.37527162	No	
row_26	Sotub01g011140	NA	22794	0.0	-0.4243118	No	
row_27	Sotub01g013230	NA	23069	0.0	-0.42988962	No	
row_28	Sotub01g033830	NA	24073	0.0	-0.45030776	No	
row_29	Sotub02g011400	NA	25086	0.0	-0.47090912	No	
row_30	Sotub02g013210	NA	25187	0.0	-0.47294483	No	
row_31	Sotub03g008430	NA	25921	0.0	-0.48786655	No	
row_32	Sotub03g006610	NA	25971	0.0	-0.48886403	No	
row_33	Sotub05g016710	NA	26415	0.0	-0.49788222	No	
row_34	Sotub12g019800	NA	29886	0.0	-0.5685212	No	
row_35	Sotub01g041500	NA	31337	-0.041504211723804474	-0.5976785	No	
row_36	Sotub02g034910	NA	32087	-0.10108455270528793	-0.6120479	No	
row_37	Sotub03g030530	NA	32114	-0.10357175022363663	-0.6116776	No	
row_38	Sotub02g034870	NA	32399	-0.12443731725215912	-0.6163781	No	
row_39	Sotub12g017590	NA	32705	-0.15015561878681183	-0.6212828	No	
row_40	PGSC0003DMG400002406	NA	32909	-0.16647982597351074	-0.62396926	No	
row_41	Sotub06g033430	NA	33090	-0.1769540011882782	-0.6260965	No	
row_42	Sotub10g020360	NA	33167	-0.1801896095275879	-0.62607855	No	
row_43	Sotub08g005020	NA	33239	-0.18476462364196777	-0.62591904	No	
row_44	PGSC0003DMG400021100	NA	33400	-0.19734546542167664	-0.627462	No	
row_45	Sotub02g034930	NA	33402	-0.1975654512643814	-0.6257664	No	
row_46	Sotub11g018530	NA	33515	-0.2053506076335907	-0.6262627	No	
row_47	Sotub04g011820	NA	33997	-0.2401164025068283	-0.63396883	No	
row_48	PGSC0003DMG400020636	NA	34007	-0.2405894696712494	-0.6320623	No	
row_49	Sotub10g024330	NA	34095	-0.2468862235546112	-0.63168895	No	
row_50	Sotub08g006060	NA	34343	-0.2625625431537628	-0.63443655	No	
row_51	Sotub06g007630	NA	34560	-0.2779625356197357	-0.6364193	No	
row_52	Sotub01g037690	NA	34928	-0.2990417778491974	-0.6412929	No	
row_53	Sotub09g005660	NA	34978	-0.30173972249031067	-0.63966954	No	
row_54	Sotub08g023110	NA	35074	-0.3067916929721832	-0.63893867	No	
row_55	Sotub03g023860	NA	35916	-0.33742985129356384	-0.6531281	No	
row_56	Sotub06g023910	NA	36100	-0.34222888946533203	-0.65388083	No	
row_57	Sotub09g027880	NA	36369	-0.34693586826324463	-0.6563231	No	
row_58	Sotub08g020710	NA	36500	-0.3493725657463074	-0.65593493	No	
row_59	Sotub10g019910	NA	36586	-0.3508762717247009	-0.65461755	No	
row_60	Sotub01g041630	NA	36921	-0.3571784496307373	-0.6583144	No	
row_61	Sotub02g009870	NA	37048	-0.35950443148612976	-0.6577568	No	
row_62	PGSC0003DMG400032190	NA	37056	-0.35986706614494324	-0.65477353	No	
row_63	Sotub06g019500	NA	37442	-0.37078261375427246	-0.6593904	No	
