NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub06g028780	NA	18	3.82437801361084	0.14330064	Yes	
row_1	Sotub03g024720	NA	85	2.59653902053833	0.23950286	Yes	
row_2	Sotub03g024710	NA	103	2.5014734268188477	0.33312783	Yes	
row_3	Sotub03g015860	NA	108	2.478543281555176	0.42615512	Yes	
row_4	Sotub03g015850	NA	292	1.9935126304626465	0.49733087	Yes	
row_5	Sotub06g028790	NA	293	1.9916319847106934	0.5721481	Yes	
row_6	Sotub03g024690	NA	372	1.874542474746704	0.64098454	Yes	
row_7	Sotub03g016090	NA	457	1.7756882905960083	0.7059857	Yes	
row_8	Sotub06g028770	NA	1088	1.269792914390564	0.7409071	Yes	
row_9	Sotub06g028760	NA	1107	1.255694031715393	0.78771305	Yes	
row_10	PGSC0003DMG400027889	NA	1604	1.0323301553726196	0.8164321	Yes	
row_11	Sotub06g028750	NA	5218	0.35667598247528076	0.75654197	No	
row_12	Sotub03g016030	NA	8343	0.15016695857048035	0.6988134	No	
row_13	Sotub12g025400	NA	8869	0.13912568986415863	0.6933902	No	
row_14	Sotub03g016040	NA	10140	0.06856711953878403	0.6702043	No	
row_15	Sotub12g008840	NA	14484	0.0	0.5821074	No	
row_16	Sotub03g016000	NA	19042	0.0	0.4896696	No	
row_17	Sotub05g021740	NA	27223	0.0	0.32373995	No	
row_18	Sotub12g025420	NA	30779	0.0	0.25162748	No	
row_19	Sotub03g015960	NA	32553	-0.0915936678647995	0.21910332	No	
row_20	Sotub12g025390	NA	34377	-0.19811488687992096	0.18956648	No	
row_21	Sotub03g016010	NA	35373	-0.2534986138343811	0.17890596	No	
row_22	PGSC0003DMG401005708	NA	38534	-0.39831191301345825	0.12976891	No	
row_23	Sotub03g034700	NA	39308	-0.44827428460121155	0.13092853	No	
row_24	Sotub04g007680	NA	48566	-1.9215151071548462	0.015335372	No	
