NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub07g024860	NA	55	2.7582123279571533	0.19765541	Yes	
row_1	Sotub07g024850	NA	69	2.6777307987213135	0.390363	Yes	
row_2	Sotub02g019410	NA	454	1.77865469455719	0.51075155	Yes	
row_3	Sotub07g022920	NA	495	1.7208250761032104	0.6339517	Yes	
row_4	Sotub12g022270	NA	4484	0.4360717236995697	0.5844684	No	
row_5	Sotub09g024920	NA	6152	0.27979394793510437	0.5708116	No	
row_6	Sotub12g022290	NA	6650	0.24400214850902557	0.5783125	No	
row_7	Sotub10g026020	NA	7239	0.2132813185453415	0.58175325	No	
row_8	Sotub04g033780	NA	8233	0.15259192883968353	0.57260376	No	
row_9	Sotub11g029430	NA	9659	0.10024698078632355	0.55091757	No	
row_10	Sotub09g024930	NA	10691	0.03363258019089699	0.5324243	No	
row_11	PGSC0003DMG400036830	NA	11341	0.0	0.5192573	No	
row_12	Sotub06g021530	NA	15482	0.0	0.43526462	No	
row_13	PGSC0003DMG400044006	NA	19225	0.0	0.35934657	No	
row_14	Sotub04g033770	NA	21045	0.0	0.32244253	No	
row_15	PGSC0003DMG400043196	NA	22349	0.0	0.29600716	No	
row_16	PGSC0003DMG400041736	NA	22350	0.0	0.29600716	No	
row_17	Sotub12g022250	NA	30660	0.0	0.1274334	No	
row_18	PGSC0003DMG400026448	NA	30664	0.0	0.12737255	No	
row_19	Sotub12g022550	NA	30684	0.0	0.12698707	No	
row_20	Sotub12g022560	NA	30686	0.0	0.12696677	No	
row_21	Sotub12g022610	NA	30689	0.0	0.1269262	No	
row_22	Sotub12g032980	NA	30965	0.0	0.12134698	No	
row_23	Sotub08g007310	NA	32744	-0.10341436415910721	0.09272733	No	
row_24	Sotub06g022980	NA	33085	-0.12440166622400284	0.09479442	No	
row_25	Sotub01g006640	NA	35811	-0.2767462730407715	0.059453163	No	
row_26	PGSC0003DMG401005699	NA	35858	-0.27980679273605347	0.078684255	No	
row_27	Sotub10g020410	NA	36061	-0.2904963791370392	0.09552076	No	
row_28	Sotub09g024900	NA	36439	-0.3128397464752197	0.110417016	No	
row_29	Sotub03g011520	NA	37528	-0.35286054015159607	0.113772556	No	
row_30	PGSC0003DMG402002599	NA	40373	-0.5154460668563843	0.093218975	No	
row_31	Sotub09g012090	NA	41653	-0.5958846211433411	0.11021308	No	
row_32	Sotub12g022570	NA	42197	-0.629374623298645	0.1445527	No	
