NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub10g013140	NA	7995	0.33444225788116455	-0.1264151	No	
row_1	Sotub06g015070	NA	12081	0.11750845611095428	-0.19671702	No	
row_2	Sotub12g019730	NA	13017	0.06970411539077759	-0.20822775	No	
row_3	Sotub10g013120	NA	15481	0.0	-0.25819632	No	
row_4	Sotub10g013130	NA	15482	0.0	-0.25819632	No	
row_5	Sotub10g015520	NA	15613	0.0	-0.2608337	No	
row_6	PGSC0003DMG400006702	NA	22353	0.0	-0.39755237	No	
row_7	Sotub01g017180	NA	24592	0.0	-0.4429562	No	
row_8	Sotub01g041480	NA	25122	0.0	-0.45368838	No	
row_9	Sotub02g008440	NA	25651	0.0	-0.4644003	No	
row_10	Sotub05g012130	NA	26630	0.0	-0.48424163	No	
row_11	Sotub12g020090	NA	30935	0.0	-0.57155985	No	
row_12	PGSC0003DMG400005372	NA	32155	-0.019980357959866524	-0.5941526	No	
row_13	Sotub01g023420	NA	33802	-0.10293985903263092	-0.6165317	No	
row_14	Sotub01g020840	NA	35171	-0.16894586384296417	-0.62620825	No	
row_15	Sotub06g018020	NA	39592	-0.3436875641345978	-0.6791057	Yes	
row_16	Sotub02g015690	NA	40157	-0.380433589220047	-0.649842	Yes	
row_17	Sotub03g036350	NA	40202	-0.3835219740867615	-0.60969836	Yes	
row_18	Sotub09g018400	NA	40392	-0.39494839310646057	-0.57127374	Yes	
row_19	Sotub06g029940	NA	40603	-0.4060884714126587	-0.5320832	Yes	
row_20	Sotub08g009120	NA	40766	-0.4151366949081421	-0.4909507	Yes	
row_21	Sotub07g027690	NA	41547	-0.4557865858078003	-0.4580065	Yes	
row_22	Sotub12g022070	NA	41563	-0.45647987723350525	-0.40946805	Yes	
row_23	Sotub06g035390	NA	41600	-0.45820724964141846	-0.36117083	Yes	
row_24	Sotub06g023110	NA	41606	-0.45845192670822144	-0.31221852	Yes	
row_25	Sotub06g034140	NA	41856	-0.4701251983642578	-0.26696736	Yes	
row_26	Sotub02g015680	NA	42407	-0.5050263404846191	-0.2240884	Yes	
row_27	Sotub06g023130	NA	42498	-0.5098251104354858	-0.17136365	Yes	
row_28	PGSC0003DMG400012033	NA	42648	-0.5194036364555359	-0.118811	Yes	
row_29	Sotub06g035400	NA	43070	-0.5484210252761841	-0.068671755	Yes	
row_30	Sotub10g006600	NA	43273	-0.5630865097045898	-0.012520333	Yes	
row_31	Sotub07g012870	NA	48266	-1.263755440711975	0.021423783	Yes	
