NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub12g025490	NA	12178	0.11283785104751587	-0.20307805	No	
row_1	Sotub06g023570	NA	14434	0.0032255102414637804	-0.24755609	No	
row_2	Sotub06g012610	NA	17183	0.0	-0.30328742	No	
row_3	Sotub06g017270	NA	17677	0.0	-0.3132858	No	
row_4	Sotub04g020210	NA	21890	0.0	-0.39870802	No	
row_5	PGSC0003DMG400046976	NA	24603	0.0	-0.45370924	No	
row_6	Sotub05g020990	NA	26870	0.0	-0.49966526	No	
row_7	PGSC0003DMG400020295	NA	29712	0.0	-0.5572827	No	
row_8	Sotub09g017200	NA	29713	0.0	-0.5572827	No	
row_9	Sotub01g031700	NA	31967	-0.01012163795530796	-0.59903723	No	
row_10	Sotub09g011810	NA	36524	-0.20599329471588135	-0.6112933	Yes	
row_11	Sotub06g011120	NA	42472	-0.508233368396759	-0.5341718	Yes	
row_12	Sotub05g029490	NA	42804	-0.5297825336456299	-0.3347702	Yes	
row_13	Sotub06g026500	NA	43114	-0.5510879158973694	-0.12663347	Yes	
row_14	Sotub06g027040	NA	44340	-0.6490490436553955	0.10103843	Yes	
