NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub11g008620	NA	323	2.867250442504883	0.08966515	Yes	
row_1	Sotub06g011820	NA	357	2.7765722274780273	0.18217091	Yes	
row_2	Sotub11g008100	NA	359	2.7738139629364014	0.27523333	Yes	
row_3	Sotub11g008150	NA	370	2.749190092086792	0.36728683	Yes	
row_4	Sotub11g008630	NA	501	2.4866647720336914	0.448096	Yes	
row_5	PGSC0003DMG400009637	NA	709	2.183173179626465	0.51715857	Yes	
row_6	PGSC0003DMG400031479	NA	914	1.9336740970611572	0.57790935	Yes	
row_7	Sotub11g008640	NA	1258	1.6705002784729004	0.6270086	Yes	
row_8	Sotub11g008730	NA	2194	1.223207950592041	0.64908725	Yes	
row_9	Sotub04g016900	NA	2346	1.1690219640731812	0.6852534	Yes	
row_10	Sotub11g008720	NA	2776	1.0466334819793701	0.71167237	Yes	
row_11	Sotub06g011810	NA	5060	0.6155782341957092	0.686012	No	
row_12	Sotub11g008700	NA	6126	0.4989860951900482	0.68115	No	
row_13	Sotub01g044710	NA	7967	0.3351321518421173	0.65506613	No	
row_14	PGSC0003DMG402025767	NA	9567	0.25594085454940796	0.63121426	No	
row_15	PGSC0003DMG400005001	NA	11339	0.15823344886302948	0.60059404	No	
row_16	Sotub08g010180	NA	19377	0.0	0.43753862	No	
row_17	Sotub03g020300	NA	20278	0.0	0.41927934	No	
row_18	Sotub03g020280	NA	20279	0.0	0.41927934	No	
row_19	Sotub03g020270	NA	20280	0.0	0.41927934	No	
row_20	Sotub05g020450	NA	26875	0.0	0.28549966	No	
row_21	Sotub11g008680	NA	32380	-0.03310507535934448	0.17494495	No	
row_22	PGSC0003DMG400009638	NA	32860	-0.05723615363240242	0.16714767	No	
row_23	Sotub06g011790	NA	38223	-0.2798692286014557	0.06775468	No	
row_24	Sotub11g008710	NA	39118	-0.31962692737579346	0.060343053	No	
row_25	Sotub11g008610	NA	40126	-0.3788643479347229	0.052626748	No	
row_26	Sotub11g008670	NA	41638	-0.4595361649990082	0.0373924	No	
row_27	Sotub11g008690	NA	42234	-0.4942089915275574	0.04190548	No	
row_28	Sotub02g015490	NA	42291	-0.4975687265396118	0.05746659	No	
row_29	Sotub02g006220	NA	43027	-0.5459381341934204	0.06087525	No	
row_30	Sotub08g010210	NA	43382	-0.5708572864532471	0.0728499	No	
row_31	Sotub03g020310	NA	44617	-0.6743143796920776	0.0704428	No	
row_32	Sotub03g020290	NA	45359	-0.7447592616081238	0.0804017	No	
