NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub01g032520	NA	30	4.786160945892334	0.034266096	Yes	
row_1	Sotub03g005750	NA	79	4.122169494628906	0.0633269	Yes	
row_2	Sotub05g023530	NA	143	3.5866825580596924	0.08817997	Yes	
row_3	Sotub09g026340	NA	202	3.253918170928955	0.11071	Yes	
row_4	PGSC0003DMG402008946	NA	496	2.4975318908691406	0.122940555	Yes	
row_5	Sotub06g017170	NA	589	2.3256096839904785	0.13801323	Yes	
row_6	Sotub09g026020	NA	630	2.2828774452209473	0.1538339	Yes	
row_7	Sotub08g023760	NA	697	2.1937787532806396	0.1684756	Yes	
row_8	Sotub03g005730	NA	918	1.9284718036651611	0.17804657	Yes	
row_9	Sotub01g011720	NA	961	1.884090781211853	0.19092049	Yes	
row_10	Sotub11g014250	NA	975	1.8765466213226318	0.20433024	Yes	
row_11	Sotub05g022360	NA	1031	1.827700138092041	0.21652839	Yes	
row_12	Sotub06g017160	NA	1040	1.821014165878296	0.22963534	Yes	
row_13	Sotub08g028870	NA	1077	1.7935782670974731	0.24197192	Yes	
row_14	Sotub08g023750	NA	1132	1.7591688632965088	0.25369105	Yes	
row_15	Sotub12g011800	NA	1140	1.7542519569396973	0.26633185	Yes	
row_16	Sotub07g018820	NA	1249	1.68364679813385	0.2764005	Yes	
row_17	Sotub05g024650	NA	1367	1.5962525606155396	0.28564897	Yes	
row_18	PGSC0003DMG402025438	NA	1438	1.5620378255844116	0.2956056	Yes	
row_19	Sotub09g010000	NA	1475	1.537820816040039	0.30607846	Yes	
row_20	Sotub02g020180	NA	1485	1.5331928730010986	0.31706765	Yes	
row_21	Sotub02g030480	NA	1513	1.5198746919631958	0.3275931	Yes	
row_22	Sotub04g007790	NA	1592	1.4824647903442383	0.3368069	Yes	
row_23	PGSC0003DMG400017233	NA	1777	1.3925352096557617	0.34320584	Yes	
row_24	Sotub09g009970	NA	1836	1.3662008047103882	0.35197988	Yes	
row_25	Sotub09g019370	NA	2028	1.284883975982666	0.35745177	Yes	
row_26	Sotub09g026510	NA	2173	1.229866623878479	0.36348024	Yes	
row_27	Sotub11g005390	NA	2280	1.1903682947158813	0.36999506	Yes	
row_28	Sotub08g005000	NA	2415	1.1465380191802979	0.37562007	Yes	
row_29	Sotub04g008140	NA	2449	1.1375178098678589	0.38323697	Yes	
row_30	Sotub03g005740	NA	2538	1.1138237714767456	0.38956073	Yes	
row_31	Sotub09g026030	NA	2579	1.0985981225967407	0.3967514	Yes	
row_32	Sotub09g019380	NA	2746	1.0533866882324219	0.40104568	Yes	
row_33	Sotub07g018790	NA	2861	1.025650978088379	0.4061972	Yes	
row_34	Sotub08g009730	NA	2908	1.013702392578125	0.412647	Yes	
row_35	PGSC0003DMG400028698	NA	3178	0.9486783146858215	0.41407984	Yes	
row_36	Sotub05g028140	NA	3661	0.8430315256118774	0.4104034	Yes	
row_37	PGSC0003DMG402017236	NA	3697	0.8374218344688416	0.41579273	Yes	
row_38	Sotub04g008150	NA	3698	0.8373699188232422	0.42189476	Yes	
row_39	Sotub01g029440	NA	3813	0.8158329129219055	0.42551732	Yes	
row_40	Sotub04g011610	NA	3815	0.8155648708343506	0.43144006	Yes	
row_41	Sotub01g011730	NA	3837	0.811590313911438	0.43692636	Yes	
row_42	Sotub05g024670	NA	3838	0.8115029335021973	0.4428399	Yes	
row_43	Sotub07g013910	NA	3851	0.8096081614494324	0.44849512	Yes	
row_44	Sotub08g028890	NA	4259	0.7365275621414185	0.44557053	Yes	
row_45	PGSC0003DMG400012582	NA	4350	0.7218133211135864	0.4489969	Yes	
row_46	Sotub04g008160	NA	4518	0.6930220127105713	0.4506448	Yes	
row_47	PGSC0003DMG400027922	NA	4838	0.6444753408432007	0.4488422	Yes	
row_48	PGSC0003DMG400017243	NA	4915	0.6342703104019165	0.45191586	Yes	
row_49	Sotub04g020530	NA	4932	0.6331955790519714	0.4562041	Yes	
row_50	PGSC0003DMG400003331	NA	5117	0.6080823540687561	0.45688665	Yes	
row_51	Sotub12g006350	NA	5150	0.6029844880104065	0.46062872	Yes	
row_52	Sotub09g026320	NA	5275	0.5902479887008667	0.46240368	Yes	
row_53	Sotub02g007630	NA	5312	0.5856427550315857	0.4659379	Yes	
row_54	Sotub01g041770	NA	5386	0.5767465233802795	0.4686535	Yes	
row_55	Sotub09g019360	NA	5422	0.5732873678207397	0.47211808	Yes	
row_56	Sotub09g026410	NA	5494	0.5683131814002991	0.47481295	Yes	
row_57	Sotub06g017120	NA	5558	0.5605244040489197	0.47761407	Yes	
row_58	Sotub03g030610	NA	5650	0.5502423644065857	0.47976983	Yes	
row_59	Sotub04g030350	NA	5682	0.547403872013092	0.48312727	Yes	
row_60	Sotub01g029490	NA	5707	0.5444838404655457	0.48660603	Yes	
row_61	Sotub12g031260	NA	5760	0.5394540429115295	0.4894777	Yes	
row_62	Sotub09g026480	NA	5893	0.5251950621604919	0.49061564	Yes	
row_63	Sotub12g011180	NA	6105	0.5006502866744995	0.4899653	Yes	
row_64	Sotub04g008050	NA	6204	0.4915091097354889	0.49155042	Yes	
row_65	Sotub01g029560	NA	6235	0.48884040117263794	0.49450147	Yes	
row_66	Sotub01g011740	NA	6398	0.47414863109588623	0.49465623	Yes	
row_67	PGSC0003DMG400034313	NA	6561	0.45751166343688965	0.4946898	Yes	
row_68	Sotub07g024930	NA	6702	0.44290027022361755	0.49506506	Yes	
row_69	Sotub09g009960	NA	6905	0.4244387745857239	0.49404266	No	
row_70	Sotub11g013090	NA	7371	0.38004249334335327	0.48733872	No	
row_71	Sotub05g022350	NA	7425	0.37539875507354736	0.48899454	No	
row_72	Sotub12g032850	NA	7859	0.34332236647605896	0.48267493	No	
row_73	Sotub09g026490	NA	7957	0.3365105390548706	0.48315096	No	
row_74	Sotub02g031500	NA	8044	0.33126476407051086	0.48381287	No	
row_75	Sotub03g030620	NA	8477	0.3096236288547516	0.47726807	No	
row_76	Sotub03g030820	NA	8700	0.2997180223464966	0.47492936	No	
row_77	Sotub09g010020	NA	9220	0.27473315596580505	0.4663579	No	
row_78	Sotub08g028880	NA	9739	0.24425430595874786	0.45758468	No	
row_79	Sotub06g024860	NA	9944	0.23391006886959076	0.45513314	No	
row_80	Sotub04g008190	NA	9945	0.23383364081382751	0.45683712	No	
row_81	PGSC0003DMG400008868	NA	10199	0.21976731717586517	0.45328426	No	
row_82	Sotub12g024100	NA	10221	0.21976731717586517	0.4544579	No	
row_83	Sotub11g005240	NA	11128	0.16870364546775818	0.43722948	No	
row_84	Sotub04g008210	NA	11211	0.16474097967147827	0.4367594	No	
row_85	Sotub04g008230	NA	11427	0.15342411398887634	0.43349725	No	
row_86	PGSC0003DMG400031041	NA	11501	0.14912821352481842	0.43309677	No	
row_87	Sotub04g008250	NA	12418	0.10079163312911987	0.41516975	No	
row_88	Sotub07g025670	NA	12582	0.09183149039745331	0.41251814	No	
row_89	Sotub02g024300	NA	12603	0.09066272526979446	0.41277137	No	
row_90	PGSC0003DMG401025438	NA	12694	0.08653146028518677	0.41156837	No	
row_91	Sotub09g022980	NA	12784	0.08235899358987808	0.41035536	No	
row_92	PGSC0003DMG400010752	NA	13186	0.062227409332990646	0.4026393	No	
row_93	Sotub09g026240	NA	13356	0.053942907601594925	0.3995894	No	
row_94	Sotub06g017200	NA	13727	0.03635464981198311	0.39231637	No	
row_95	Sotub11g007510	NA	13750	0.035259682685136795	0.3921251	No	
row_96	Sotub10g007830	NA	14145	0.017060253769159317	0.38422254	No	
row_97	Sotub09g026200	NA	14697	0.0	0.3729971	No	
row_98	Sotub09g026190	NA	14698	0.0	0.3729971	No	
row_99	PGSC0003DMG401017239	NA	14699	0.0	0.3729971	No	
row_100	Sotub09g029140	NA	14805	0.0	0.37085795	No	
row_101	Sotub10g011270	NA	15277	0.0	0.36126235	No	
row_102	Sotub10g017160	NA	15356	0.0	0.35967326	No	
row_103	PGSC0003DMG400008250	NA	15940	0.0	0.34779593	No	
row_104	PGSC0003DMG402021981	NA	15962	0.0	0.3473681	No	
row_105	Sotub10g018000	NA	15989	0.0	0.34683838	No	
row_106	Sotub10g017980	NA	15991	0.0	0.34681803	No	
row_107	PGSC0003DMG400041863	NA	16006	0.0	0.3465328	No	
row_108	Sotub10g027970	NA	16100	0.0	0.34463814	No	
row_109	Sotub10g020910	NA	16258	0.0	0.3414396	No	
row_110	Sotub11g007500	NA	16302	0.0	0.34056357	No	
