NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub06g010590	NA	269	3.0421435832977295	0.1744146	Yes	
row_1	Sotub04g016840	NA	534	2.4225642681121826	0.31229717	Yes	
row_2	PGSC0003DMG400031768	NA	760	2.109295129776001	0.43244833	Yes	
row_3	Sotub02g027040	NA	1123	1.7641942501068115	0.52941614	Yes	
row_4	PGSC0003DMG400008112	NA	1400	1.581155776977539	0.61730593	Yes	
row_5	Sotub02g025790	NA	1998	1.2988532781600952	0.6819933	Yes	
row_6	Sotub03g021200	NA	2182	1.2265002727508545	0.75079995	Yes	
row_7	Sotub07g023950	NA	5083	0.6122438907623291	0.7281785	Yes	
row_8	Sotub02g007200	NA	5403	0.5750479698181152	0.7557087	Yes	
row_9	Sotub08g010670	NA	6548	0.45906761288642883	0.7596477	Yes	
row_10	Sotub06g010630	NA	6588	0.45589569211006165	0.78581214	Yes	
row_11	Sotub06g010640	NA	8656	0.30261510610580444	0.76177937	No	
row_12	Sotub06g010650	NA	10024	0.22744806110858917	0.7475005	No	
row_13	Sotub01g039430	NA	13377	0.052885912358760834	0.6826383	No	
row_14	Sotub02g025890	NA	13680	0.038431331515312195	0.6787851	No	
row_15	Sotub10g018950	NA	16038	0.0	0.6309777	No	
row_16	Sotub10g018930	NA	16040	0.0	0.6309574	No	
row_17	Sotub08g018080	NA	32566	-0.041462112218141556	0.2982298	No	
row_18	Sotub09g017340	NA	33584	-0.09080769121646881	0.28297096	No	
row_19	Sotub06g035270	NA	36454	-0.20507092773914337	0.23690368	No	
row_20	Sotub10g011290	NA	40639	-0.4072585701942444	0.17611867	No	
