NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub07g005290	NA	345	2.8062684535980225	0.13021159	Yes	
row_1	Sotub03g013550	NA	513	2.468301296234131	0.2475094	Yes	
row_2	Sotub05g012970	NA	614	2.297560691833496	0.35781813	Yes	
row_3	Sotub05g012840	NA	1791	1.386260986328125	0.4017423	Yes	
row_4	Sotub02g018720	NA	1805	1.3781964778900146	0.46886435	Yes	
row_5	PGSC0003DMG400013809	NA	2200	1.220974087715149	0.52057034	Yes	
row_6	Sotub05g013030	NA	2466	1.1318758726119995	0.57053673	Yes	
row_7	Sotub04g015360	NA	2602	1.0946054458618164	0.621318	Yes	
row_8	Sotub04g026890	NA	3091	0.9649105072021484	0.6585971	Yes	
row_9	Sotub01g005320	NA	3623	0.8510214686393738	0.6894354	Yes	
row_10	Sotub07g022400	NA	6319	0.4818032681941986	0.65832305	No	
row_11	Sotub03g019800	NA	7895	0.3406151235103607	0.6430273	No	
row_12	Sotub05g013020	NA	9676	0.24870702624320984	0.6190792	No	
row_13	Sotub04g036010	NA	9941	0.23401740193367004	0.6251659	No	
row_14	Sotub08g027410	NA	13950	0.025877272710204124	0.5451264	No	
row_15	Sotub04g036030	NA	26453	0.0	0.29151553	No	
row_16	Sotub06g008930	NA	27825	0.0	0.26370394	No	
row_17	Sotub02g018090	NA	32937	-0.06095018982887268	0.16300423	No	
row_18	Sotub04g020880	NA	34454	-0.13507027924060822	0.13885538	No	
row_19	Sotub08g024920	NA	35100	-0.16520898044109344	0.1338489	No	
row_20	Sotub10g008360	NA	36907	-0.22625873982906342	0.10827581	No	
row_21	PGSC0003DMG400018980	NA	37556	-0.254520058631897	0.10757527	No	
row_22	PGSC0003DMG400007089	NA	37583	-0.25586432218551636	0.11955811	No	
row_23	Sotub01g033790	NA	37688	-0.2620787024497986	0.13026252	No	
row_24	PGSC0003DMG401017546	NA	39484	-0.33802932500839233	0.1103775	No	
row_25	Sotub01g015420	NA	46576	-0.8867969512939453	0.00989135	No	
row_26	Sotub05g024520	NA	46901	-0.9365675449371338	0.04911149	No	
