NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub02g021170	NA	151	3.5428671836853027	0.02572053	No	
row_1	Sotub06g030310	NA	2903	1.015963077545166	-0.022124618	No	
row_2	Sotub07g008250	NA	3200	0.9445009231567383	-0.020483382	No	
row_3	Sotub04g020810	NA	3421	0.8927874565124512	-0.017712582	No	
row_4	PGSC0003DMG403025785	NA	3465	0.8845991492271423	-0.011398603	No	
row_5	Sotub09g013320	NA	4694	0.6650300621986389	-0.03103641	No	
row_6	PGSC0003DMG400002952	NA	5424	0.5732213258743286	-0.041243922	No	
row_7	Sotub05g014400	NA	6188	0.4932594299316406	-0.052794836	No	
row_8	Sotub10g029010	NA	6339	0.4803270101547241	-0.051949356	No	
row_9	Sotub05g025350	NA	6632	0.45016777515411377	-0.054244984	No	
row_10	PGSC0003DMG401009338	NA	6839	0.43006882071495056	-0.054950114	No	
row_11	Sotub04g023920	NA	7341	0.3825138509273529	-0.062058054	No	
row_12	Sotub04g023930	NA	7659	0.357394278049469	-0.06561769	No	
row_13	Sotub01g045210	NA	7674	0.35607701539993286	-0.06300865	No	
row_14	Sotub11g008980	NA	7835	0.345013827085495	-0.06346707	No	
row_15	Sotub11g014690	NA	8193	0.322170227766037	-0.06812881	No	
row_16	Sotub05g024470	NA	8703	0.299584299325943	-0.076074034	No	
row_17	Sotub01g016350	NA	8784	0.29647210240364075	-0.07529553	No	
row_18	Sotub07g027210	NA	9781	0.2413814812898636	-0.093645774	No	
row_19	Sotub07g005750	NA	10487	0.20700843632221222	-0.10634077	No	
row_20	Sotub02g037510	NA	10758	0.18928579986095428	-0.11030845	No	
row_21	Sotub09g026880	NA	11133	0.16854430735111237	-0.11656571	No	
row_22	Sotub03g030120	NA	11232	0.16389119625091553	-0.11723205	No	
row_23	Sotub04g026840	NA	11259	0.16257505118846893	-0.11644072	No	
row_24	Sotub01g007540	NA	11315	0.15909500420093536	-0.116269104	No	
row_25	Sotub07g008590	NA	11649	0.1403178572654724	-0.12191966	No	
row_26	Sotub08g018200	NA	11820	0.13079412281513214	-0.12432342	No	
row_27	Sotub05g011620	NA	11998	0.12219134718179703	-0.12693986	No	
row_28	Sotub10g011860	NA	12310	0.10628120601177216	-0.13241844	No	
row_29	Sotub09g015420	NA	12348	0.10432865470647812	-0.13232493	No	
row_30	PGSC0003DMG401018005	NA	12389	0.10216745734214783	-0.13231017	No	
row_31	Sotub06g035230	NA	12456	0.09905274212360382	-0.13285097	No	
row_32	Sotub08g027220	NA	12504	0.09610956162214279	-0.13302821	No	
row_33	Sotub06g032610	NA	13340	0.054504625499248505	-0.14961414	No	
row_34	Sotub11g018460	NA	13439	0.049713462591171265	-0.15120864	No	
row_35	Sotub09g020410	NA	13443	0.04958426207304001	-0.15086675	No	
row_36	Sotub08g015050	NA	13714	0.03685154393315315	-0.15607357	No	
row_37	Sotub04g020710	NA	13719	0.03666841238737106	-0.15585706	No	
row_38	Sotub06g029210	NA	13765	0.03458486124873161	-0.15649365	No	
row_39	Sotub02g034710	NA	14285	0.010170258581638336	-0.16699547	No	
row_40	Sotub02g032900	NA	14466	0.0019237416563555598	-0.17065075	No	
row_41	Sotub10g008820	NA	14922	0.0	-0.17993003	No	
row_42	Sotub10g008810	NA	14923	0.0	-0.17993003	No	
row_43	PGSC0003DMG400005319	NA	15154	0.0	-0.18462065	No	
row_44	PGSC0003DMG400047048	NA	15224	0.0	-0.18602784	No	
row_45	PGSC0003DMG400042329	NA	15229	0.0	-0.18610942	No	
row_46	PGSC0003DMG400041454	NA	15264	0.0	-0.18680282	No	
row_47	PGSC0003DMG400046335	NA	15445	0.0	-0.19047374	No	
row_48	PGSC0003DMG400039254	NA	15456	0.0	-0.19067767	No	
row_49	PGSC0003DMG400041902	NA	15463	0.0	-0.19080004	No	
row_50	PGSC0003DMG400036709	NA	15532	0.0	-0.19218683	No	
row_51	PGSC0003DMG400043741	NA	15614	0.0	-0.19383875	No	
row_52	PGSC0003DMG400038554	NA	15655	0.0	-0.19465451	No	
row_53	PGSC0003DMG400035924	NA	16515	0.0	-0.21217297	No	
row_54	PGSC0003DMG400035225	NA	16607	0.0	-0.21402882	No	
row_55	PGSC0003DMG400045699	NA	16718	0.0	-0.21627216	No	
row_56	PGSC0003DMG400045003	NA	16753	0.0	-0.21696556	No	
row_57	Sotub11g019890	NA	16757	0.0	-0.21702674	No	
row_58	Sotub11g019880	NA	16758	0.0	-0.21702674	No	
row_59	Sotub11g019860	NA	16759	0.0	-0.21702674	No	
row_60	PGSC0003DMG400046280	NA	16800	0.0	-0.2178425	No	
row_61	Sotub11g019230	NA	16916	0.0	-0.22018781	No	
row_62	Sotub11g019220	NA	16917	0.0	-0.22018781	No	
row_63	PGSC0003DMG400037911	NA	17078	0.0	-0.22345085	No	
row_64	Sotub06g012570	NA	17178	0.0	-0.22546986	No	
row_65	Sotub06g012580	NA	17179	0.0	-0.22546986	No	
row_66	Sotub06g012590	NA	17180	0.0	-0.22546986	No	
row_67	PGSC0003DMG400045246	NA	18389	0.0	-0.25010583	No	
row_68	PGSC0003DMG400035196	NA	18390	0.0	-0.25010583	No	
row_69	PGSC0003DMG400039688	NA	18416	0.0	-0.2506157	No	
row_70	PGSC0003DMG400045872	NA	18422	0.0	-0.25071764	No	
row_71	PGSC0003DMG400040549	NA	18425	0.0	-0.25075844	No	
row_72	PGSC0003DMG400036511	NA	18550	0.0	-0.2532873	No	
row_73	PGSC0003DMG400042582	NA	18615	0.0	-0.2545925	No	
row_74	PGSC0003DMG400038338	NA	18879	0.0	-0.25995615	No	
row_75	PGSC0003DMG400019572	NA	18891	0.0	-0.26018047	No	
row_76	PGSC0003DMG400042325	NA	19421	0.0	-0.2709689	No	
row_77	PGSC0003DMG400044328	NA	19533	0.0	-0.27323264	No	
row_78	PGSC0003DMG400036519	NA	19636	0.0	-0.27531284	No	
row_79	PGSC0003DMG400039592	NA	19921	0.0	-0.2811047	No	
row_80	PGSC0003DMG400046396	NA	20015	0.0	-0.28300136	No	
row_81	PGSC0003DMG400041823	NA	20150	0.0	-0.28573418	No	
row_82	PGSC0003DMG400046360	NA	21039	0.0	-0.30384406	No	
row_83	PGSC0003DMG400039087	NA	21313	0.0	-0.30941162	No	
row_84	PGSC0003DMG400040924	NA	21500	0.0	-0.3132049	No	
row_85	PGSC0003DMG400039290	NA	21506	0.0	-0.31330687	No	
row_86	PGSC0003DMG400036425	NA	21934	0.0	-0.3220151	No	
row_87	PGSC0003DMG400038743	NA	21975	0.0	-0.3228309	No	
row_88	Sotub04g031160	NA	22268	0.0	-0.32878593	No	
row_89	PGSC0003DMG400035860	NA	22469	0.0	-0.33286473	No	
row_90	PGSC0003DMG400042429	NA	22940	0.0	-0.3424499	No	
row_91	PGSC0003DMG400011885	NA	23433	0.0	-0.35248378	No	
row_92	PGSC0003DMG400044871	NA	23741	0.0	-0.35874474	No	
row_93	PGSC0003DMG400037283	NA	23749	0.0	-0.3588875	No	
row_94	PGSC0003DMG400043241	NA	23904	0.0	-0.36202818	No	
row_95	PGSC0003DMG400037318	NA	23951	0.0	-0.3629663	No	
row_96	PGSC0003DMG400039472	NA	24137	0.0	-0.36673918	No	
row_97	PGSC0003DMG400035219	NA	24161	0.0	-0.36720824	No	
row_98	PGSC0003DMG400041364	NA	24290	0.0	-0.3698187	No	
row_99	PGSC0003DMG400039580	NA	24507	0.0	-0.3742238	No	
row_100	PGSC0003DMG400040451	NA	25406	0.0	-0.39253762	No	
row_101	PGSC0003DMG400039309	NA	25547	0.0	-0.39539278	No	
row_102	Sotub02g008260	NA	25657	0.0	-0.39761573	No	
row_103	PGSC0003DMG400010419	NA	25758	0.0	-0.39965513	No	
row_104	Sotub02g012940	NA	25829	0.0	-0.4010827	No	
row_105	Sotub03g005930	NA	26210	0.0	-0.40883243	No	
row_106	PGSC0003DMG400043660	NA	27547	0.0	-0.43607882	No	
row_107	PGSC0003DMG400035119	NA	28078	0.0	-0.44688764	No	
row_108	PGSC0003DMG400041140	NA	28133	0.0	-0.44798893	No	
row_109	PGSC0003DMG400042304	NA	28340	0.0	-0.4521901	No	
row_110	PGSC0003DMG400037942	NA	28587	0.0	-0.45720702	No	
row_111	PGSC0003DMG400034451	NA	29117	0.0	-0.46799546	No	
row_112	PGSC0003DMG400035730	NA	29291	0.0	-0.4715236	No	
row_113	PGSC0003DMG400035024	NA	29812	0.0	-0.4821285	No	
row_114	PGSC0003DMG400036608	NA	30343	0.0	-0.49293733	No	
row_115	PGSC0003DMG400044563	NA	30606	0.0	-0.49828056	No	
row_116	PGSC0003DMG400039816	NA	30679	0.0	-0.49974895	No	
row_117	PGSC0003DMG400034581	NA	30749	0.0	-0.50115615	No	
row_118	PGSC0003DMG400041849	NA	30799	0.0	-0.5021554	No	
row_119	PGSC0003DMG400042603	NA	31177	0.0	-0.50984395	No	
row_120	PGSC0003DMG400019225	NA	31979	-0.010530214756727219	-0.52609396	No	
row_121	Sotub02g021160	NA	32271	-0.026858504861593246	-0.5318103	No	
row_122	Sotub04g036530	NA	32272	-0.027050575241446495	-0.5315904	No	
row_123	Sotub02g016230	NA	33216	-0.07332538813352585	-0.5502259	No	
row_124	Sotub11g013500	NA	33395	-0.0821184366941452	-0.5531885	No	
row_125	Sotub04g021860	NA	33623	-0.09304403513669968	-0.55706155	No	
row_126	Sotub10g009390	NA	33679	-0.09626589715480804	-0.5574007	No	
row_127	PGSC0003DMG400030062	NA	34055	-0.11560331284999847	-0.5641087	No	
row_128	PGSC0003DMG402007686	NA	34132	-0.11966945976018906	-0.5646859	No	
row_129	Sotub07g020080	NA	34201	-0.12278959900140762	-0.5650745	No	
row_130	Sotub01g006100	NA	34364	-0.13082531094551086	-0.56731486	No	
row_131	Sotub02g034440	NA	34838	-0.15302059054374695	-0.57571733	No	
row_132	PGSC0003DMG400025257	NA	34873	-0.15432524681091309	-0.5751562	No	
row_133	Sotub06g012530	NA	35140	-0.16678154468536377	-0.57922524	No	
row_134	Sotub12g020550	NA	35232	-0.17152249813079834	-0.57968676	No	
row_135	Sotub09g015450	NA	35646	-0.1815008521080017	-0.5866341	No	
row_136	Sotub07g009540	NA	36313	-0.20095160603523254	-0.5985829	No	
row_137	PGSC0003DMG400023780	NA	36405	-0.20507092773914337	-0.59877175	No	
row_138	PGSC0003DMG400045410	NA	36406	-0.20507092773914337	-0.5971047	No	
row_139	PGSC0003DMG401028683	NA	36494	-0.20507092773914337	-0.597212	No	
row_140	Sotub09g019310	NA	36518	-0.20576173067092896	-0.5960084	No	
row_141	Sotub01g033660	NA	36630	-0.21155495941638947	-0.59655243	No	
row_142	PGSC0003DMG402009622	NA	36796	-0.21981783211231232	-0.5981305	No	
row_143	Sotub01g041110	NA	37047	-0.23362106084823608	-0.6013299	No	
row_144	Sotub08g021560	NA	37173	-0.24066217243671417	-0.60192287	No	
row_145	Sotub11g013510	NA	37185	-0.24114583432674408	-0.6001869	No	
row_146	Sotub01g027850	NA	37239	-0.244050994515419	-0.5992839	No	
row_147	Sotub04g019270	NA	37255	-0.24457919597625732	-0.5976016	No	
row_148	Sotub12g006280	NA	37261	-0.24512062966823578	-0.595711	No	
row_149	Sotub06g023660	NA	37385	-0.25090155005455017	-0.59617984	No	
row_150	Sotub02g021180	NA	37586	-0.25596967339515686	-0.5981779	No	
row_151	Sotub04g024550	NA	38023	-0.27116453647613525	-0.6048654	No	
row_152	Sotub01g008790	NA	38035	-0.2719211280345917	-0.6028793	No	
row_153	Sotub05g005650	NA	38139	-0.2776551842689514	-0.60272276	No	
row_154	PGSC0003DMG400041837	NA	38400	-0.2880754768848419	-0.60568345	No	
row_155	PGSC0003DMG400002953	NA	38449	-0.2888174057006836	-0.60431457	No	
row_156	Sotub02g026330	NA	38628	-0.296174556016922	-0.6055371	No	
row_157	Sotub11g019870	NA	39002	-0.31474044919013977	-0.6105855	No	
row_158	Sotub11g013040	NA	39193	-0.32304635643959045	-0.61183435	Yes	
row_159	PGSC0003DMG400024816	NA	39319	-0.32987871766090393	-0.611702	Yes	
row_160	Sotub03g033650	NA	39375	-0.33209970593452454	-0.61012405	Yes	
row_161	PGSC0003DMG400003071	NA	39569	-0.34217411279678345	-0.61127853	Yes	
row_162	Sotub03g017660	NA	39584	-0.3429127037525177	-0.6087765	Yes	
row_163	PGSC0003DMG400016465	NA	39588	-0.34323230385780334	-0.6060476	Yes	
row_164	Sotub07g020780	NA	39638	-0.3464282751083374	-0.60423076	Yes	
row_165	Sotub01g038400	NA	39956	-0.3662102520465851	-0.6077187	Yes	
row_166	Sotub10g008840	NA	39995	-0.3690188229084015	-0.6054939	Yes	
row_167	Sotub11g027240	NA	40035	-0.3725315034389496	-0.603261	Yes	
row_168	Sotub04g035760	NA	40199	-0.3833441734313965	-0.60346895	Yes	
row_169	Sotub07g023990	NA	40205	-0.38378918170928955	-0.6004511	Yes	
row_170	Sotub03g014230	NA	40294	-0.38932111859321594	-0.599081	Yes	
row_171	Sotub04g023570	NA	40465	-0.3979817032814026	-0.5993128	Yes	
row_172	Sotub09g006660	NA	40609	-0.4064372777938843	-0.5989252	Yes	
row_173	Sotub03g018530	NA	40693	-0.4108356237411499	-0.5972782	Yes	
row_174	Sotub07g019670	NA	40935	-0.4250930845737457	-0.5987376	Yes	
row_175	PGSC0003DMG400028530	NA	41084	-0.43280383944511414	-0.59823763	Yes	
row_176	Sotub12g014360	NA	41109	-0.4336952567100525	-0.59520155	Yes	
row_177	Sotub01g036780	NA	41189	-0.43808141350746155	-0.5932515	Yes	
row_178	PGSC0003DMG400023748	NA	41253	-0.44096308946609497	-0.59095174	Yes	
row_179	PGSC0003DMG402028683	NA	41415	-0.44854626059532166	-0.5905889	Yes	
row_180	Sotub01g044480	NA	41494	-0.45310238003730774	-0.5884964	Yes	
row_181	Sotub11g013660	NA	41536	-0.45515015721321106	-0.5856326	Yes	
row_182	Sotub10g020610	NA	41810	-0.468298077583313	-0.5873934	Yes	
row_183	Sotub03g029280	NA	41812	-0.468366801738739	-0.5836064	Yes	
row_184	Sotub02g035310	NA	41953	-0.4767681956291199	-0.58258593	Yes	
row_185	PGSC0003DMG400011884	NA	42192	-0.49162474274635315	-0.5834433	Yes	
row_186	Sotub02g022830	NA	42402	-0.5045953989028931	-0.58360374	Yes	
row_187	PGSC0003DMG400016718	NA	42453	-0.5070543885231018	-0.5805016	Yes	
row_188	Sotub03g012960	NA	42461	-0.5075119733810425	-0.5765188	Yes	
row_189	Sotub01g021490	NA	42508	-0.510421097278595	-0.5733077	Yes	
row_190	Sotub01g045590	NA	42512	-0.5106360912322998	-0.5692179	Yes	
row_191	Sotub07g017390	NA	42697	-0.5220811367034912	-0.5687264	Yes	
row_192	Sotub01g022700	NA	42788	-0.5286125540733337	-0.56626475	Yes	
row_193	Sotub02g035260	NA	42795	-0.5293232798576355	-0.56208426	Yes	
row_194	PGSC0003DMG400021330	NA	42813	-0.5307127237319946	-0.5581168	Yes	
row_195	PGSC0003DMG400011213	NA	42869	-0.5343033671379089	-0.5548951	Yes	
row_196	Sotub06g012600	NA	42992	-0.5429753661155701	-0.5529693	Yes	
row_197	Sotub02g010510	NA	43006	-0.5443329811096191	-0.5488095	Yes	
row_198	Sotub09g023690	NA	43079	-0.5489909052848816	-0.54581517	Yes	
row_199	Sotub05g006430	NA	43081	-0.5490936636924744	-0.54137194	Yes	
row_200	Sotub05g022720	NA	43144	-0.5533772110939026	-0.538138	Yes	
row_201	Sotub07g020250	NA	43299	-0.5652188658714294	-0.536684	Yes	
row_202	PGSC0003DMG401024469	NA	43538	-0.5829331278800964	-0.5367991	Yes	
row_203	Sotub06g032280	NA	43592	-0.5870177149772644	-0.53310806	Yes	
row_204	Sotub10g006380	NA	43694	-0.5951275825500488	-0.53033006	Yes	
row_205	Sotub03g025760	NA	43859	-0.6093538403511047	-0.5287212	Yes	
row_206	Sotub03g007950	NA	43873	-0.6105288863182068	-0.52402335	Yes	
row_207	PGSC0003DMG400008554	NA	43890	-0.6120488047599792	-0.5193743	Yes	
row_208	Sotub01g008810	NA	43997	-0.622334361076355	-0.5164771	Yes	
row_209	Sotub01g008520	NA	44052	-0.6258910894393921	-0.5124905	Yes	
row_210	Sotub01g029110	NA	44110	-0.6298267245292664	-0.5085331	Yes	
row_211	Sotub05g009420	NA	44177	-0.6358456015586853	-0.5047103	Yes	
row_212	Sotub12g005430	NA	44201	-0.6377007961273193	-0.49999547	Yes	
row_213	Sotub01g006190	NA	44217	-0.6392978429794312	-0.49510452	Yes	
row_214	Sotub03g031030	NA	44234	-0.6409363746643066	-0.49022064	Yes	
row_215	Sotub04g024980	NA	44307	-0.6462984681129456	-0.48643523	Yes	
row_216	Sotub07g010560	NA	44326	-0.6480183005332947	-0.4815346	Yes	
row_217	PGSC0003DMG400028391	NA	44354	-0.6498355865478516	-0.4768027	Yes	
row_218	Sotub07g019650	NA	44599	-0.6732051372528076	-0.47630635	Yes	
row_219	Sotub04g035340	NA	44666	-0.679032027721405	-0.47213247	Yes	
row_220	Sotub09g005690	NA	44719	-0.6838194727897644	-0.4676342	Yes	
row_221	Sotub07g016280	NA	44841	-0.6942415833473206	-0.46445838	Yes	
row_222	Sotub08g020610	NA	44857	-0.6954305171966553	-0.45911112	Yes	
