NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub11g007260	NA	1958	1.6242568492889404	-0.03058199	No	
row_1	Sotub07g027330	NA	2129	1.557101845741272	-0.02505691	No	
row_2	Sotub01g039400	NA	2610	1.3860902786254883	-0.026847152	No	
row_3	PGSC0003DMG400023985	NA	2881	1.2917269468307495	-0.02489618	No	
row_4	PGSC0003DMG400004211	NA	4695	0.894460916519165	-0.0567344	No	
row_5	Sotub08g013300	NA	5186	0.8134467601776123	-0.062036764	No	
row_6	Sotub06g026470	NA	5481	0.769839346408844	-0.06359047	No	
row_7	Sotub02g024810	NA	6034	0.695381224155426	-0.070840344	No	
row_8	PGSC0003DMG400018776	NA	6119	0.6851707696914673	-0.068596825	No	
row_9	Sotub01g017100	NA	6521	0.6331192255020142	-0.07312431	No	
row_10	Sotub11g025770	NA	7701	0.5140267610549927	-0.09421957	No	
row_11	Sotub01g019530	NA	7716	0.5133232474327087	-0.091539994	No	
row_12	Sotub11g016840	NA	7786	0.506147027015686	-0.090024486	No	
row_13	Sotub10g010470	NA	8402	0.45828741788864136	-0.09992989	No	
row_14	Sotub12g019730	NA	8645	0.43810275197029114	-0.10233857	No	
row_15	Sotub01g019520	NA	9030	0.40480276942253113	-0.10783799	No	
row_16	Sotub09g014290	NA	9039	0.4042752683162689	-0.105665885	No	
row_17	Sotub11g014380	NA	9982	0.3266957402229309	-0.12300588	No	
row_18	Sotub03g008680	NA	10171	0.3154050409793854	-0.12502116	No	
row_19	Sotub01g025260	NA	10453	0.29885032773017883	-0.12903029	No	
row_20	Sotub01g020850	NA	10466	0.2987962067127228	-0.12754916	No	
row_21	Sotub10g028350	NA	10583	0.296452134847641	-0.12820432	No	
row_22	Sotub01g017210	NA	11237	0.26670342683792114	-0.13999207	No	
row_23	Sotub01g011240	NA	11396	0.2587796151638031	-0.14172213	No	
row_24	Sotub01g019540	NA	11397	0.2587796151638031	-0.14022723	No	
row_25	Sotub12g008900	NA	11451	0.25772351026535034	-0.13982022	No	
row_26	Sotub01g020840	NA	11627	0.24394327402114868	-0.14198296	No	
row_27	Sotub08g005800	NA	12048	0.2198311984539032	-0.1492857	No	
row_28	Sotub12g013820	NA	12349	0.21173672378063202	-0.15418588	No	
row_29	Sotub01g019650	NA	12496	0.2023899108171463	-0.15599674	No	
row_30	Sotub12g015090	NA	12797	0.18674950301647186	-0.16104126	No	
row_31	Sotub05g017190	NA	12887	0.18064363300800323	-0.16181432	No	
row_32	PGSC0003DMG400017848	NA	12937	0.17688243091106415	-0.16179267	No	
row_33	Sotub09g026550	NA	13293	0.1517351269721985	-0.16816206	No	
row_34	Sotub08g005810	NA	13310	0.15046578645706177	-0.16761944	No	
row_35	Sotub02g008470	NA	13352	0.14792700111865997	-0.16760175	No	
row_36	Sotub01g017090	NA	13472	0.14009767770767212	-0.16922137	No	
row_37	Sotub01g013560	NA	13528	0.1367623656988144	-0.16955394	No	
row_38	Sotub07g013450	NA	13545	0.13543567061424255	-0.16909814	No	
row_39	Sotub09g025370	NA	13994	0.10749603807926178	-0.17762132	No	
row_40	Sotub01g017110	NA	14152	0.09748027473688126	-0.18026274	No	
row_41	Sotub05g009270	NA	14475	0.07768560200929642	-0.18638635	No	
row_42	Sotub01g020830	NA	14997	0.04646909236907959	-0.19675207	No	
