NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub01g025880	NA	7260	0.5540094971656799	-0.09695525	No	
row_1	Sotub10g019130	NA	7298	0.5492328405380249	-0.04784191	No	
row_2	Sotub07g013680	NA	19529	0.0	-0.29589984	No	
row_3	Sotub05g009070	NA	26921	0.0	-0.44580957	No	
row_4	Sotub08g011650	NA	34257	-0.12422006577253342	-0.5833058	No	
row_5	Sotub02g011310	NA	34555	-0.1447369009256363	-0.5761894	No	
row_6	Sotub01g043740	NA	37886	-0.3061313331127167	-0.6159378	Yes	
row_7	Sotub01g049220	NA	38290	-0.33158472180366516	-0.59400785	Yes	
row_8	Sotub04g030380	NA	38526	-0.34686243534088135	-0.5672833	Yes	
row_9	Sotub02g015720	NA	40109	-0.4546698033809662	-0.558092	Yes	
row_10	Sotub02g010950	NA	40904	-0.5076878070831299	-0.5281045	Yes	
row_11	Sotub01g010220	NA	41076	-0.5205905437469482	-0.48430943	Yes	
row_12	Sotub02g007890	NA	41581	-0.5645474195480347	-0.44327775	Yes	
row_13	Sotub06g035430	NA	41612	-0.5668137073516846	-0.3924263	Yes	
row_14	Sotub06g030060	NA	41758	-0.5815321207046509	-0.3425711	Yes	
row_15	Sotub02g029340	NA	42267	-0.635625422000885	-0.29516754	Yes	
row_16	Sotub09g011240	NA	43768	-0.7761257290840149	-0.25512868	Yes	
row_17	Sotub02g029360	NA	46500	-1.1270169019699097	-0.20820116	Yes	
row_18	Sotub10g021910	NA	46501	-1.1270554065704346	-0.10587796	Yes	
row_19	Sotub02g029350	NA	48714	-1.796220064163208	0.0123319905	Yes	
