NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub01g043850	NA	3	5.0	0.023077995	Yes	
row_1	Sotub03g024690	NA	5	5.0	0.04619671	Yes	
row_2	Sotub08g026690	NA	10	5.0	0.069254346	Yes	
row_3	Sotub01g043870	NA	13	5.0	0.0923527	Yes	
row_4	PGSC0003DMG400003044	NA	18	4.8227128982543945	0.114589885	Yes	
row_5	Sotub08g026700	NA	25	4.61009407043457	0.13580239	Yes	
row_6	Sotub03g015850	NA	46	4.346111297607422	0.15550818	Yes	
row_7	Sotub01g043810	NA	65	4.193695545196533	0.17454934	Yes	
row_8	Sotub08g026720	NA	69	4.176302909851074	0.19381541	Yes	
row_9	Sotub02g009500	NA	74	4.081921577453613	0.21262436	Yes	
row_10	Sotub08g026670	NA	87	3.9701316356658936	0.23075306	Yes	
row_11	PGSC0003DMG400026853	NA	128	3.658977746963501	0.24687172	Yes	
row_12	Sotub08g026680	NA	167	3.4675142765045166	0.26214504	Yes	
row_13	Sotub04g024190	NA	198	3.375990629196167	0.2771577	Yes	
row_14	Sotub12g024560	NA	211	3.334303140640259	0.2923439	Yes	
row_15	Sotub11g018020	NA	220	3.3118903636932373	0.30750784	Yes	
row_16	Sotub07g006940	NA	235	3.2670559883117676	0.32234213	Yes	
row_17	Sotub03g016090	NA	279	3.1426475048065186	0.33601022	Yes	
row_18	Sotub07g007170	NA	323	3.040510654449463	0.34920564	Yes	
row_19	PGSC0003DMG401000674	NA	344	2.98997163772583	0.36263546	Yes	
row_20	Sotub08g026730	NA	354	2.9752187728881836	0.376221	Yes	
row_21	Sotub04g026440	NA	355	2.9747314453125	0.3899875	Yes	
row_22	Sotub01g034730	NA	442	2.806198835372925	0.4012231	Yes	
row_23	PGSC0003DMG400026855	NA	523	2.6795778274536133	0.41199484	Yes	
row_24	Sotub07g006990	NA	590	2.5977730751037598	0.42267308	Yes	
row_25	Sotub07g006870	NA	599	2.5818140506744385	0.43445835	Yes	
row_26	Sotub01g043830	NA	632	2.5526175498962402	0.44561985	Yes	
row_27	Sotub07g006980	NA	680	2.5008625984191895	0.45623645	Yes	
row_28	Sotub12g024590	NA	758	2.413019895553589	0.46583572	Yes	
row_29	Sotub01g034760	NA	770	2.397520065307617	0.476707	Yes	
row_30	Sotub07g006970	NA	798	2.3644213676452637	0.4870994	Yes	
row_31	Sotub07g018350	NA	923	2.2384040355682373	0.49493363	Yes	
row_32	Sotub02g026280	NA	925	2.237428903579712	0.5052677	Yes	
row_33	Sotub01g006430	NA	939	2.223644256591797	0.5152936	Yes	
row_34	Sotub01g032740	NA	944	2.219383478164673	0.5254831	Yes	
row_35	Sotub04g024170	NA	955	2.21075177192688	0.5355104	Yes	
row_36	Sotub03g015860	NA	984	2.1890196800231934	0.5450707	Yes	
row_37	Sotub02g008670	NA	1005	2.1707849502563477	0.5547095	Yes	
row_38	Sotub12g024610	NA	1117	2.08332896232605	0.56209075	Yes	
row_39	Sotub07g006920	NA	1158	2.0532636642456055	0.5707784	Yes	
row_40	Sotub02g026320	NA	1257	1.9842290878295898	0.5779658	Yes	
row_41	PGSC0003DMG400026854	NA	1301	1.9505774974822998	0.5861172	Yes	
row_42	Sotub01g034770	NA	1318	1.9417188167572021	0.59477735	Yes	
row_43	Sotub01g041720	NA	1423	1.8782615661621094	0.6013521	Yes	
row_44	PGSC0003DMG400008797	NA	1466	1.8424979448318481	0.6090237	Yes	
row_45	Sotub04g024200	NA	1616	1.7638845443725586	0.61415297	Yes	
row_46	Sotub06g028780	NA	1686	1.7310394048690796	0.620759	Yes	
row_47	Sotub05g020180	NA	1724	1.7203572988510132	0.6279672	Yes	
row_48	Sotub01g041750	NA	2115	1.5592169761657715	0.6272424	Yes	
row_49	Sotub02g024160	NA	2118	1.5589759349822998	0.63441634	Yes	
row_50	Sotub02g033220	NA	2462	1.4341368675231934	0.6340696	Yes	
row_51	Sotub04g032650	NA	2642	1.375290870666504	0.63678974	Yes	
row_52	Sotub02g035360	NA	2740	1.3425031900405884	0.6410276	Yes	
row_53	Sotub04g032680	NA	2869	1.2957327365875244	0.6444179	Yes	
row_54	Sotub08g026640	NA	3197	1.199137568473816	0.6433095	Yes	
row_55	Sotub03g011730	NA	3453	1.1408259868621826	0.6433971	Yes	
row_56	Sotub07g006950	NA	3686	1.0839800834655762	0.64368993	Yes	
row_57	Sotub07g007000	NA	3866	1.0450067520141602	0.64488155	Yes	
row_58	Sotub01g043790	NA	3904	1.038312315940857	0.6489333	Yes	
row_59	Sotub04g032700	NA	4060	1.0067086219787598	0.65043634	Yes	
row_60	Sotub07g006930	NA	4314	0.9573599100112915	0.6497156	Yes	
row_61	Sotub09g006080	NA	4338	0.9534090161323547	0.6536595	Yes	
row_62	PGSC0003DMG400004260	NA	4340	0.9532825946807861	0.6580508	Yes	
row_63	Sotub12g024650	NA	4357	0.9495347142219543	0.66211927	Yes	
row_64	PGSC0003DMG400015129	NA	4469	0.9304274320602417	0.66416514	Yes	
row_65	PGSC0003DMG400000261	NA	4545	0.9194706082344055	0.66689324	Yes	
row_66	Sotub06g028760	NA	4740	0.8877514600753784	0.6670517	Yes	
row_67	Sotub06g028750	NA	4961	0.8486114740371704	0.6664996	Yes	
row_68	Sotub03g016010	NA	5060	0.8339152932167053	0.6683635	Yes	
row_69	Sotub04g034930	NA	5085	0.8309397101402283	0.67172027	Yes	
row_70	Sotub07g008940	NA	5264	0.8021763563156128	0.6718085	Yes	
row_71	PGSC0003DMG400023787	NA	5294	0.7968140840530396	0.67490554	Yes	
row_72	Sotub12g024620	NA	5895	0.7144879102706909	0.66599584	No	
row_73	Sotub02g033210	NA	6131	0.6828629970550537	0.6643713	No	
row_74	Sotub02g033920	NA	6348	0.6543079018592834	0.6630015	No	
row_75	Sotub12g005070	NA	6679	0.6150557994842529	0.6591289	No	
row_76	PGSC0003DMG400028560	NA	6899	0.59078449010849	0.657404	No	
row_77	Sotub06g024390	NA	6902	0.5904439091682434	0.66009575	No	
row_78	Sotub04g032670	NA	6903	0.590408205986023	0.6628281	No	
row_79	PGSC0003DMG400023788	NA	7447	0.5358273386955261	0.6542521	No	
row_80	Sotub05g022460	NA	7601	0.5234547257423401	0.6535594	No	
row_81	Sotub04g032620	NA	7635	0.5204076170921326	0.65529585	No	
row_82	Sotub12g008840	NA	7715	0.5133365392684937	0.656063	No	
row_83	PGSC0003DMG400027889	NA	7718	0.5132824778556824	0.6583977	No	
row_84	Sotub06g027320	NA	7888	0.49597471952438354	0.6572521	No	
row_85	Sotub03g015960	NA	8152	0.4761805534362793	0.65410095	No	
row_86	Sotub01g043800	NA	8415	0.45698973536491394	0.6508814	No	
row_87	Sotub12g025390	NA	8440	0.45490705966949463	0.65249795	No	
row_88	Sotub10g028810	NA	8534	0.44801411032676697	0.6526778	No	
row_89	Sotub03g016040	NA	8559	0.4463936388492584	0.654255	No	
row_90	Sotub12g025420	NA	8979	0.40952926874160767	0.6476192	No	
row_91	Sotub03g016030	NA	9551	0.3571997582912445	0.63764644	No	
row_92	PGSC0003DMG400040317	NA	9604	0.3539762794971466	0.63822585	No	
row_93	Sotub06g027330	NA	10543	0.29682591557502747	0.62050146	No	
