NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub11g025270	NA	192	3.391439199447632	0.14032699	Yes	
row_1	Sotub05g029720	NA	679	2.501004695892334	0.23682489	Yes	
row_2	PGSC0003DMG400005928	NA	854	2.307111978530884	0.33140582	Yes	
row_3	Sotub11g005760	NA	977	2.194272518157959	0.42224297	Yes	
row_4	Sotub01g007700	NA	2243	1.514061689376831	0.46097043	Yes	
row_5	Sotub01g010250	NA	2599	1.391017198562622	0.5129231	Yes	
row_6	Sotub01g007680	NA	3109	1.2233076095581055	0.55462027	Yes	
row_7	Sotub01g007600	NA	3306	1.1718742847442627	0.6004789	Yes	
row_8	Sotub01g007660	NA	3996	1.0205568075180054	0.6299031	Yes	
row_9	Sotub01g007650	NA	4329	0.9548922777175903	0.663776	Yes	
row_10	Sotub01g028270	NA	4577	0.9133308529853821	0.69760555	Yes	
row_11	PGSC0003DMG401021357	NA	4611	0.9077598452568054	0.7355388	Yes	
row_12	Sotub01g007690	NA	4692	0.8947797417640686	0.77196676	Yes	
row_13	Sotub01g007670	NA	5012	0.8416090607643127	0.8012859	Yes	
row_14	Sotub04g023130	NA	5225	0.8076931834220886	0.83133316	Yes	
row_15	Sotub11g025290	NA	6251	0.6667577624320984	0.8388969	Yes	
row_16	Sotub01g007620	NA	8729	0.4292391836643219	0.80690897	No	
row_17	Sotub01g007610	NA	11718	0.2378326654434204	0.75641674	No	
row_18	Sotub01g045140	NA	14570	0.07166607677936554	0.7016371	No	
row_19	Sotub01g010260	NA	23722	0.0	0.51602596	No	
row_20	Sotub01g007640	NA	33560	-0.07530747354030609	0.31970307	No	
