NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub08g007110	NA	1075	2.114248514175415	0.10210825	Yes	
row_1	Sotub12g023100	NA	1899	1.647322177886963	0.18196207	Yes	
row_2	Sotub08g024680	NA	2830	1.3101850748062134	0.23988643	Yes	
row_3	Sotub04g006640	NA	3173	1.2053816318511963	0.30359516	Yes	
row_4	Sotub07g026210	NA	3379	1.1547768115997314	0.36711684	Yes	
row_5	Sotub03g008110	NA	4142	0.991273045539856	0.40975785	Yes	
row_6	Sotub01g036070	NA	4707	0.8921852707862854	0.45060763	Yes	
row_7	Sotub08g005360	NA	4818	0.8718838095664978	0.49947628	Yes	
row_8	Sotub08g017560	NA	4997	0.8428526520729065	0.5452642	Yes	
row_9	Sotub06g009540	NA	5662	0.7477855086326599	0.57562256	Yes	
row_10	Sotub12g023080	NA	6345	0.6549591422080994	0.6001754	Yes	
row_11	Sotub10g005310	NA	6401	0.6467908024787903	0.6369673	Yes	
row_12	Sotub01g006630	NA	6448	0.6408494114875793	0.6735935	Yes	
row_13	Sotub06g014930	NA	6821	0.5985215306282043	0.7011265	Yes	
row_14	Sotub11g025280	NA	7206	0.5582171082496643	0.7260539	Yes	
row_15	Sotub02g008280	NA	8736	0.42859694361686707	0.7201598	Yes	
row_16	Sotub01g023230	NA	9391	0.37016114592552185	0.728589	Yes	
row_17	Sotub07g029130	NA	9534	0.358348548412323	0.746711	Yes	
row_18	Sotub02g023760	NA	10210	0.3136233687400818	0.7514006	Yes	
row_19	Sotub12g012670	NA	11305	0.26511088013648987	0.7447482	No	
row_20	Sotub08g005350	NA	34362	-0.1312013417482376	0.28477985	No	
row_21	Sotub09g016270	NA	38067	-0.31807827949523926	0.22829165	No	
