NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub06g022400	NA	247	3.2405104637145996	0.05379759	Yes	
row_1	Sotub10g023810	NA	307	3.086007833480835	0.108607605	Yes	
row_2	Sotub02g020110	NA	385	2.8943865299224854	0.1595745	Yes	
row_3	Sotub06g022340	NA	387	2.8930068016052246	0.21205918	Yes	
row_4	Sotub06g022390	NA	900	2.2637767791748047	0.24275048	Yes	
row_5	PGSC0003DMG400030006	NA	1040	2.1398115158081055	0.278764	Yes	
row_6	Sotub06g022310	NA	1187	2.0302670001983643	0.3126473	Yes	
row_7	Sotub06g022300	NA	1532	1.8103585243225098	0.33852005	Yes	
row_8	Sotub06g022260	NA	1586	1.7784870862960815	0.36972177	Yes	
row_9	Sotub02g020250	NA	1592	1.774132490158081	0.40181887	Yes	
row_10	PGSC0003DMG400009185	NA	1794	1.6892333030700684	0.42839625	Yes	
row_11	Sotub10g027790	NA	2091	1.5672272443771362	0.45083082	Yes	
row_12	Sotub06g022290	NA	2504	1.4217774868011475	0.46827078	Yes	
row_13	Sotub06g022420	NA	2842	1.3045225143432617	0.48510522	Yes	
row_14	Sotub03g014210	NA	2862	1.296887755393982	0.5082566	Yes	
row_15	PGSC0003DMG400026522	NA	3216	1.1942533254623413	0.522765	Yes	
row_16	Sotub03g034090	NA	3418	1.147075891494751	0.5395028	Yes	
row_17	Sotub06g022410	NA	3510	1.1254433393478394	0.5580811	Yes	
row_18	Sotub06g022360	NA	3880	1.0429877042770386	0.56951934	Yes	
row_19	Sotub03g029190	NA	4263	0.9666686058044434	0.57930857	Yes	
row_20	Sotub06g022280	NA	5959	0.7060983777046204	0.5577142	No	
row_21	Sotub01g037710	NA	9702	0.34499579668045044	0.48801124	No	
row_22	PGSC0003DMG400026312	NA	9709	0.3439696133136749	0.49413213	No	
row_23	Sotub01g013290	NA	10946	0.27476128935813904	0.4740274	No	
row_24	Sotub09g012140	NA	11016	0.27476128935813904	0.4776133	No	
row_25	Sotub04g028180	NA	11651	0.2415647804737091	0.46912694	No	
row_26	Sotub01g042450	NA	12149	0.2181403934955597	0.46299663	No	
row_27	Sotub04g028150	NA	12648	0.19474636018276215	0.45642146	No	
row_28	Sotub04g028190	NA	12683	0.19246499240398407	0.45922428	No	
row_29	Sotub02g025850	NA	13666	0.1269531399011612	0.4415933	No	
row_30	PGSC0003DMG400007969	NA	14695	0.06361930817365646	0.42187905	No	
row_31	Sotub10g027800	NA	17307	0.0	0.36887458	No	
row_32	Sotub11g014980	NA	17657	0.0	0.36178973	No	
row_33	Sotub01g013270	NA	24596	0.0	0.22094522	No	
row_34	Sotub01g013280	NA	24598	0.0	0.22092493	No	
row_35	Sotub01g013300	NA	24599	0.0	0.22092493	No	
row_36	Sotub01g013310	NA	24600	0.0	0.22092493	No	
row_37	Sotub09g012130	NA	29348	0.0	0.12455871	No	
row_38	PGSC0003DMG400025500	NA	32676	-0.016732273623347282	0.057322793	No	
row_39	Sotub02g025840	NA	32952	-0.03529304638504982	0.0523807	No	
row_40	Sotub05g028070	NA	33892	-0.09812125563621521	0.035099376	No	
row_41	Sotub04g028170	NA	33914	-0.10002928227186203	0.036488492	No	
row_42	Sotub02g012870	NA	34100	-0.11326117813587189	0.03478848	No	
row_43	Sotub05g021410	NA	34262	-0.12462197989225388	0.03378186	No	
row_44	Sotub04g036090	NA	35069	-0.17780153453350067	0.020646608	No	
row_45	Sotub04g028260	NA	35979	-0.20555366575717926	0.0059240805	No	
row_46	Sotub01g049860	NA	36804	-0.25514835119247437	-0.006172818	No	
row_47	Sotub02g025860	NA	37374	-0.280664324760437	-0.012630016	No	
row_48	Sotub04g031800	NA	39401	-0.4076288938522339	-0.046360694	No	
row_49	Sotub06g007750	NA	40782	-0.49952858686447144	-0.0653094	No	
row_50	PGSC0003DMG400013300	NA	41184	-0.5289792418479919	-0.06384947	No	
row_51	Sotub05g027170	NA	41712	-0.5772294998168945	-0.06407171	No	
row_52	Sotub01g024840	NA	41784	-0.5842351317405701	-0.054909796	No	
row_53	PGSC0003DMG400013299	NA	42772	-0.6816444993019104	-0.06257522	No	
row_54	Sotub04g028240	NA	43646	-0.7632346153259277	-0.06644562	No	
row_55	Sotub02g030070	NA	43947	-0.7951560616493225	-0.05810452	No	
row_56	Sotub04g028210	NA	45585	-0.9831123948097229	-0.07349391	No	
row_57	Sotub04g028230	NA	45715	-0.9996857047080994	-0.05796944	No	
row_58	Sotub04g028200	NA	46478	-1.1233679056167603	-0.053050455	No	
row_59	Sotub04g028220	NA	46750	-1.1677865982055664	-0.0373578	No	
row_60	PGSC0003DMG400025499	NA	47002	-1.2171331644058228	-0.020363545	No	
row_61	Sotub07g017300	NA	48403	-1.6262261867523193	-0.019269904	No	
row_62	Sotub04g028250	NA	49000	-2.0885987281799316	0.0065368647	No	
