NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGSC0003DMG400022263	NA	469	1.7717645168304443	-0.0014359587	No	
row_1	Sotub07g013450	NA	709	1.518868327140808	6.6773826E-4	No	
row_2	Sotub11g007260	NA	753	1.4784189462661743	0.006593668	No	
row_3	Sotub05g017190	NA	1079	1.2687785625457764	0.005787374	No	
row_4	Sotub10g007560	NA	1786	1.0353184938430786	-0.0038854517	No	
row_5	Sotub01g019520	NA	2536	0.856619656085968	-0.015260248	No	
row_6	Sotub06g029850	NA	2716	0.8118354082107544	-0.015184035	No	
row_7	Sotub03g036630	NA	2767	0.8007585406303406	-0.01252061	No	
row_8	Sotub01g039400	NA	3416	0.693925142288208	-0.02257874	No	
row_9	Sotub01g017100	NA	3576	0.670775830745697	-0.022742817	No	
row_10	Sotub03g029310	NA	4078	0.6152822971343994	-0.030156631	No	
row_11	Sotub01g020860	NA	4226	0.6006274819374084	-0.030398194	No	
row_12	Sotub05g009280	NA	4498	0.5694779753684998	-0.033319086	No	
row_13	PGSC0003DMG400033037	NA	4721	0.5462988615036011	-0.035344567	No	
row_14	Sotub02g008470	NA	4935	0.5195349454879761	-0.037309185	No	
row_15	Sotub01g031220	NA	5120	0.5007636547088623	-0.038767125	No	
row_16	PGSC0003DMG402022694	NA	5474	0.46035778522491455	-0.0438673	No	
row_17	Sotub05g009380	NA	5532	0.4526616930961609	-0.042949364	No	
row_18	Sotub11g025770	NA	5815	0.42200949788093567	-0.046774033	No	
row_19	Sotub04g026500	NA	6416	0.3722403347492218	-0.05733126	No	
row_20	Sotub09g026550	NA	6430	0.37116679549217224	-0.0558886	No	
row_21	PGSC0003DMG400005372	NA	6491	0.36742737889289856	-0.055424362	No	
row_22	Sotub03g031310	NA	6632	0.35982105135917664	-0.056631226	No	
row_23	Sotub06g015070	NA	6652	0.3586435616016388	-0.055368923	No	
row_24	Sotub12g022050	NA	6739	0.3552287518978119	-0.05549256	No	
row_25	Sotub12g007990	NA	6759	0.3537880778312683	-0.054252606	No	
row_26	Sotub01g020850	NA	6782	0.3526250422000885	-0.05307936	No	
row_27	Sotub12g021650	NA	6870	0.3496735990047455	-0.053249024	No	
row_28	Sotub12g020070	NA	7064	0.3423309028148651	-0.05562031	No	
row_29	Sotub08g011500	NA	7077	0.34160634875297546	-0.054293267	No	
row_30	Sotub08g024250	NA	7093	0.33996573090553284	-0.053035136	No	
row_31	Sotub07g017120	NA	7147	0.3378012180328369	-0.05256411	No	
row_32	Sotub01g009730	NA	7204	0.33664578199386597	-0.052159756	No	
row_33	Sotub06g026470	NA	7289	0.33287811279296875	-0.052345376	No	
row_34	Sotub02g008460	NA	7308	0.3318832516670227	-0.0511858	No	
row_35	Sotub09g017120	NA	7339	0.3318832516670227	-0.05027164	No	
row_36	Sotub08g013300	NA	7403	0.32678699493408203	-0.050055824	No	
row_37	PGSC0003DMG400002650	NA	7610	0.3167361915111542	-0.052810792	No	
row_38	Sotub03g034800	NA	7907	0.3013250231742859	-0.0574773	No	
row_39	Sotub01g043310	NA	7955	0.3012431859970093	-0.057051845	No	
row_40	Sotub12g015090	NA	8096	0.2889685034751892	-0.058584854	No	
row_41	Sotub10g013140	NA	8193	0.28154513239860535	-0.05925218	No	
row_42	Sotub01g016990	NA	8264	0.2793107032775879	-0.059398063	No	
row_43	Sotub03g034810	NA	8309	0.27584293484687805	-0.059028175	No	
row_44	Sotub11g016840	NA	8359	0.27117180824279785	-0.05878205	No	
row_45	Sotub01g019870	NA	8369	0.2706119418144226	-0.057720453	No	
row_46	PGSC0003DMG400046303	NA	8694	0.24428357183933258	-0.06322216	No	
row_47	Sotub01g019530	NA	8737	0.2403603494167328	-0.0629747	No	
row_48	Sotub03g036460	NA	8795	0.23591507971286774	-0.06305447	No	
row_49	Sotub01g017210	NA	8914	0.22988158464431763	-0.06440954	No	
row_50	PGSC0003DMG400004211	NA	9486	0.1936701536178589	-0.07519566	No	
row_51	PGSC0003DMG400012033	NA	10068	0.14837194979190826	-0.08639481	No	
row_52	Sotub04g036440	NA	10073	0.1478259414434433	-0.085796155	No	
row_53	Sotub09g027180	NA	10075	0.14770400524139404	-0.085136704	No	
row_54	Sotub07g017110	NA	10250	0.1334952712059021	-0.08808071	No	
row_55	Sotub10g010470	NA	10393	0.12146833539009094	-0.09042565	No	
row_56	Sotub07g012870	NA	10520	0.11252452433109283	-0.09248453	No	
row_57	Sotub05g022860	NA	10522	0.11234840005636215	-0.091987826	No	
row_58	Sotub04g021530	NA	10537	0.11103136837482452	-0.09176305	No	
row_59	Sotub01g020840	NA	10547	0.11035940796136856	-0.09143911	No	
row_60	Sotub02g024810	NA	10808	0.09181523323059082	-0.09633378	No	
row_61	Sotub05g023450	NA	10831	0.08987178653478622	-0.09637001	No	
