NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub01g045190	NA	442	1.8128767013549805	0.12996846	Yes	
row_1	Sotub01g020620	NA	546	1.6932196617126465	0.25764212	Yes	
row_2	Sotub06g027430	NA	717	1.5106924772262573	0.36996865	Yes	
row_3	Sotub11g026040	NA	860	1.4016554355621338	0.47450686	Yes	
row_4	Sotub01g022860	NA	1915	1.0054298639297485	0.5301833	Yes	
row_5	Sotub01g043300	NA	1936	1.0015203952789307	0.6065308	Yes	
row_6	Sotub01g043290	NA	3447	0.6895885467529297	0.6287541	Yes	
row_7	Sotub11g020400	NA	4588	0.5595447421073914	0.6485152	Yes	
row_8	Sotub09g027790	NA	4589	0.5593668818473816	0.6913832	Yes	
row_9	Sotub01g015380	NA	4879	0.5273038744926453	0.7259327	Yes	
row_10	Sotub02g007590	NA	8521	0.2577531337738037	0.6718426	No	
row_11	Sotub09g018750	NA	9826	0.16707263886928558	0.6581999	No	
row_12	Sotub04g020850	NA	21098	0.0	0.4296117	No	
row_13	Sotub02g007600	NA	40456	-0.4977225661277771	0.07517431	No	
row_14	PGSC0003DMG400026700	NA	42614	-0.639315664768219	0.08042297	No	
row_15	Sotub02g007610	NA	43724	-0.7255329489707947	0.113533616	No	
