NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub11g010030	NA	746	0.7538024187088013	0.3295547	Yes	
row_1	Sotub06g017450	NA	1759	0.49481308460235596	0.53528875	Yes	
row_2	Sotub06g009530	NA	14465	0.0	0.27761218	No	
row_3	Sotub06g018420	NA	14588	0.0	0.27513784	No	
row_4	Sotub06g018440	NA	14589	0.0	0.27513784	No	
row_5	Sotub06g018450	NA	14590	0.0	0.27513784	No	
row_6	Sotub06g018460	NA	14591	0.0	0.27513784	No	
row_7	Sotub06g018470	NA	14592	0.0	0.27513784	No	
row_8	Sotub06g018480	NA	14594	0.0	0.27511755	No	
row_9	Sotub06g018490	NA	14595	0.0	0.27511755	No	
row_10	Sotub06g018500	NA	14596	0.0	0.27511755	No	
row_11	Sotub06g018510	NA	14599	0.0	0.275077	No	
row_12	Sotub06g018520	NA	14600	0.0	0.275077	No	
row_13	PGSC0003DMG400005223	NA	22443	0.0	0.1160294	No	
row_14	Sotub03g010830	NA	37970	-0.31073740124702454	-0.056773093	No	
row_15	Sotub06g018530	NA	38030	-0.31341278553009033	0.085341856	No	
row_16	Sotub06g018430	NA	38089	-0.3141672611236572	0.22782208	No	
