NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub10g015790	NA	11608	0.0	-0.23546118	No	
row_1	Sotub10g015800	NA	11610	0.0	-0.23548146	No	
row_2	Sotub10g015830	NA	11616	0.0	-0.23558287	No	
row_3	PGSC0003DMG400045243	NA	11620	0.0	-0.23564373	No	
row_4	Sotub10g015880	NA	11628	0.0	-0.23578572	No	
row_5	Sotub06g026550	NA	14887	0.0	-0.30187225	No	
row_6	Sotub07g011720	NA	15951	0.0	-0.32343456	No	
row_7	Sotub05g014160	NA	20896	0.0	-0.42372057	No	
row_8	Sotub05g014170	NA	20897	0.0	-0.42372057	No	
row_9	Sotub09g031500	NA	21422	0.0	-0.4343496	No	
row_10	PGSC0003DMG400029098	NA	21423	0.0	-0.4343496	No	
row_11	Sotub01g013390	NA	22842	0.0	-0.46311286	No	
row_12	Sotub01g013410	NA	22844	0.0	-0.46313313	No	
row_13	Sotub01g013450	NA	22856	0.0	-0.46335626	No	
row_14	Sotub01g015200	NA	23433	0.0	-0.47504008	No	
row_15	Sotub01g015210	NA	23436	0.0	-0.47508064	No	
row_16	Sotub01g015230	NA	23438	0.0	-0.47510093	No	
row_17	Sotub01g015240	NA	23440	0.0	-0.4751212	No	
row_18	Sotub01g018350	NA	23621	0.0	-0.4787724	No	
row_19	Sotub05g016690	NA	26239	0.0	-0.53185666	No	
row_20	Sotub06g029410	NA	40450	-0.40986260771751404	-0.69106394	Yes	
row_21	Sotub02g009630	NA	40455	-0.4101533889770508	-0.5620197	Yes	
row_22	Sotub03g025720	NA	47860	-1.1062922477722168	-0.3639199	Yes	
row_23	PGSC0003DMG401018799	NA	48267	-1.2500876188278198	0.021399977	Yes	
