NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGSC0003DMG400028981	NA	5049	0.22347253561019897	-0.04550264	No	
row_1	Sotub01g006780	NA	7503	0.110077865421772	-0.06722611	No	
row_2	Sotub02g021080	NA	8161	0.08335983753204346	-0.059327696	No	
row_3	Sotub07g019600	NA	8520	0.06873229146003723	-0.049089424	No	
row_4	PGSC0003DMG400032200	NA	8738	0.059904795140028	-0.038238995	No	
row_5	Sotub07g023390	NA	9185	0.04129088297486305	-0.03677181	No	
row_6	PGSC0003DMG400028665	NA	12481	0.0	-0.103596665	No	
row_7	Sotub07g017240	NA	16088	0.0	-0.17672881	No	
row_8	Sotub02g011920	NA	25157	0.0	-0.36063406	No	
row_9	Sotub02g024710	NA	25490	0.0	-0.36736724	No	
row_10	Sotub05g020970	NA	26226	0.0	-0.38227355	No	
row_11	Sotub03g023500	NA	30331	-0.005228468216955662	-0.46417433	No	
row_12	PGSC0003DMG400013218	NA	45263	-0.7287010550498962	-0.5814631	Yes	
row_13	PGSC0003DMG402007052	NA	46360	-0.8590210676193237	-0.38499	Yes	
row_14	PGSC0003DMG401007052	NA	48894	-1.7480496168136597	0.008680142	Yes	
