NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub09g023510	NA	6853	0.13877496123313904	-0.11964346	No	
row_1	Sotub05g027780	NA	9797	0.01638064533472061	-0.17704754	No	
row_2	Sotub12g010520	NA	13554	0.0	-0.25322333	No	
row_3	Sotub04g022900	NA	20241	0.0	-0.38882273	No	
row_4	PGSC0003DMG400009468	NA	20400	0.0	-0.39202714	No	
row_5	PGSC0003DMG400009469	NA	20401	0.0	-0.39202714	No	
row_6	Sotub09g020320	NA	33219	-0.12754517793655396	-0.6341923	No	
row_7	PGSC0003DMG400028635	NA	35202	-0.2084234654903412	-0.6453387	No	
row_8	Sotub03g036840	NA	37479	-0.2988377511501312	-0.64984554	No	
row_9	Sotub04g021910	NA	43762	-0.5978897213935852	-0.69391567	Yes	
row_10	Sotub04g027110	NA	44492	-0.6508389711380005	-0.6179846	Yes	
row_11	Sotub12g025480	NA	45241	-0.7267507910728455	-0.5318581	Yes	
row_12	Sotub05g009850	NA	45311	-0.7349158525466919	-0.4308226	Yes	
row_13	Sotub10g013960	NA	47786	-1.0855302810668945	-0.32969344	Yes	
row_14	PGSC0003DMG400008549	NA	48235	-1.2348860502243042	-0.16665709	Yes	
row_15	Sotub06g034580	NA	48468	-1.3536962270736694	0.017320098	Yes	
