NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub09g016190	NA	2279	0.41712766885757446	-0.025893051	No	
row_1	Sotub01g032100	NA	5201	0.21517647802829742	-0.07465959	No	
row_2	Sotub09g011730	NA	5990	0.17909452319145203	-0.08191217	No	
row_3	Sotub04g033340	NA	8345	0.0764210894703865	-0.12594244	No	
row_4	PGSC0003DMG400010289	NA	10304	0.0	-0.16566572	No	
row_5	PGSC0003DMG400010290	NA	10305	0.0	-0.16566572	No	
row_6	Sotub09g021550	NA	10353	0.0	-0.16661924	No	
row_7	Sotub06g016210	NA	14521	0.0	-0.251158	No	
row_8	Sotub06g016200	NA	14522	0.0	-0.251158	No	
row_9	Sotub08g018740	NA	17468	0.0	-0.31090522	No	
row_10	Sotub03g005770	NA	25730	0.0	-0.47850174	No	
row_11	Sotub03g005810	NA	25732	0.0	-0.47852203	No	
row_12	Sotub09g014750	NA	28417	0.0	-0.5329742	No	
row_13	Sotub09g025880	NA	32813	-0.10910434275865555	-0.6168177	No	
row_14	Sotub09g021430	NA	34771	-0.1954730600118637	-0.6469878	No	
row_15	Sotub12g032420	NA	40009	-0.3842048943042755	-0.7344974	Yes	
row_16	Sotub04g036210	NA	40036	-0.38566213846206665	-0.7162168	Yes	
row_17	Sotub02g034640	NA	41373	-0.46345123648643494	-0.72071946	Yes	
row_18	Sotub07g007330	NA	43281	-0.5722706317901611	-0.7314995	Yes	
row_19	Sotub05g014420	NA	43700	-0.5941264629364014	-0.7110052	Yes	
row_20	Sotub09g025610	NA	44545	-0.6551461219787598	-0.6961777	Yes	
row_21	Sotub03g005760	NA	46167	-0.8319666385650635	-0.6884905	Yes	
row_22	PGSC0003DMG400010288	NA	47070	-0.949303925037384	-0.66049415	Yes	
row_23	Sotub03g005790	NA	47447	-1.0057976245880127	-0.61907136	Yes	
row_24	Sotub05g005030	NA	47516	-1.0170027017593384	-0.57085353	Yes	
row_25	Sotub02g034620	NA	48322	-1.268690586090088	-0.5253134	Yes	
row_26	Sotub05g007180	NA	48546	-1.402183175086975	-0.46145552	Yes	
row_27	Sotub02g034630	NA	48580	-1.4221383333206177	-0.39276987	Yes	
row_28	Sotub07g012070	NA	48682	-1.4918584823608398	-0.32206365	Yes	
row_29	Sotub03g005800	NA	48742	-1.5389608144760132	-0.24820825	Yes	
row_30	Sotub02g034610	NA	49014	-2.0233445167541504	-0.15503131	Yes	
row_31	Sotub09g025870	NA	49283	-3.3066563606262207	7.9131214E-4	Yes	
