NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub07g012650	NA	4261	0.7850584983825684	-0.045385808	No	
row_1	Sotub05g007460	NA	7335	0.44694793224334717	-0.08435019	No	
row_2	Sotub04g033880	NA	7739	0.4288704991340637	-0.07010571	No	
row_3	Sotub10g014450	NA	11085	0.2183709591627121	-0.12653524	No	
row_4	Sotub10g014640	NA	15585	0.0	-0.21778545	No	
row_5	Sotub06g025220	NA	17454	0.0	-0.25567284	No	
row_6	Sotub04g018350	NA	21115	0.0	-0.32990617	No	
row_7	Sotub04g018390	NA	21118	0.0	-0.32994673	No	
row_8	Sotub03g009700	NA	37471	-0.2822722792625427	-0.64684826	No	
row_9	Sotub04g018360	NA	38498	-0.32929253578186035	-0.65044487	No	
row_10	Sotub10g014440	NA	44160	-0.7944051623344421	-0.72373736	Yes	
row_11	Sotub10g014490	NA	44284	-0.8091256618499756	-0.68393683	Yes	
row_12	Sotub03g019210	NA	44686	-0.8646292686462402	-0.6468735	Yes	
row_13	Sotub10g014470	NA	46021	-1.0515873432159424	-0.6189607	Yes	
row_14	Sotub06g025230	NA	48450	-1.9844168424606323	-0.5644751	Yes	
row_15	Sotub04g033940	NA	48518	-2.0805938243865967	-0.4570756	Yes	
row_16	Sotub04g033930	NA	48710	-2.3859424591064453	-0.33622962	Yes	
row_17	Sotub04g033920	NA	48715	-2.397860527038574	-0.21096788	Yes	
row_18	Sotub04g033950	NA	49192	-4.271034240722656	0.002636633	Yes	
