NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub11g019930	NA	861	1.702439308166504	0.4063739	Yes	
row_1	Sotub11g019940	NA	3966	0.8163476586341858	0.5466533	Yes	
row_2	PGSC0003DMG400003121	NA	6700	0.5025292634963989	0.6163296	Yes	
row_3	Sotub01g044100	NA	9193	0.36028239130973816	0.6554805	Yes	
row_4	Sotub11g019950	NA	10885	0.23414435982704163	0.6794747	Yes	
row_5	Sotub01g044020	NA	11136	0.2131829559803009	0.72747785	Yes	
row_6	PGSC0003DMG400003116	NA	11938	0.15207155048847198	0.7490909	Yes	
row_7	Sotub01g044110	NA	13490	0.03573058918118477	0.7265278	No	
row_8	PGSC0003DMG400007452	NA	22424	0.0	0.5453421	No	
row_9	PGSC0003DMG400008758	NA	22771	0.0	0.53832424	No	
row_10	Sotub01g011810	NA	23844	0.0	0.5165812	No	
row_11	PGSC0003DMG400031163	NA	25167	0.0	0.48976737	No	
row_12	Sotub05g016760	NA	28096	0.0	0.4303795	No	
row_13	PGSC0003DMG400004508	NA	28489	0.0	0.42242867	No	
row_14	Sotub09g014110	NA	30676	0.0	0.3780906	No	
row_15	PGSC0003DMG400004174	NA	30677	0.0	0.3780906	No	
row_16	Sotub09g014100	NA	30679	0.0	0.37807032	No	
row_17	Sotub09g014090	NA	30680	0.0	0.37807032	No	
row_18	PGSC0003DMG400004177	NA	30681	0.0	0.37807032	No	
row_19	Sotub12g016080	NA	32469	0.0	0.34182507	No	
