NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub03g024830	NA	178	1.4295684099197388	0.13637635	Yes	
row_1	Sotub02g013320	NA	392	1.13257896900177	0.24296056	Yes	
row_2	Sotub08g014890	NA	989	0.7761685252189636	0.3068738	Yes	
row_3	Sotub07g028540	NA	1023	0.7609813809394836	0.38072187	Yes	
row_4	Sotub07g022260	NA	2052	0.5196281671524048	0.41074964	Yes	
row_5	Sotub10g012490	NA	2553	0.4426606297492981	0.44395244	Yes	
row_6	Sotub10g008410	NA	2869	0.39969849586486816	0.47670147	Yes	
row_7	PGSC0003DMG400024907	NA	3881	0.32068556547164917	0.4875931	Yes	
row_8	Sotub07g028410	NA	4035	0.3075355291366577	0.51460385	Yes	
row_9	Sotub02g035120	NA	5997	0.18172594904899597	0.49261487	No	
row_10	Sotub01g035480	NA	9368	0.03131161630153656	0.4273115	No	
row_11	Sotub10g020590	NA	12263	0.0	0.36859897	No	
row_12	Sotub01g035460	NA	24283	0.0	0.12476135	No	
row_13	Sotub01g035490	NA	24286	0.0	0.124720775	No	
row_14	PGSC0003DMG400015485	NA	25098	0.0	0.10826747	No	
row_15	Sotub02g010250	NA	25099	0.0	0.10826747	No	
row_16	PGSC0003DMG400013157	NA	25421	0.0	0.10175513	No	
row_17	Sotub09g013960	NA	28255	0.0	0.044280127	No	
row_18	Sotub08g010190	NA	30398	-0.00524545693770051	0.0013375673	No	
row_19	Sotub09g024030	NA	31925	-0.06888982653617859	-0.022875538	No	
row_20	Sotub01g035420	NA	32385	-0.0872495174407959	-0.023643853	No	
row_21	Sotub12g009970	NA	33099	-0.11859897524118423	-0.026495406	No	
row_22	Sotub01g035430	NA	34921	-0.1975802630186081	-0.04409163	No	
row_23	Sotub01g035470	NA	35761	-0.23687487840652466	-0.037917506	No	
row_24	Sotub02g030380	NA	35909	-0.24530474841594696	-0.016878832	No	
row_25	Sotub08g024410	NA	37475	-0.2991465926170349	-0.019335734	No	
row_26	PGSC0003DMG402004813	NA	38852	-0.33796414732933044	-0.014157134	No	
row_27	Sotub01g035450	NA	39333	-0.3565636873245239	0.011020547	No	
row_28	Sotub03g028010	NA	39621	-0.37261220812797546	0.041685272	No	
row_29	Sotub10g005550	NA	40496	-0.42693158984184265	0.06576024	No	
row_30	Sotub02g026200	NA	41895	-0.5110458731651306	0.08744118	No	
row_31	Sotub01g035440	NA	44102	-0.645560085773468	0.10590171	No	
