NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub03g024710	NA	0	4.765598773956299	0.21105291	Yes	
row_1	Sotub06g028770	NA	16	2.5533857345581055	0.3238298	Yes	
row_2	Sotub06g028780	NA	58	1.8355803489685059	0.40429002	Yes	
row_3	Sotub03g015860	NA	88	1.6889325380325317	0.4784991	Yes	
row_4	Sotub06g028790	NA	315	1.2048845291137695	0.52727515	Yes	
row_5	PGSC0003DMG400027889	NA	361	1.163010597229004	0.57786834	Yes	
row_6	Sotub03g015850	NA	475	1.064301609992981	0.6227106	Yes	
row_7	Sotub03g024720	NA	502	1.0449192523956299	0.6684593	Yes	
row_8	Sotub06g028760	NA	747	0.8876885771751404	0.7028226	Yes	
row_9	Sotub06g028750	NA	1007	0.7689864039421082	0.7316248	Yes	
row_10	Sotub03g024690	NA	1517	0.6279164552688599	0.7491082	Yes	
row_11	Sotub03g016090	NA	3664	0.33708909153938293	0.7205056	No	
row_12	PGSC0003DMG401005708	NA	10067	0.0040221125818789005	0.59082043	No	
row_13	Sotub03g016040	NA	18521	0.0	0.41935307	No	
row_14	Sotub05g021740	NA	26770	0.0	0.25204405	No	
row_15	Sotub12g025420	NA	29855	0.0	0.18948571	No	
row_16	Sotub03g015960	NA	35227	-0.20855294167995453	0.089772195	No	
row_17	Sotub03g034700	NA	35232	-0.2086867392063141	0.098933116	No	
row_18	Sotub12g008840	NA	37076	-0.28767016530036926	0.07428821	No	
row_19	Sotub03g016010	NA	37819	-0.3097938895225525	0.07295666	No	
row_20	Sotub03g016030	NA	38533	-0.3284544348716736	0.07303978	No	
row_21	Sotub12g025390	NA	42070	-0.5225926637649536	0.024456663	No	
row_22	Sotub03g016000	NA	45211	-0.7609620094299316	-0.0055370685	No	
row_23	Sotub12g025400	NA	46060	-0.8620649576187134	0.015439482	No	
row_24	Sotub04g007680	NA	47740	-1.1450207233428955	0.032090556	No	
