NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sotub02g021240	NA	327	1.1874277591705322	0.010493945	Yes	
row_1	Sotub06g021180	NA	386	1.1372833251953125	0.025741369	Yes	
row_2	Sotub05g019500	NA	395	1.1317776441574097	0.041927442	Yes	
row_3	Sotub12g024360	NA	508	1.0420770645141602	0.05469993	Yes	
row_4	PGSC0003DMG400009728	NA	583	0.9888544678688049	0.06747742	Yes	
row_5	Sotub11g008060	NA	678	0.9332974553108215	0.079045095	Yes	
row_6	Sotub11g007130	NA	819	0.852853536605835	0.088513985	Yes	
row_7	Sotub07g027940	NA	869	0.8272743225097656	0.09946648	Yes	
row_8	PGSC0003DMG400014034	NA	936	0.7979925274848938	0.1096498	Yes	
row_9	PGSC0003DMG402005139	NA	993	0.7744369506835938	0.11969648	Yes	
row_10	Sotub12g024350	NA	1013	0.764542818069458	0.1303537	Yes	
row_11	Sotub01g043270	NA	1062	0.7497144341468811	0.14020617	Yes	
row_12	Sotub03g028110	NA	1104	0.7294774055480957	0.14990886	Yes	
row_13	Sotub01g020020	NA	1384	0.6544230580329895	0.15368079	Yes	
row_14	PGSC0003DMG400033006	NA	1484	0.6336854696273804	0.16081864	Yes	
row_15	Sotub07g018120	NA	1512	0.6287441849708557	0.16935128	Yes	
row_16	Sotub10g009700	NA	1783	0.568294882774353	0.17206232	Yes	
row_17	Sotub06g026030	NA	1801	0.5648201107978821	0.1798752	Yes	
row_18	Sotub12g011430	NA	2007	0.526960015296936	0.18331279	Yes	
row_19	PGSC0003DMG400001931	NA	2008	0.5269336104393005	0.19092456	Yes	
row_20	Sotub02g022230	NA	2100	0.5108227133750916	0.1964505	Yes	
row_21	Sotub05g018910	NA	2115	0.5088024735450745	0.20351526	Yes	
row_22	Sotub02g037350	NA	2274	0.48166418075561523	0.20725563	Yes	
row_23	Sotub03g023730	NA	2326	0.4736645519733429	0.21305937	Yes	
row_24	Sotub04g020170	NA	2467	0.4542483687400818	0.21677025	Yes	
row_25	PGSC0003DMG400019081	NA	2496	0.4505996108055115	0.22270915	Yes	
row_26	Sotub01g008670	NA	2577	0.4387495815753937	0.22741798	Yes	
row_27	Sotub04g033530	NA	2736	0.41622138023376465	0.230213	Yes	
row_28	Sotub02g025550	NA	2840	0.40347757935523987	0.23394394	Yes	
row_29	PGSC0003DMG400003514	NA	2941	0.3915838897228241	0.23756415	Yes	
row_30	Sotub08g027910	NA	3120	0.37516194581985474	0.23935878	Yes	
row_31	PGSC0003DMG400022976	NA	3180	0.3704231381416321	0.24350823	Yes	
row_32	PGSC0003DMG400006962	NA	3590	0.34201374650001526	0.24012001	Yes	
row_33	Sotub04g033790	NA	3754	0.3300379812717438	0.24156825	Yes	
row_34	Sotub01g031870	NA	3814	0.32647743821144104	0.2450829	Yes	
row_35	Sotub02g022250	NA	3982	0.31201791763305664	0.24618939	Yes	
row_36	Sotub01g035390	NA	4125	0.30019494891166687	0.24763417	Yes	
row_37	Sotub11g005080	NA	4130	0.29993492364883423	0.2518854	Yes	
