geneID	logFC	p.value
AT1G01050	0	0
AT1G01090	-1.15	0
AT1G01100	0	0
AT1G01120	0	0
AT1G01170	0	0
AT1G01220	0	0
AT1G01225	1.1	0
AT1G01230	1.01	0
AT1G01300	0	0
AT1G01500	0	0
AT1G01510	0	0
AT1G01540	0	0
AT1G01580	0	0
AT1G01610	0	0
AT1G01650	0	0
AT1G01720	3.21	0
AT1G01820	0	0
AT1G01910	0	0
AT1G01940	0	0
AT1G01950	0	0
AT1G02090	0	0
AT1G02130	0	0
AT1G02140	0	0
AT1G02205	0	0
AT1G02305	0	0
AT1G02410	0	0
AT1G02560	0	0
AT1G02816	0	0
AT1G02850	0	0
AT1G02860	0	0
AT1G02870	0	0
AT1G02920	0	0
AT1G03060	0	0
AT1G03070	0	0
AT1G03130	0	0
AT1G03140	0	0
AT1G03220	1.56	0
AT1G03250	0	0
AT1G03280	0	0
AT1G03310	0	0
AT1G03360	0	0
AT1G03370	0	0
AT1G03475	0	0
AT1G03590	0	0
AT1G03700	0	0
AT1G03860	0	0
AT1G03870	0	0
AT1G03900	0	0
AT1G03950	0	0
AT1G04120	0	0
AT1G04170	0	0
AT1G04190	0	0
AT1G04220	-2.36	0
AT1G04270	0	0
AT1G04280	0	0
AT1G04290	-0.79	0
AT1G04340	0	0
AT1G04400	0	0
AT1G04410	0	0
AT1G04430	0	0
AT1G04510	0	0
AT1G04640	0	0
AT1G04690	0	0
AT1G04750	0.67	0
AT1G04770	0	0
AT1G04780	0	0
AT1G04850	0	0
AT1G04870	0	0
AT1G04940	0	0
AT1G04960	0	0
AT1G04970	0	0
AT1G05000	1.27	0
AT1G05010	3.4	0
AT1G05055	0	0
AT1G05070	0	0
AT1G05170	-1.52	0
AT1G05180	0	0
AT1G05260	0	0
AT1G05270	0	0
AT1G05300	0	0
AT1G05670	0	0
AT1G05820	0	0
AT1G05840	0	0
AT1G05850	0	0
AT1G05910	0	0
AT1G06070	0.98	0
AT1G06110	0	0
AT1G06130	1.11	0
AT1G06220	0	0
AT1G06290	0	0
AT1G06400	0	0
AT1G06410	0	0
AT1G06515	0	0
AT1G06560	0	0
AT1G06570	0	0
AT1G06680	0	0
AT1G06840	0	0
AT1G06890	-1.06	0
AT1G06900	0	0
AT1G06950	0	0
AT1G07040	0	0
AT1G07080	0	0
AT1G07090	0	0
AT1G07160	0	0
AT1G07210	0	0
AT1G07230	0	0
AT1G07320	0	0
AT1G07360	0.95	0
AT1G07380	0	0
AT1G07400	0	0
AT1G07420	0	0
AT1G07510	0	0
AT1G07570	0	0
AT1G07630	0	0
AT1G07710	0	0
AT1G07750	0	0
AT1G07790	0	0
AT1G07870	0	0
AT1G07890	0	0
AT1G07970	0	0
AT1G08030	0	0
AT1G08190	0	0
AT1G08230	0	0
AT1G08250	0	0
AT1G08315	0	0
AT1G08320	0	0
AT1G08360	0	0
AT1G08370	0	0
AT1G08380	0	0
AT1G08410	0	0
AT1G08450	0	0
AT1G08480	0	0
AT1G08510	0	0
AT1G08550	0	0
AT1G08570	0	0
AT1G08630	0	0
AT1G08650	0	0
AT1G08660	0	0
AT1G08780	0	0
AT1G08960	0	0
AT1G08980	-1.42	0
AT1G09020	0	0
AT1G09130	0	0
AT1G09140	1.12	0
AT1G09150	0	0
AT1G09210	0	0
AT1G09240	-1.54	0
AT1G09270	0	0
AT1G09330	0	0
AT1G09340	0	0
AT1G09380	0	0
AT1G09560	0	0
AT1G09570	0	0
AT1G09575	0	0
AT1G09580	0	0
AT1G09630	0	0
AT1G09640	0	0
AT1G09660	0	0
AT1G09690	0	0
AT1G09740	0	0
AT1G09760	0	0
AT1G09770	0	0
AT1G09840	0	0
AT1G09850	0	0
AT1G09960	0	0
AT1G09970	0	0
AT1G10020	0	0
AT1G10030	0	0
AT1G10070	0	0
AT1G10150	0	0
AT1G10170	0	0
AT1G10180	0	0
AT1G10200	0.94	0
AT1G10210	0	0
AT1G10240	0	0
AT1G10270	0	0
AT1G10280	-1.91	0
AT1G10430	0	0
AT1G10470	0	0
AT1G10490	0	0
AT1G10740	0	0
AT1G10840	0	0
AT1G10850	-1.87	0
AT1G10950	0	0
AT1G11050	0	0
AT1G11200	0	0
AT1G11260	0	0
AT1G11360	0	0
AT1G11380	0	0
AT1G11390	0	0
AT1G11400	0	0
AT1G11430	0	0
AT1G11530	0	0
AT1G11545	0	0
AT1G11650	0	0
AT1G11680	0	0
AT1G11750	0	0
AT1G11790	0	0
AT1G11840	0	0
AT1G11890	0	0
AT1G11910	0	0
AT1G11950	1.35	0
AT1G12110	0	0
AT1G12230	0	0
AT1G12310	0	0
AT1G12360	0	0
AT1G12370	-1.11	0
AT1G12380	-2.43	0
AT1G12390	0	0
AT1G12410	0	0
AT1G12420	0	0
AT1G12430	0	0
AT1G12520	0	0
AT1G12580	0.93	0
AT1G12600	0	0
AT1G12680	-1.55	0
AT1G12780	0	0
AT1G12840	0	0
AT1G12950	0	0
AT1G12990	0	0
AT1G13160	0	0
AT1G13180	0	0
AT1G13195	0	0
AT1G13260	2.02	0
AT1G13270	0	0
AT1G13440	1.09	0
AT1G13460	0	0
AT1G13580	0	0
AT1G13690	0	0
AT1G13700	1.4	0
AT1G13750	0	0
AT1G13770	0	0
AT1G13950	1.04	0
AT1G13980	0	0
AT1G14000	0	0
AT1G14290	0	0
AT1G14300	0	0
AT1G14340	0	0
AT1G14345	0	0
AT1G14360	0	0
