geneID	logFC	p.value
AT1G01050	1.11	0
AT1G01090	-3.3	0
AT1G01100	-4.27	0
AT1G01120	-1.72	0
AT1G01170	-1.61	0
AT1G01220	-0.07	0
AT1G01225	0	0
AT1G01230	2.26	0
AT1G01300	-2.16	0
AT1G01500	1.33	0
AT1G01510	0	0
AT1G01540	0.78	0
AT1G01580	-3.58	0
AT1G01610	0	0
AT1G01650	0	0
AT1G01720	5.83	0
AT1G01820	2.9	0
AT1G01910	-0.47	0
AT1G01940	-1.04	0
AT1G01950	0	0
AT1G02090	-0.94	0
AT1G02130	2.36	0
AT1G02140	-2.29	0
AT1G02205	0	0
AT1G02305	4.04	0
AT1G02410	-0.39	0
AT1G02560	-0.92	0
AT1G02816	-0.47	0
AT1G02850	-1.31	0
AT1G02860	1.71	0
AT1G02870	-3.05	0
AT1G02920	2.15	0
AT1G03060	2.1	0
AT1G03070	0	0
AT1G03130	0	0
AT1G03140	1.06	0
AT1G03220	3.11	0
AT1G03250	0	0
AT1G03280	1.19	0
AT1G03310	0.93	0
AT1G03360	-1.66	0
AT1G03370	0	0
AT1G03475	0	0
AT1G03590	0	0
AT1G03700	-2.32	0
AT1G03860	-0.89	0
AT1G03870	0.35	0
AT1G03900	-2.7	0
AT1G03950	0	0
AT1G04120	0	0
AT1G04170	-1.38	0
AT1G04190	-1.2	0
AT1G04220	0	0
AT1G04270	-2.91	0
AT1G04280	0	0
AT1G04290	-1.36	0
AT1G04340	-1.83	0
AT1G04400	0	0
AT1G04410	-3	0
AT1G04430	-3.67	0
AT1G04510	0	0
AT1G04640	1.5	0
AT1G04690	0	0
AT1G04750	0.62	0
AT1G04770	0	0
AT1G04780	0	0
AT1G04850	0	0
AT1G04870	0	0
AT1G04940	-1.41	0
AT1G04960	0	0
AT1G04970	2.28	0
AT1G05000	0	0
AT1G05010	6.96	0
AT1G05055	0.57	0
AT1G05070	-1.37	0
AT1G05170	-0.91	0
AT1G05180	0	0
AT1G05260	-5.43	0
AT1G05270	0	0
AT1G05300	0	0
AT1G05670	1.21	0
AT1G05820	0	0
AT1G05840	0	0
AT1G05850	-5.09	0
AT1G05910	0	0
AT1G06070	-0.04	0
AT1G06110	0	0
AT1G06130	1.15	0
AT1G06220	-1.42	0
AT1G06290	2.91	0
AT1G06400	0.2	0
AT1G06410	3.9	0
AT1G06515	1.74	0
AT1G06560	0	0
AT1G06570	5.09	0
AT1G06680	-0.97	0
AT1G06840	2.13	0
AT1G06890	-1.31	0
AT1G06900	0	0
