geneID	logFC	p.value
4CL	3.15	0.00
AAO	-2.22	0.00
ABA2	-1.72	0.00
ACH	0.79	0.00
ACO	4.05	0.00
ACS	3.11	0.00
ACX	2.96	0.00
ADK	-2.15	0.00
ADT	3.13	0.00
AGO1	0.00	0.00
AHK2,3,4	-0.63	0.00
AHP	0.00	0.00
AIM1	2.21	0.00
AMI1	-1.23	0.00
AOC	0.00	0.00
AOS	3.10	0.00
APT	0.00	0.00
APX	0.00	0.00
ARR-A	-4.32	0.00
ARR-B	0.00	0.00
ASK	0.74	0.00
AUX/IAA	-1.48	0.00
BAK1	2.50	0.00
BETA-OHASE	-1.53	0.00
BRI1	0.00	0.00
BSK	-0.69	0.00
bZIP21	0.00	0.00
C19-GA2ox	4.37	0.00
CAMTA3	1.75	0.00
CAT	1.82	0.00
CCD	0.00	0.00
CDPK	2.53	0.00
CKX	2.92	0.00
CM	3.38	0.00
CML	1.35	0.00
CO	-2.11	0.00
COI1	0.43	0.00
CPIP	-1.51	0.00
CRT	-0.72	0.00
CTR	1.65	0.00
CTS	1.08	0.00
CUL	1.11	0.00
CYP735A1,A2	0.00	0.00
CYP73A5	0.00	0.00
CYP83B1	-2.07	0.00
CYP94	0.00	0.00
D14	3.41	0.00
D27	0.00	0.00
DELLA	-0.91	0.00
DXPS2	-1.61	0.00
EBF	0.00	0.00
EIF4E1	-1.03	0.00
EIJP1	2.57	0.00
EIN3(like)	2.52	0.00
EIN5	1.04	0.00
ELI5	11.56	0.00
ERF/EDF	8.71	0.00
ERF1	8.71	0.00
ETR	1.85	0.00
FKBP65	-2.28	0.00
FLS2	0.00	0.00
GA20ox	-4.60	0.00
GID	2.23	0.00
GRX480	5.09	0.00
GSNO	-0.57	0.00
GST	0.00	0.00
HMA	2.85	0.00
HSP90	-0.70	0.00
IAMT1	-1.25	0.00
IAR	0.00	0.00
ICS	-1.91	0.00
ILR1	-1.79	0.00
IPT	0.00	0.00
ISPH	0.00	0.00
JAM	1.49	0.00
JAR	1.57	0.00
JAT2	10.34	0.00
KAO1,2	0.00	0.00
KAT	3.73	0.00
KO	0.00	0.00
KS	0.00	0.00
LCY1	-1.38	0.00
LOG	3.21	0.00
LOX	3.53	0.00
MAPKKK8	0.00	0.00
MAX1	0.00	0.00
MAX2	1.10	0.00
MES	2.93	0.00
MFP	3.49	0.00
MIND1	-0.63	0.00
MOS	0.00	0.00
MPK3,6	2.29	0.00
MPK4	1.77	0.00
MVK	0.00	0.00
MYB33,44,65	2.19	0.00
NCED	4.06	0.00
NPR1	1.51	0.00
NPR3	1.87	0.00
OMR1	-0.86	0.00
OPCL1	1.49	0.00
OPR	6.50	0.00
PA	3.77	0.00
PAA	0.00	0.00
PAA2	0.00	0.00
PAL	1.73	0.00
PBB2	1.47	0.00
PDS	0.00	0.00
PIF3,4	0.00	0.00
PP2C	3.74	0.00
PR1	0.00	0.00
PR3	7.84	0.00
PR4	6.90	0.00
PSAK	-2.92	0.00
PYL	0.00	0.00
RANGAP	-1.78	0.00
RAR1	-0.67	0.00
RBC	-2.48	0.00
RBOH	0.00	0.00
RBX	0.00	0.00
RDR6	-1.02	0.00
RH8	0.51	0.00
SAGT	3.91	0.00
SAMC	0.00	0.00
SAMS	0.00	0.00
SCL14	5.07	0.00
SGT1	0.92	0.00
SIK1	0.00	0.00
SNRK2	2.16	0.00
SOD	-0.88	0.00
TDX	0.00	0.00
TGA2,5,6	4.30	0.00
TIR1	-0.91	0.00
TOR	0.00	0.00
TYRAAT1,2	2.62	0.00
UGT73C1,C5	5.69	0.00
UGT85A1	-2.05	0.00
VDE1	-2.19	0.00
WAK1	-1.01	0.00
XTH	4.81	0.00
YUC	0.00	0.00
ZDS1	0.00	0.00
